subdisciplines_1,subdisciplines_2
13768,12429
13769,13743
13769,14509
13747,14612
13794,13731
13794,13732
13769,13801
12677,13810
12677,13808
13739,13780
13747,14685
13739,13781
13749,13789
13747,13288
13363,13737
13770,13664
13741,13792
13770,14430
13747,13668
12677,13815
13794,13745
13794,13757
13768,13794
12429,13764
12438,13742
13815,13756
12438,13749
13746,12050
13794,13762
13770,13816
13748,13858
13794,12429
13768,13747
13768,13748
12438,13760
13769,13779
13739,14464
12438,13772
13769,13784
13769,13798
13768,13765
12677,13984
12677,13985
13769,13858
13742,13734
13739,13763
