named_after_1,named_after_2
10696,7691
11528,7758
9422,7758
9860,8274
11685,8274
14147,7727
11357,6662
13345,13654
11304,6781
5200,7589
12021,11941
11100,8491
11692,6781
10950,6756
11075,14144
11217,7691
10191,8274
11746,9733
11663,6677
12956,9088
10731,10730
10292,6677
11490,6670
6791,6670
11594,7793
9220,7661
9843,6781
10202,6670
10958,6781
8509,6670
10109,7758
11496,6756
9448,6756
10052,9275
9580,6756
11697,6677
14146,7821
10947,7661
10704,6756
6771,7589
10033,7589
10779,7758
11816,8126
11155,7881
9342,7758
11777,6781
140,7589
11150,10347
10702,7589
10520,7858
11233,6756
9287,7691
11110,7758
11242,8274
12042,7793
10391,13677
10527,9468
11195,6677
8525,7793
9965,6677
14133,6760
9850,7691
11485,6670
8525,12424
10136,10611
5126,9759
11155,6670
10784,7678
11623,6756
13868,7813
9466,7589
11007,7691
11741,10538
6754,6670
9418,6781
9714,7589
11473,7591
5119,6670
5172,8105
9383,11447
11732,8274
3306,7589
3740,8478
10557,7587
10817,11302
10958,6670
12035,11941
9984,7691
13175,7589
11553,7691
10801,8218
9419,6781
6662,11357
10347,8488
9409,184
13291,11941
11788,7589
13672,7821
11558,12424
14145,7758
12000,6670
6345,4315
9757,7858
6612,12168
10545,9794
9452,7587
10263,8046
4991,13533
10732,7589
