office_holder_1,office_holder_2
13529,7678
13530,7647
12859,801
5137,7731
14123,6670
10351,3796
5205,7669
149,6711
12800,6721
12800,7746
13523,11969
7915,7635
13125,7920
5091,8145
14123,6677
12796,11972
5106,7678
5091,8143
13511,4156
5150,5296
13511,4155
12859,7978
5151,8338
5166,11969
97,8344
13513,8197
12800,5722
12933,6719
12735,6711
8353,13531
5138,7731
5140,7669
13221,8043
12328,8075
51,7731
5175,7609
149,7765
13509,12424
13168,7635
13530,7678
13319,8075
12800,6756
14621,7647
5166,7891
51,6711
13509,8325
5199,7891
5095,8043
12945,5343
13511,8274
5095,8046
51,7741
5138,6719
12735,6729
13079,8353
5208,7622
51,6719
51,6721
5121,8274
51,7746
51,6726
5134,11969
8078,7746
51,6729
6655,7826
13528,7765
5089,8250
5155,8250
8328,8197
5122,8250
13509,8350
13529,7731
5205,7731
5089,8258
5161,3976
5122,8258
5103,7827
51,5722
13509,5296
7609,801
170,8181
13125,7981
5153,8338
51,6756
51,7780
5102,11972
5168,11972
13511,8325
12800,7835
5153,6297
5124,1058
13125,7997
51,7793
13530,6719
5140,7731
5187,12424
5109,7678
13529,6756
5160,8143
51,6781
13125,8015
51,7807
13509,8397
5210,7622
5139,6756
13512,8318
6726,6711
13125,3928
14123,7807
12734,7858
12800,7858
5091,8250
81,7915
13511,8353
13511,8350
51,7827
5091,8258
12800,11972
14621,6719
12800,11969
14621,7741
13512,8328
51,7835
13512,12435
13513,8309
5120,8397
13125,8046
5089,8338
5155,8338
5173,6756
8476,7793
5122,8338
5137,11969
13512,8344
115,7915
5122,6297
13512,8356
5089,6297
13523,8010
5208,7731
51,7858
13511,8397
5137,7891
13405,7587
13530,6781
13125,3976
5162,8143
5129,8143
5096,8145
5096,8143
5162,8145
5112,7647
5129,8145
13125,8078
13513,12435
5179,7622
5191,8274
51,11969
5138,11969
51,11972
5112,7661
5111,6670
13522,8078
117,7888
13511,5343
5199,8043
5138,7891
51,7891
5130,8143
5097,8143
5163,8145
14621,6781
5196,8143
5163,8143
51,7897
13529,11972
5130,8145
5097,8145
5093,8274
5157,8338
13529,11969
5114,7622
5160,8250
5106,11972
5091,8338
5091,6297
117,7915
13221,1058
141,8197
18,7915
54,7824
7915,7849
5113,6646
5205,7891
5133,8075
13531,7826
51,7920
13128,8046
13405,7647
50,7958
12970,6793
13521,8145
14426,6726
13530,11972
5090,8397
5176,6756
184,7915
13221,8258
13168,7849
5156,5343
5140,7891
13405,7678
13221,8274
13525,8065
12713,7635
13221,3149
12941,7746
5129,8250
5096,8250
5162,8250
5129,8258
5096,8258
5201,8075
5179,7731
5162,8258
51,7981
14426,7793
5166,8143
5199,8143
7835,8353
5166,8145
5160,8338
5111,7807
5125,8397
51,7997
5196,8250
5097,8250
13125,8218
5163,8250
5130,8250
6781,8274
5097,8258
5114,7731
5163,8258
5130,8258
51,8015
5208,7891
5134,8143
12945,6646
13221,12424
13530,7963
13405,6719
51,3927
5134,8145
51,3928
13221,8338
7780,8046
12945,7678
12800,8078
5151,7622
5112,7807
14428,7780
154,7915
141,8318
13221,6297
13719,8277
51,8043
5095,8350
51,8046
141,8328
5197,8274
141,12435
5129,8338
13125,8274
14621,7978
5096,8338
7609,8258
6655,8136
5162,8338
11660,7609
5096,6297
5162,6297
5129,6297
51,3976
117,8075
13530,3927
5210,7891
141,8356
8353,7741
5116,7731
13511,7587
51,8078
5121,7587
5153,7622
5196,8338
8353,7746
13405,6781
5097,8338
5163,8338
5130,8338
5163,6297
194,7758
13221,8397
5166,8250
12945,6726
12796,8274
5130,6297
12734,8145
5097,6297
12800,8145
12945,7746
13511,7609
12800,8143
5166,8258
13509,7681
14621,3927
13221,5343
5137,8143
5112,7891
13168,3923
5137,8145
5182,6756
13125,8325
12945,5722
5134,8250
194,6770
5151,7731
5134,8258
5153,7669
14427,7915
5179,7891
5089,7609
13125,8353
5138,8143
13125,8350
51,8143
13511,7647
