film_format_1,film_format_2
14422,2519
14423,2489
14422,2527
2411,14423
2477,14424
14424,2477
14422,2537
14423,2507
2081,14423
14422,2545
3006,14423
1949,14422
14422,2542
14423,2511
1817,14422
14423,2522
14425,6557
14425,2457
2610,14423
14423,2532
14422,2564
14423,2528
2412,14423
14422,2576
1884,14423
14422,2588
14423,2554
14423,2555
1686,14423
2611,14423
14422,2584
2611,14424
2545,14422
14422,2595
5452,14422
2149,14422
14423,2568
14422,2599
14422,2600
14423,2566
14423,2575
14422,2619
1687,14423
14423,2586
2678,14423
14422,2615
14422,2616
14422,2613
14422,2627
14423,2596
14422,2626
14423,2592
2282,14422
1952,14422
14422,2630
14423,2610
14423,2611
1754,14422
14423,2621
2679,14422
14422,2649
2613,14422
2481,14423
14422,2659
14424,2598
2415,14422
14424,2595
14423,2627
14422,2656
2151,14422
2019,14423
14422,2664
14423,2642
14424,2611
14423,2641
1689,14422
14422,2681
14424,2620
14422,2679
14424,2629
14423,2661
14422,2690
5323,14422
2086,14422
14422,2700
2152,14423
2020,14422
14422,2706
14422,2701
2681,14422
2615,14422
14424,2651
14422,2709
14423,2678
2417,14423
14422,2722
14423,2701
2087,14422
3078,14423
14422,2725
2880,14422
14423,2704
14425,2640
2616,14422
5523,14424
2352,14422
2286,14423
14422,2751
14422,2761
1956,14423
1890,14423
5788,14422
14423,2738
2749,14423
14423,2749
5590,14424
1560,14424
14423,2756
5326,14424
14423,2754
5392,14423
14422,2781
14422,2782
14424,2732
2882,14422
14422,2790
14423,2773
1627,14423
14423,2769
2420,14422
14423,2776
2354,14423
14422,2820
14423,2796
14422,2827
2883,14423
2751,14422
14422,2832
2619,14422
14422,2841
14422,2840
14422,2845
14422,2857
14422,2856
1629,14423
2620,14424
2554,14423
5593,14424
2356,14422
14422,2869
2158,14422
6254,14423
14422,2882
14422,2880
14422,2889
1894,14424
2621,14423
14423,2864
2555,14423
2489,14423
5396,14424
14424,2853
2093,14423
14423,2883
14422,2909
3018,14423
14422,2923
2820,14422
1829,14423
2754,14423
14422,2929
14422,2927
5529,14423
14423,2909
2160,14422
2094,14422
3019,14422
5728,14422
14423,2930
14422,2972
14423,2935
5266,14422
2095,14423
14422,2978
1897,14422
14422,2987
5927,14424
2690,14422
14422,2984
1699,14422
2756,14423
5795,14422
5729,14424
14423,2958
14422,2989
7579,14423
2426,14423
14422,3002
14424,2936
14423,2981
5994,14423
2889,14422
14422,3019
1766,14423
1634,14422
14423,2983
14422,3026
5598,14422
14422,3023
7580,14423
5532,14424
14423,3004
14423,3003
5334,14422
2097,14423
14423,3006
14423,3018
2626,14422
14422,3048
14422,3059
2494,14422
5401,14422
14422,3056
14422,3066
2230,14423
2164,14423
3023,14422
14423,3043
1834,14422
5930,14422
2627,14423
2627,14422
5666,14424
14423,3046
14423,3047
2429,14423
14423,3054
2297,14422
2099,14422
2958,14423
1901,14422
14423,3070
14423,3078
2364,14423
5271,14422
2166,14423
2827,14422
2761,14422
1638,14423
2629,14424
2365,14423
3026,14422
1903,14423
5867,14423
2630,14422
2564,14422
1573,14423
2432,14423
14422,5234
2234,14423
6066,14422
1838,14423
1640,14423
2433,14423
2301,14423
14422,5266
14422,5271
14423,5250
2566,14423
14424,5225
2434,14422
2302,14422
14422,5294
1972,14423
1708,14423
14422,5323
5474,14422
2303,14425
2105,14423
2105,14422
2832,14422
14422,5334
14422,5347
2700,14422
14422,5344
2568,14423
2238,14422
2040,14422
14424,5309
1974,14422
1710,14422
2701,14423
2701,14422
1578,14423
14424,5326
5344,14422
2305,14423
2173,14422
14422,5401
5741,14422
2306,14423
14423,5392
1976,14422
2042,14423
14424,5373
1976,14423
2769,14423
1712,14422
1778,14423
1646,14422
14422,5452
5478,14422
2175,14423
14424,5396
1779,14423
1713,14423
2704,14423
14423,5443
14422,5474
14424,5419
2308,14422
5347,14422
14422,5478
2044,14422
2507,14423
2309,14422
2243,14422
2111,14422
2045,14423
1979,14422
1913,14422
2706,14422
5745,14422
5613,14422
2640,14425
2376,14423
6340,14423
2046,14423
14423,7580
2773,14423
14423,7579
14423,5529
2641,14423
2575,14423
14424,5512
14424,5523
2972,14422
1981,14422
2840,14422
14424,5532
5879,14422
1651,14423
2576,14422
2642,14423
2444,14422
14422,5598
6540,14423
2378,14423
14422,1524
2048,14423
14422,5617
1850,14422
14422,1520
1916,14423
14422,5613
2841,14422
2709,14422
1520,14422
14422,1539
2511,14423
14422,1535
14422,5630
2181,14422
14422,5640
14424,5576
2049,14422
14424,5590
14422,1549
14423,1532
2776,14423
1653,14422
14424,5593
5617,14422
14423,1540
5419,14424
2909,14423
6014,14422
2909,14422
14424,5618
5948,14423
1654,14422
14422,1596
5816,14423
5750,14422
5618,14424
14423,1573
2315,14423
2381,14424
2249,14422
14422,5708
14423,1578
14422,1610
2051,14423
1985,14423
14422,5711
5751,14422
14424,1560
2316,14422
14422,1634
14422,5728
14424,5666
2184,14424
14423,5706
3043,14423
14423,1609
14423,1607
14422,5745
2845,14422
14422,5741
14422,1646
14422,1659
14423,1629
1656,14423
14423,1627
1524,14422
14422,5751
14422,1653
14422,5750
14422,1654
2449,14422
2383,14423
14422,1664
14423,1640
2978,14422
14423,1638
1987,14424
1855,14422
14423,1651
1723,14423
14424,5712
14422,5788
14422,1689
14423,1656
14422,1699
14422,5795
14424,5729
2252,14423
14423,1676
2120,14423
5225,14424
1988,14422
2054,14423
14423,1671
5886,14423
12529,3054
2781,14422
14423,5777
14422,1712
14423,1678
14422,1710
2649,14422
14423,1686
14423,1687
14424,1665
14423,1708
14422,1738
3046,14423
14422,1735
14422,1747
2782,14422
14423,1713
1659,14422
14422,1741
2584,14422
14423,1723
14422,1754
14423,5816
3047,14423
1990,14422
2981,14423
2651,14424
2519,14422
14422,5879
2387,14422
2255,14422
5294,14422
3048,14422
14423,5867
1925,14422
14423,1766
14422,1797
1793,14423
14422,5905
14423,1778
14423,1779
2586,14423
14422,1817
14422,5911
2322,14422
2256,14423
14423,1795
14423,1793
14423,5886
2983,14423
14422,5930
14423,1803
14422,1834
1926,14423
14423,1800
14425,1737
1596,14422
2389,14423
14422,1850
2257,14423
14423,1815
2257,14422
14423,1829
14422,1855
2984,14422
14422,1868
14422,1866
1795,14423
14422,1864
1861,14424
14422,1875
2588,14422
14423,1838
2522,14423
14423,5948
2456,14423
2324,14423
2258,14423
2126,14422
2126,14423
1928,14423
14422,1897
2853,14424
14424,5927
1664,14422
1532,14423
14422,1901
14423,1870
14423,1884
2457,14425
2391,14423
14422,1913
14423,1882
14423,1880
2259,14423
14423,1879
14424,1861
14423,1890
14422,6014
1929,14422
14422,1932
14422,1929
14423,5994
1797,14422
2722,14422
14422,1925
2656,14422
1665,14424
14423,1903
14423,1916
2326,14423
14422,1944
2194,14423
14424,1894
2128,14423
14422,1952
2987,14422
14422,1949
1864,14422
14423,1928
14423,1926
14422,6066
5630,14422
14423,1934
2393,14423
14422,1979
14422,1976
2195,14422
14422,1974
5234,14422
14423,1956
2063,14423
14422,1988
6093,14422
3054,14423
14422,1981
2856,14422
2790,14422
14422,1990
14423,1972
1535,14422
2592,14423
14422,6093
14422,6094
2394,14423
2328,14423
14423,1976
