nationality_1,nationality_2
3667,51
756,179
5780,90
7631,51
8424,51
6307,141
1286,141
1289,51
5253,51
6310,51
3139,51
6043,141
1025,51
6046,51
12388,51
3932,51
7893,141
5249,184
5782,51
6042,184
12124,51
3667,82
3668,51
5516,108
497,51
3666,117
7892,184
8689,51
3404,51
1290,51
233,51
4197,51
6311,51
1288,117
12122,141
3140,51
1026,51
8158,141
1286,184
6307,184
3933,51
6047,51
7897,51
3665,171
762,52
6043,184
3669,51
12125,54
6840,51
7633,51
3667,117
3403,108
6838,117
3405,51
7893,184
5519,51
4198,51
8159,141
8162,51
1027,51
12126,51
7635,9
8422,184
7894,176
8158,184
8214,6644
5784,51
5520,51
5783,90
3406,51
1292,51
235,51
5256,51
4199,51
3142,51
1028,51
12127,51
1288,184
8953,141
8163,51
3935,51
12125,108
764,51
6842,51
7899,51
500,51
3407,51
6839,154
1293,51
5257,51
6314,51
5520,90
7896,161
3143,51
4200,51
11861,126
1029,51
7896,170
8160,176
8164,51
3936,51
6366,6643
5786,51
7900,51
3672,51
8426,141
5522,51
499,117
12389,170
3408,51
1294,51
5258,51
4201,51
8161,170
8165,51
3144,51
1030,51
12393,51
6313,117
11862,127
3937,51
7901,51
8428,92
766,51
7898,141
3673,51
7637,51
3409,51
8430,51
1295,51
5255,176
3145,51
6312,176
8061,11498
5259,51
8426,184
500,127
1291,184
3938,51
6845,51
767,51
7635,141
8029,12506
6048,184
3674,51
7634,176
503,51
7638,51
5521,141
8431,51
1293,141
5787,90
6841,184
6317,51
1296,51
239,51
5260,51
1032,51
6053,51
5790,9
8167,51
4202,90
768,51
6846,51
5789,51
768,54
8696,51
7636,141
502,110
6049,184
5525,51
3411,51
3671,184
12392,170
3147,51
4204,51
5521,184
3145,117
8168,51
3940,51
4203,90
12128,176
6847,51
12395,103
505,51
4206,9
1035,9
7640,51
7902,127
1298,51
5262,51
6315,176
4205,51
1296,117
7636,184
6319,51
3148,51
12133,51
1034,51
3146,117
6055,51
7905,51
770,51
8695,141
237,191
3677,51
5791,51
6848,51
7641,51
1297,110
6320,50
1299,51
8167,141
3149,51
8434,51
5263,51
8170,51
12130,176
3942,51
6849,51
3676,108
8166,184
771,51
7906,51
6322,12
507,51
5528,51
3414,51
1300,51
6321,51
243,51
6318,141
1298,117
8435,51
5264,51
8695,184
3150,51
4207,51
1036,51
3941,108
7591,9840
6057,51
6054,141
12395,184
3943,51
769,141
6055,117
241,127
5793,51
6850,51
7907,51
3679,51
12133,117
8169,127
3939,184
508,51
7903,184
8433,141
7639,176
12401,12
7643,51
1038,9
3415,51
3675,184
12400,51
8436,51
3151,51
4208,51
1037,51
12132,176
6318,184
7904,170
3944,51
773,51
6319,154
5794,51
6054,184
6851,51
3680,51
509,51
7644,51
3416,51
1302,51
6847,186
6323,51
3412,184
3152,51
12398,141
3945,51
7909,51
774,51
3681,51
8702,51
7645,51
6057,127
510,51
7642,141
8438,51
5531,51
1303,51
4210,51
6324,51
5267,51
1039,51
12402,51
6060,51
245,95
3946,51
6853,51
775,51
8440,12
5796,51
511,51
7646,51
1301,141
8439,51
3418,51
3417,82
1304,51
6325,51
12399,167
7642,184
247,51
12135,170
5268,51
4211,51
3154,51
1040,51
12403,51
8171,176
6061,51
8175,51
773,141
12139,51
6854,51
5797,51
12399,184
3683,51
512,51
7647,51
11871,176
8440,51
3419,51
1305,51
6326,51
8437,141
12668,51
3155,51
7645,127
8174,110
1041,51
3153,117
12404,52
8172,176
8176,51
3948,51
5265,184
777,51
5798,51
6058,184
7908,176
6855,51
3684,51
6852,154
8705,51
5267,141
3420,51
1306,51
249,51
5270,51
4213,51
6327,51
8177,51
1042,51
3949,51
776,110
6063,51
7913,51
778,51
7910,141
3682,141
3685,51
6856,51
7648,75
5799,51
251,12
514,51
3421,51
5535,51
1307,51
7911,127
8337,11498
3157,51
6328,51
4212,117
1043,51
8178,51
1307,60
5269,117
6064,51
3950,51
6857,51
11874,176
3687,21
5800,51
3686,51
7910,184
515,51
7650,51
3682,184
12405,103
1308,51
6329,51
251,51
7912,127
8443,51
5272,51
3158,51
12669,117
4215,51
1044,51
1040,176
12669,127
780,51
6858,51
3687,51
516,51
12672,51
3423,51
1309,51
6330,51
8444,51
7649,127
3159,51
4216,51
1045,51
8180,51
3424,33
3952,51
781,51
5802,51
6062,184
6859,51
7916,51
8178,126
517,51
3424,51
1310,51
1047,12
3156,170
5534,184
4214,141
3160,51
1046,51
12405,184
3423,97
6067,51
12145,51
3689,51
7653,51
8179,127
518,51
3421,170
12408,108
3422,141
3425,51
5539,51
3685,186
5537,117
4218,51
1045,110
12406,179
11880,97
7915,141
4214,184
3954,51
6861,51
7914,176
783,51
12406,184
12142,176
3690,51
12671,168
1313,12
519,51
7654,51
5540,51
3426,51
6333,51
1312,51
255,51
11878,184
3422,184
3162,51
12144,141
12671,184
1048,51
6069,51
8183,51
3955,51
8976,51
5805,51
3428,9
