neighborhoods_1,neighborhoods_2
8475,10879
9686,9685
10832,10832
8475,10300
8526,10009
8475,10888
8475,9480
8476,11369
9535,11180
9535,10797
9535,9638
9686,11369
8476,11248
9973,11369
9702,10808
9535,8497
8526,10912
9973,11248
8476,10808
8475,10391
9535,10300
8475,11033
8475,10329
8475,9364
9686,11248
10517,10009
8476,10626
8526,10413
9535,10879
9686,10808
8475,9638
10517,10912
9686,10626
9973,10626
9535,10888
9535,9480
9535,9364
8475,8497
9702,9685
8475,11180
8475,10797
10517,10413
9535,10391
8476,9685
9535,11033
9535,10329
