celebrities_impersonated_1,celebrities_impersonated_2
1235,3251
1112,6297
6024,4301
1296,5972
1296,6741
4326,6250
1296,1367
1296,856
1296,3928
1296,6237
1296,8289
1296,5731
6024,4316
1296,1384
6024,3296
1112,4275
1296,8043
5224,5830
1296,5999
4326,3976
4326,8072
1296,3184
1296,7794
1235,475
3754,7891
1296,6266
6024,4086
1235,4064
1296,5759
3754,6875
1296,6275
1296,8325
1296,646
1296,7814
1296,3976
1296,5257
1296,650
1296,394
1296,6028
1296,8078
6024,5897
1296,5263
1235,6899
1235,3827
1296,6290
1296,6291
1296,6041
1296,6042
1296,7835
1296,6048
1296,6049
1235,1028
5318,7835
1296,7844
1296,5287
1296,5289
1296,3497
1296,1454
1235,1041
4326,8391
1296,5296
1296,6067
1296,692
1296,1207
1296,6071
1296,4026
1296,6076
1296,14017
1296,961
1296,4033
5224,3362
4326,3553
1296,8399
1112,3096
1296,3537
1296,3538
1296,7891
1296,6099
1296,4051
1296,8917
4326,8170
1112,1311
1296,1242
1296,6875
1296,476
1296,4316
1296,3294
1296,5343
1296,3296
6024,1367
1296,5857
4326,6139
1296,5610
1296,8170
1296,7661
1296,6126
1296,5616
1296,7920
1235,3416
1296,4086
1296,1018
3754,3928
1296,7681
4326,3862
1296,5634
1296,5891
1296,8197
4326,4127
1296,5897
6024,8325
4326,5412
5318,7681
1296,5902
1112,3928
6024,3976
4326,7980
1296,6167
1296,1048
1296,6939
1235,3711
1296,3614
1296,7969
1296,5410
1296,5412
1296,3623
1296,3624
1296,5673
1296,5677
1112,4215
4326,7752
1296,5937
1296,6194
4326,4171
1296,3892
4326,3917
6024,5296
1296,12093
4326,3928
4326,3416
1296,5441
1296,14658
6024,6072
1296,3907
1296,5956
4326,3674
4326,5722
1296,8265
1296,6217
1296,6220
1296,5710
