fraternities_and_sororities_1,fraternities_and_sororities_2
12011,12751
10409,12751
10314,13135
9488,13135
6697,13135
3340,12751
10512,13135
11408,12751
6764,6708
6722,13135
6755,13135
11206,13135
6788,13135
6718,12751
10364,13135
10752,13135
6780,13135
10740,12751
10034,13135
6743,12751
10104,12751
10038,12751
10806,12751
6772,13135
10889,12751
6768,12751
6665,13135
10447,13135
10030,12751
6764,13135
6789,13135
11108,13135
6727,12751
6785,12751
10695,13135
12008,13135
9989,12751
6752,12751
12000,13135
6715,13135
6748,13135
9395,12751
6769,12751
9878,13135
9449,13135
6761,12751
11216,13135
11344,12751
9965,12751
6732,13135
11043,13135
6790,13135
10820,13135
10977,13135
9346,12751
6728,12751
12034,13135
9825,12751
10663,13135
10023,12751
6749,13135
6782,13135
10428,12751
10490,13135
6720,12751
9280,12751
10366,13135
10771,13135
10676,12751
9458,13135
6675,13135
10325,13135
10763,13135
11147,12751
6766,13135
10441,13135
9392,13135
11341,13135
10862,13135
6758,13135
6791,13135
10850,12751
9640,13135
9768,12751
6754,12751
6787,12751
9372,12751
10202,13135
11284,13135
10673,13135
6680,12751
11602,12751
11260,6708
6771,12751
10037,13135
10198,12751
10735,12751
9583,13135
10512,12751
3340,13135
9773,13135
10851,12751
10244,13135
6727,6708
6755,12751
11206,12751
6788,12751
10881,6708
9658,13135
6747,12751
9592,13135
10104,13135
6772,12751
11344,6708
10889,13135
6665,12751
9456,12751
10030,13135
6764,12751
6657,12751
10695,12751
11468,6708
6761,6708
6653,13135
6752,13135
9696,12751
6682,12751
9618,13135
9878,12751
6707,12751
6740,12751
11563,12751
11089,6708
10601,13135
11344,13135
9391,12751
6732,12751
11076,12751
10977,12751
12034,12751
10469,13135
11014,13135
10139,13135
6749,12751
9499,12751
10428,13135
6782,12751
6778,13135
10366,12751
9908,13135
11122,13135
9392,12751
6791,12751
10247,13135
6692,12751
12006,13135
6742,12751
11602,13135
11255,13135
12023,13135
6738,13135
10293,12751
