source_1,source_2
9267,12823
10324,12823
9201,12823
11381,12823
9333,12823
9994,12823
11183,12823
11117,12823
10126,12823
10721,12823
9862,12823
8475,12823
9466,12823
10457,12823
10655,12823
10589,12823
11646,12823
10259,12823
11448,12823
11052,12823
10127,12823
11184,12823
11118,12823
11779,12823
11713,12823
9665,12823
9863,12823
10920,12823
10854,12823
9797,12823
11515,12823
8476,12823
10524,12823
11449,12823
10656,12823
9599,12823
9533,12823
10590,12823
9203,12823
10326,12823
10987,12823
10463,12683
11119,12823
11053,12823
9864,12823
10459,12823
11516,12823
3450,13009
11450,12823
9600,12823
11648,12823
9534,12823
8477,12823
11582,12823
10129,12823
10327,12823
10988,12823
9865,12823
10063,12823
9667,12823
11649,12823
9601,12823
9799,12823
11781,12823
11451,12823
10394,12823
9337,12823
11187,12823
11121,12823
11253,12823
10923,12823
11055,12823
10064,12823
10989,12823
9668,12823
10659,12823
11650,12823
9800,12823
10725,12823
11782,12823
10395,12823
9338,12823
10527,12823
11584,12823
10461,12823
11188,12823
9272,12823
10924,12823
10858,12823
10990,12823
9933,12823
10660,12823
10792,12823
10396,12823
9339,12823
11321,12823
10528,12823
9405,12823
11123,12823
10132,12823
5964,13009
9802,12823
10000,12823
10991,12823
9934,12823
9604,12823
11652,12823
9538,12823
10529,12823
9670,12823
10265,12823
9472,12823
9406,12823
11454,12823
11124,12823
10067,12823
11058,12823
10001,12823
9208,12823
11190,12823
9803,12823
9737,12823
9935,12823
10926,12823
11587,12823
10596,12823
9539,12823
11719,12823
11323,12823
9275,12823
10266,12823
10464,12823
11389,12823
10068,12823
11059,12823
10200,12823
11125,12823
9540,12823
11588,12823
10465,12823
11522,12823
9672,12823
9606,12823
10399,12823
11456,12823
11390,12823
10994,12823
10069,12823
10796,12823
11721,12823
10730,12823
9805,12823
11655,12823
10664,12823
9607,12823
9541,12823
10598,12823
11259,12823
9211,12823
11193,12823
9343,12823
10400,12823
11325,12823
10004,12823
9938,12823
10929,12823
10136,12823
11061,12823
10731,12823
9740,12823
9806,12823
10467,12823
11524,12823
10401,12823
10599,12823
10533,12823
9212,12823
10137,12823
9344,12823
11392,12823
12377,13009
10996,12823
11723,12823
10732,12823
9675,12823
10666,12823
9741,12823
11459,12823
3393,13009
9543,12823
11195,12823
9147,12823
10336,12823
11261,12823
10270,12823
11063,12823
10997,12823
10667,12823
9676,12823
11724,12823
9610,12823
11658,12823
9808,12823
10733,12823
10403,12823
11460,12823
10337,12823
11592,12823
11130,12823
10073,12823
10271,12823
9809,12823
10007,12823
10668,12823
9611,12823
10602,12823
10800,12823
9677,12823
10338,12823
11461,12823
10140,12823
11065,12823
11263,12823
9215,12823
11197,12823
9149,12823
10867,12823
10801,12823
9942,12823
11594,12823
9744,12823
10273,12823
11330,12823
10075,12823
10141,12823
10868,12823
11000,12823
10934,12823
10604,12823
9547,12823
9679,12823
9283,12823
11265,12823
11463,12823
10406,12823
10076,12823
10010,12823
10208,12823
9812,12823
10869,12823
10539,12823
9548,12823
11596,12823
10605,12823
11464,12823
11398,12823
10011,12823
9945,12823
11795,12823
9747,12823
11729,12823
9813,12823
9483,12823
11663,12823
10672,12823
11267,12823
9219,12823
11201,12823
10210,12823
11399,12823
10408,12823
1021,13009
10012,12823
9946,12823
11069,12823
10078,12823
11796,12823
9682,12823
10871,12823
5580,13009
9418,12823
9616,12823
11664,12823
11598,12823
11268,12823
9154,12823
11202,12823
11334,12823
824,13009
9881,12823
10938,12823
11136,12823
11665,12823
9815,12823
10872,12823
11797,12823
9419,12823
10476,12823
9155,12823
10212,12823
11137,12823
10146,12823
11335,12823
