region_1,region_2
1996,141
8542,9187
5927,141
2211,141
2657,141
2053,9137
2079,141
2905,141
2228,141
1639,9187
2063,141
2030,141
3021,141
14142,9187
2955,141
2988,141
1865,141
8561,9137
8544,9153
3038,141
2840,141
8575,11290
2251,9187
5334,141
1651,141
1552,141
2031,141
2576,141
6540,141
2444,141
14143,9187
2824,141
2348,51
1982,141
2907,141
8546,9137
5335,141
2709,141
2610,141
2544,141
2134,51
2181,141
2115,141
8547,9137
2016,141
2429,141
5435,141
2462,141
5303,141
2842,141
2743,141
8578,11763
8562,9187
2710,141
2611,141
1576,9187
2991,141
2281,141
2595,141
2348,117
2496,141
6014,141
2265,141
2810,141
8563,9187
2744,141
2348,132
2678,141
8565,9137
2100,141
6031,141
2315,141
2827,141
8327,141
1704,141
2629,141
2051,141
2497,141
8564,9187
1622,141
2134,141
3059,141
2993,141
2481,141
2861,141
5355,141
1745,9137
5421,141
1738,141
8548,9187
2250,141
5322,141
2696,141
5801,141
5603,141
3043,141
2498,141
1953,141
2201,141
1590,141
3027,141
5590,51
1581,9137
2598,141
8566,9187
5373,141
2169,141
1777,11271
8549,9207
2134,1744
2863,141
1908,51
2389,6644
2672,9137
1608,141
5225,141
3078,141
2467,141
8552,9137
5989,27
2389,12
2484,141
2732,141
3013,141
2389,29
2389,6684
2468,141
1923,141
1890,141
5590,132
2848,141
2237,141
1560,141
5689,141
2386,141
5560,51
2389,51
2287,141
2155,141
14141,9504
2122,141
3047,141
2023,141
5954,141
5756,141
8571,9137
2208,51
5989,91
2389,78
2621,8762
2288,141
2522,8762
2222,141
2389,89
2569,141
5989,107
3048,141
5476,141
3033,97
1892,141
2817,141
2751,141
2718,141
2107,141
5989,117
8539,9137
5760,51
2389,110
5328,141
5295,141
8554,9187
5989,133
2025,141
2438,141
2389,127
2389,126
5989,141
2306,141
2818,141
8538,9187
5345,141
2389,132
8573,9137
2389,135
8540,9137
2620,141
5560,141
2009,141
3000,141
2389,141
1844,141
2191,141
5989,166
5989,175
8555,9207
14138,9187
8572,9187
2274,141
1729,141
5989,176
2208,141
1571,9137
2211,51
8574,9137
14140,9137
5989,183
8541,9137
5495,141
2079,51
2032,9187
6073,141
2389,170
1746,141
8556,9187
8558,9137
2638,141
3018,141
5479,141
2853,141
2275,141
5413,141
5595,141
2358,141
2738,141
2094,141
2061,141
2474,141
2217,9137
1665,141
2546,9187
5530,141
1715,141
2706,141
2607,141
5266,141
2095,141
