adjustment_currency_1,adjustment_currency_2
145,12986
112,12986
79,12986
6636,12986
6669,12986
46,12986
13,12986
6702,12986
162,12986
129,12986
96,12986
30,12986
6686,12986
179,12986
80,12986
47,12986
14,12986
196,12986
130,12986
97,12986
64,12986
31,12986
9974,12986
6704,12986
147,12986
114,12986
81,12986
6671,12986
197,12986
164,12986
131,12986
6688,12986
98,12986
65,12986
32,12986
181,12986
6672,12986
115,12986
82,12986
6705,12986
49,12986
1585,12986
6639,12986
198,12986
132,12986
99,12986
66,12986
6689,12986
33,12986
9249,12986
182,12986
149,12986
116,12986
83,12986
17,12986
166,12986
133,12986
100,12986
67,12986
34,12986
1,12986
183,12986
117,12986
84,12986
51,12986
18,12986
167,12986
134,12986
68,12986
35,12986
6691,12986
151,12986
118,12986
85,12986
52,12986
6642,12986
168,12986
135,12986
102,12986
36,12986
3,12986
185,12986
152,12986
6676,12986
86,12986
53,12986
20,12986
6643,12986
169,12986
136,12986
103,12986
37,12986
186,12986
120,12986
87,12986
6644,12986
54,12986
21,12986
170,12986
137,12986
104,12986
71,12986
38,12986
5,12986
6694,12986
13532,12986
187,12986
154,12986
121,12986
88,12986
22,12986
6645,12986
6678,12986
171,12986
138,12986
105,12986
188,12986
122,12986
89,12986
56,12986
23,12986
6679,12986
172,12986
139,12986
106,12986
73,12986
40,12986
156,12986
123,12986
90,12986
57,12986
24,12986
6647,12986
140,12986
6664,12986
107,12986
74,12986
41,12986
190,12986
157,12986
124,12986
91,12986
58,12986
6681,12986
25,12986
174,12986
141,12986
108,12986
75,12986
6632,12986
42,12986
9258,12986
92,12986
59,12986
26,12986
13338,12986
175,12986
142,12986
109,12986
76,12986
43,12986
6666,12986
192,12986
159,12986
6716,12986
126,12986
93,12986
60,12986
27,12986
6683,12986
176,12986
6700,12986
143,12986
110,12986
44,12986
11,12986
127,12986
6684,12986
94,12986
6717,12986
61,12986
28,12986
177,12986
144,12986
6668,12986
111,12986
78,12986
6734,12986
45,12986
12,12986
161,12986
128,12986
6652,12986
95,12986
6685,12986
62,12986
29,12986
