dog_breed_1,dog_breed_2
11481,12797
8475,13306
10389,12854
8475,12797
11481,13306
10648,13028
9714,12797
8525,13306
10984,12854
9199,14429
11184,12797
9714,13306
11184,13306
10408,12797
8525,12797
10408,13306
10210,12797
8509,13306
8476,13306
10210,13306
9399,12854
8509,12797
8476,12797
9443,13028
8526,13306
10389,14429
10754,12854
10984,14429
9493,13028
8526,12797
9451,13306
9451,12797
8475,12854
8477,13306
11481,12854
9714,12854
11184,12854
9399,14429
10872,12797
8477,12797
10872,13306
10408,12854
8525,12854
9659,13028
10210,12854
10832,13028
10766,13028
9700,13306
10754,14429
9155,13306
10691,13306
9700,12797
8509,12854
10691,12797
9155,12797
8476,12854
10361,12797
11481,14429
10361,13306
8475,14429
9451,12854
8495,13306
9714,14429
9528,13028
8495,12797
11184,14429
10989,13306
10519,13028
9660,13028
8526,12854
10408,14429
10989,12797
8525,14429
10210,14429
10872,12854
10048,12797
8477,12854
10123,13028
10048,13306
10362,12797
10239,13028
10362,13306
8509,14429
9155,12854
10691,12854
9199,13028
8526,14429
9700,12854
9451,14429
8513,12797
10361,12854
8513,13306
10872,14429
8477,14429
9389,13306
8495,12854
10989,12854
10048,12854
10248,12797
10389,13028
9389,12797
10248,13306
10362,12854
10984,13028
9700,14429
10691,14429
9155,14429
10361,14429
9399,13028
8495,14429
8531,13306
8531,12797
8513,12854
10989,14429
9853,13306
10048,14429
10362,14429
9688,12797
11224,12797
9853,12797
10754,13028
11224,13306
9688,13306
9490,12797
11481,13028
10248,12854
9490,13306
8475,13028
9389,12854
9714,13028
10408,13028
8513,14429
8525,13028
10614,13306
8531,12854
9425,12797
8509,13028
10614,12797
8476,13028
9425,13306
8526,13028
11176,12797
10248,14429
9389,14429
11224,12854
9688,12854
9853,12854
9451,13028
9490,12854
10648,12797
10648,13306
10872,13028
8477,13028
8531,14429
9443,13306
9443,12797
9493,13306
9688,14429
9425,12854
11224,14429
10614,12854
9700,13028
9853,14429
9155,13028
10691,13028
9490,14429
10361,13028
11176,12854
9493,12797
8495,13028
10648,12854
10989,13028
9659,13306
9659,12797
10766,13306
9425,14429
10832,12797
10614,14429
10832,13306
10362,13028
9443,12854
11176,14429
10766,12797
9660,13306
8513,13028
9528,12797
10519,12797
10648,14429
9660,12797
9493,12854
9528,13306
9991,13306
9991,12797
10123,13306
10123,12797
9659,12854
10248,13028
10239,12797
9389,13028
9443,14429
10832,12854
9199,13306
9199,12797
10766,12854
9493,14429
8531,13028
9528,12854
10389,13306
10519,12854
9659,14429
11224,13028
10123,12854
9688,13028
10832,14429
9853,13028
10389,12797
10984,12797
9991,12854
10766,14429
10984,13306
9490,13028
10239,12854
9399,13306
9528,14429
10519,14429
9399,12797
9660,14429
10614,13028
9199,12854
9425,13028
9991,14429
10123,14429
10754,12797
10239,14429
10754,13306
