partially_containedby_1,partially_containedby_2
10209,5124
14376,109
11504,51
10466,10465
11546,27
170,9137
11586,5200
104,9137
11586,5194
17,9536
51,8484
63,9137
10291,5154
9197,170
10291,5169
10291,5164
10258,5164
170,14024
10291,5174
92,9532
11640,5086
10291,5177
10209,5152
10258,5169
128,9187
10258,5181
51,9530
11546,6725
92,9285
9484,5113
10291,5185
10209,5161
11640,5090
10291,5181
10209,5172
11586,117
11546,77
9156,9401
10209,5175
6679,9137
60,9530
11640,5105
10291,5206
9446,170
11504,117
11546,90
10555,92
11591,6643
10555,102
11591,6645
6655,9137
14026,8476
10209,5202
11546,107
10304,5086
11367,36
11640,5136
10821,9278
10258,116
9484,5175
11591,6676
9197,6644
6679,9187
11591,17
9467,9285
11640,5164
12,9532
11367,60
177,9285
10304,5105
11587,11166
170,8484
11367,76
11591,6700
9197,12
11640,5175
6655,9187
11587,10916
11546,166
14376,6645
11591,6705
63,9262
170,9530
170,9532
10555,170
10466,10609
104,9536
9197,6694
9247,5144
10466,9862
10732,10063
92,10172
59,10172
60,9375
9247,5150
9197,6700
9197,44
10291,9409
11591,84
14376,17
14418,5113
14418,5128
126,9137
92,9169
59,9169
11586,5119
14418,5143
10466,9125
11591,109
11367,140
11367,135
10291,5086
14418,5152
11591,111
11498,9137
9714,11195
10258,5093
10291,5095
10291,5090
10466,11697
10291,5093
14418,5167
11586,5150
11367,162
10209,5086
10291,5098
11591,127
14418,5175
11367,171
10258,5110
10291,5112
10466,11713
10291,5107
10291,5108
126,9187
10291,5118
10821,9937
10209,5101
14418,5184
132,9262
10209,5099
10291,5126
14418,5192
128,9137
170,9375
10291,5124
11586,51
10258,5124
9197,127
10466,11485
10291,5136
10258,5136
10291,9227
10291,5131
10209,5113
11498,9187
