program_1,program_2
6281,939
3435,1101
3249,723
1930,651
12971,399
14587,1503
12311,375
7886,12627
12971,395
3435,1107
3789,372
1528,834
3656,401
1528,841
676,630
3584,602
3249,748
12236,678
3658,359
12971,429
6264,1504
6893,437
12843,12598
3784,561
3992,260
12368,695
4192,203
4192,209
3435,1149
12376,461
12909,317
12180,389
3515,723
3435,1155
12376,467
1083,12627
12180,401
548,547
3460,387
12236,721
3249,788
3395,361
3785,561
3859,12604
548,557
3249,794
940,695
3992,291
4324,244
3315,804
3435,1182
8472,681
3249,806
3317,748
3516,723
3461,387
6885,736
3430,1347
12708,457
3596,302
4192,262
4041,847
4252,453
3992,319
735,939
4256,331
12709,429
6836,228
3269,215
4325,244
3401,221
4192,281
1326,1063
3249,843
3431,1347
3315,847
8472,719
8154,12627
679,645
3656,524
3327,482
940,754
1528,958
810,690
8225,207
4252,489
6837,228
3402,221
4252,498
3138,215
13435,491
3730,298
6827,547
13413,1180
735,989
1342,604
6963,437
3394,482
4053,534
5940,1433
4192,324
4192,329
13217,1134
3799,224
3402,250
6108,12627
4252,538
1052,1433
3696,1389
3395,482
8420,355
3453,736
3337,238
12898,802
8420,368
3914,788
3450,836
4252,547
3929,12614
3337,244
3599,12604
4252,557
6965,421
12176,678
4252,561
6832,453
3469,258
396,1314
12470,1799
280,818
3096,1588
12818,1259
8420,2439
3931,285
12898,834
3455,711
7002,1347
12898,841
3930,12614
3797,357
6104,522
12321,12597
12320,336
261,1433
3269,349
1528,1073
4192,408
4119,627
1288,324
363,334
3600,12627
13239,534
12730,1992
3236,1389
3316,968
3454,788
8420,448
8410,758
7593,1504
12320,375
3207,258
3990,561
363,361
6903,377
299,298
3249,1008
4192,448
4192,453
13435,636
13413,1317
4252,645
694,351
14587,1799
3249,1020
3591,661
3472,258
3455,788
12388,341
3731,424
12704,798
4192,471
3991,561
6836,433
4252,666
940,939
4192,480
1133,1107
4192,489
3140,334
999,1169
12368,989
5649,377
3799,387
3604,287
13112,461
12470,1927
13237,690
12898,958
1220,482
6828,2765
4252,700
5651,12627
3138,421
1287,461
3700,1433
12971,761
6903,453
1287,467
3604,319
12388,395
3604,324
3319,968
435,262
1478,697
8472,970
4192,538
4192,536
12470,1971
6829,2765
280,989
4192,547
3204,457
4192,561
6180,381
12971,804
3138,482
12162,1317
14339,1417
12180,761
4200,334
3731,536
12162,1325
13383,12627
14587,1927
13697,843
3515,1101
3249,1155
1528,1259
13018,1417
4252,784
4003,12604
1346,763
4054,784
2550,304
3591,800
881,843
898,12604
940,1063
12971,836
3871,319
2024,232
1356,461
6829,786
4252,800
1356,467
899,298
13316,397
3516,1101
3278,295
6911,12604
13435,818
701,12604
3348,2227
3278,304
1028,424
3249,1217
12388,538
3584,1073
12394,351
3278,322
4071,12604
5854,12627
1077,970
4252,847
3203,602
14339,1503
6828,877
6915,226
3143,427
6317,12627
3668,538
3940,300
2024,304
2550,383
12447,786
12394,381
8103,279
3943,221
3204,602
8420,693
5988,12604
3604,498
691,690
705,258
6829,877
3931,604
940,1169
3669,538
13697,968
6187,12604
5922,12627
3435,1660
8410,1033
4192,723
6281,1504
13239,851
4041,1317
3283,238
4252,919
3605,498
6851,228
6916,260
899,421
4041,1325
3745,265
3295,1927
705,298
12236,1241
3295,3983
12311,970
1156,666
3987,968
3284,238
3249,1325
7882,1063
4252,951
1077,1076
3149,334
2024,397
12709,933
1528,7583
4324,784
3731,736
3348,324
1491,547
3249,1347
8410,1105
13112,754
694,690
3278,459
3744,349
3592,968
4010,300
4192,800
13383,552
4210,248
4192,806
1501,258
3480,349
635,482
13124,401
3741,455
12898,1259
3929,772
4325,784
435,547
12470,201
3615,273
3733,711
8766,12627
12470,203
1152,851
906,287
696,654
12470,209
435,557
6916,347
12470,211
13722,12598
3249,1389
1528,1494
3604,630
2024,459
12470,215
638,421
12470,228
1215,968
2550,543
12470,221
12470,224
1637,2227
3600,765
12470,234
3677,431
12470,230
3335,794
1237,298
1798,1340
1930,1344
940,1317
12470,244
12311,1076
5922,474
12470,238
4121,1012
12730,370
7624,970
12470,250
12470,258
3249,1433
12470,260
280,1317
6916,399
6982,408
1307,203
12470,265
12470,262
1106,298
12909,1000
1040,298
12470,269
12470,271
12470,281
12998,295
907,334
3337,784
12470,289
12470,291
12470,285
12470,287
12470,298
12470,300
12470,295
4013,12609
4013,12614
6836,877
1358,711
12998,322
3249,1486
13329,12598
12470,12604
12470,315
2024,556
13329,304
12470,322
1173,12605
12470,324
3613,457
12470,317
3488,238
12470,319
1637,275
12470,329
13133,256
3488,244
12470,326
1930,7583
12470,12627
6837,877
12470,339
12470,334
13237,1134
4018,205
12470,347
6128,12627
6915,522
12470,355
1041,349
12470,349
12470,351
12470,361
3882,349
12470,357
8472,1417
1438,12627
12470,359
14587,267
12470,372
4210,429
12470,368
13316,763
12704,1317
12470,377
12470,379
3435,3983
13112,954
778,334
12470,6518
1637,331
13329,383
12470,387
3818,309
12470,383
13133,309
3292,238
3157,329
8225,919
3226,238
6856,349
8290,951
4071,666
13133,12605
2550,720
3093,273
3818,326
3622,258
2550,722
6911,700
12470,6544
12470,397
12470,399
1021,1020
1341,1340
701,700
14587,12609
8290,963
14587,12604
12470,408
3421,357
12470,419
8444,291
12320,970
3157,355
1637,372
