state_province_region_1,state_province_region_2
12025,5150
13018,5095
12884,5150
11556,9453
10508,5086
9781,5095
10145,10204
12777,8487
10706,5110
10171,9403
13215,5150
9847,5112
12753,5150
10374,5172
6807,5150
10861,8503
11395,141
9583,5113
12819,5161
9515,5185
9848,5095
3306,5150
11563,5181
6743,5105
9452,5093
13414,5150
9782,5112
6675,5181
10441,5169
13152,5095
10176,5203
13086,5107
10310,5141
11170,5118
11234,5181
6807,5200
12159,5187
10376,5164
13219,5095
9255,5095
10427,9734
11433,5174
6742,5187
10244,5175
12027,5200
11525,10522
9450,5209
9649,5184
12821,5156
10114,5107
13020,5144
12163,5095
10906,5150
12887,5175
10774,5150
10494,9734
13154,5112
10247,5124
9849,5169
11107,5095
12757,5144
11337,9
11039,5150
9982,5150
10645,5090
10180,5164
6745,5156
13418,5150
10644,5124
7076,5150
12032,5118
10249,5095
11240,5090
10314,5131
6747,5118
11303,5203
9785,5156
10447,5113
9391,5090
13088,5182
9721,9200
6680,5172
12164,5150
10563,9734
12826,5118
10380,5164
12166,5093
12761,5095
10512,5181
12693,5150
9524,5095
10251,5086
9392,5093
3446,5095
11108,5152
11042,5150
3775,5142
10185,5095
13026,5095
6748,5150
9985,5164
9257,5202
9589,5150
10977,5131
9627,10117
12018,9734
11043,5142
9459,5095
14082,5142
3249,5095
9324,5182
11175,5157
11177,5095
6749,5145
9456,5194
10847,5090
9788,5150
9458,5150
4241,5095
12034,5181
12191,8509
11178,5095
12041,11110
9778,9578
11332,8510
11572,5175
13050,8509
6682,5209
9789,5150
10452,5088
9395,5088
13226,5119
12168,5150
12167,5175
7081,5150
12853,8487
9327,5164
13065,10117
10779,5203
11309,5156
12019,9770
1930,5095
12697,5150
6751,5150
12500,5110
9592,5145
10451,5150
9658,5154
12831,5095
13426,5093
12169,5150
13358,5154
3979,5095
9989,5150
12896,5156
9330,5112
9393,5209
6752,5164
9265,5095
9357,191
6754,5113
12038,5150
11247,5095
12700,5110
11313,5098
9772,9873
12172,5105
9728,5088
11295,9761
13031,5095
12039,9235
10477,8504
9662,5098
10915,5174
9975,9734
12832,5150
3743,184
10587,5107
10255,5158
14021,5150
9248,9761
10059,5110
12768,5095
11730,10670
12042,5095
12965,5150
12174,5095
10718,5175
8473,5150
10853,5098
12701,5150
10919,5095
10454,5175
10875,8508
3122,5150
13428,5150
10325,5086
12703,5095
10450,11462
10193,5095
13296,5154
10985,5112
13230,5150
10307,9759
11380,5169
6692,5090
12175,5095
10787,9213
6755,5187
6758,5093
10851,5187
12026,9734
9598,5131
10917,5202
3123,5150
9664,5142
12901,5154
6757,5150
12000,8509
12969,5090
10128,5095
10852,5182
10591,5093
11714,5095
9798,5093
10456,5175
12837,5095
6649,8509
12837,5093
9927,5203
9400,5156
10312,9654
13234,5095
10380,9600
13035,5119
13283,9734
3389,5150
9138,5112
9268,9269
9730,5187
10790,5095
3125,5150
9666,5143
13235,5095
3656,5093
9205,5112
3192,5150
12377,5095
10610,10714
9929,5203
10856,5150
12179,5090
13102,5150
13434,5110
10593,5112
6784,8509
10286,8488
11254,9200
11316,11385
13699,5095
12706,5156
12045,5177
6628,5164
11359,10061
9133,9434
6762,5112
6693,5203
12180,5095
11651,5112
10460,5164
10724,5174
12178,5156
9537,5107
