military_personnel_involved_1,military_personnel_involved_2
13569,5287
13569,3623
13569,7847
13569,5412
13630,8258
13587,8181
13600,12383
13569,8353
13569,5549
13569,7595
13569,4139
13630,965
13569,6824
13569,3496
13569,4279
13600,4086
13630,5969
13569,8373
13569,1200
13569,5311
13630,732
13600,7803
13630,5722
13094,7744
13569,8249
13569,4292
13569,961
13569,449
13569,4033
13569,5455
13569,3532
13600,6156
13587,7964
13630,5862
13597,6898
13569,11861
13587,7717
13569,6099
13569,4304
13620,11939
13569,13534
13569,8159
13569,5343
13569,1115
13630,7669
13569,856
13630,8181
13630,6646
13587,4139
13621,7963
13569,12135
13569,7649
13569,8289
13569,8175
13569,7661
13569,3178
13569,8043
13600,7731
13569,8181
13569,8306
13569,8307
13569,6000
13569,7920
13569,1392
13615,12383
13630,7963
13587,3537
13630,6297
13569,6141
13104,7881
13569,4218
13587,8396
13600,8250
13569,7803
13569,646
13569,7942
13630,5412
13569,8068
13569,6916
13569,6148
13569,6275
13569,5763
13600,3778
13569,7939
13569,8078
13587,7902
13569,394
13569,7947
13569,6025
13569,8338
13569,3614
13587,12398
13569,4125
13569,7835
