vacationer_1,vacationer_2
10984,7720
8478,1438
9885,5950
10016,866
11764,6080
8478,428
108,825
108,7994
8478,5553
75,7994
8478,1459
8530,5991
9443,1236
8478,1456
5157,8164
6666,3370
10742,3989
171,4016
5112,354
11755,3318
13,727
9156,952
5157,1017
5157,4089
8478,7644
10632,3328
8488,1183
9523,3916
5157,4106
9188,4081
8478,3564
54,8705
9443,3338
8488,6321
5157,4113
10319,6904
9443,1302
5157,3095
11764,4105
5182,270
9156,4053
9443,1311
10319,5894
8478,3574
8510,535
8482,5500
9137,555
8485,3371
8480,3521
170,4113
8510,549
10361,8705
10984,11919
10984,5775
10351,824
186,7720
5157,12342
9523,3975
5141,5672
11351,7720
12,3906
117,3724
9453,6155
8478,3612
127,3422
9188,6181
5157,3145
5157,6222
108,952
121,7720
92,428
6684,5997
10220,3904
8488,3325
10083,8152
75,6080
8488,8452
41,8164
5157,5217
11551,549
11131,3328
137,6222
5115,1406
11551,5675
8505,768
10483,3975
108,8164
13262,6920
9414,3326
9443,5500
8488,3371
131,1316
99,8452
8478,605
9702,5672
8488,3370
99,3338
18,3801
10016,3118
5157,3218
11059,7644
9859,825
10984,6904
29,5520
5157,4250
8475,715
186,5775
9628,825
186,3732
108,6155
9443,1456
10984,7951
5157,5296
10532,472
10220,925
9156,3190
5157,4290
9443,1478
9156,3218
10657,712
8510,5841
10220,6080
10984,824
5157,1240
10319,6080
10984,825
8475,3863
10058,5991
8478,5813
11755,7650
8526,1256
186,3801
8494,8404
11764,8404
5157,1256
9443,484
186,6879
11551,5802
5092,6348
18,3900
12,1017
8478,712
131,3473
186,5866
9739,3611
75,5217
1585,3467
10863,518
8476,789
5157,3328
5157,3338
8513,673
170,3311
8478,5866
5157,3345
5157,1302
108,6271
9156,3297
186,789
11551,3801
9443,7720
5157,292
10984,3975
5150,8705
9443,549
161,5672
9443,559
8513,715
8513,6879
10319,6182
10016,4314
117,920
5157,3403
21,7994
8510,3904
9841,3612
91,709
8482,3754
154,7985
11,1154
9532,3989
8488,8705
5182,605
8478,5950
8476,3975
9528,1061
99,3564
5184,5672
12,3190
8478,3916
8488,3612
11764,1386
8488,535
9688,6346
8478,8027
108,3311
9414,5651
10742,1341
9443,6796
170,1406
5157,1438
10680,1235
99,3611
9,259
10413,3377
99,549
8510,925
108,3343
10742,354
54,926
8532,3328
95,3754
5157,1456
5182,5802
8475,4081
10984,3095
11112,4249
5157,7609
10648,8404
8476,8152
10984,6182
8478,3989
8508,4084
8485,712
10984,12342
170,7609
11669,3403
8476,4081
5181,6899
9602,926
8478,952
8510,8152
105,428
8475,8219
8478,6080
9331,5237
10691,974
8488,3732
9443,5866
9523,1341
9628,3218
9859,3218
117,3145
5113,3916
8476,3095
11764,3564
11551,952
9443,5894
9497,6267
11551,6080
190,3975
5157,5651
8476,6181
186,4106
10016,436
9443,3859
5124,535
8510,8219
6666,866
144,1324
186,3095
8510,6168
5157,549
37,5672
10319,270
5157,5675
11351,6168
8478,4105
8475,5222
5157,559
11419,998
186,6182
11112,1316
5157,8766
9173,4081
8478,8219
131,6879
9137,4170
130,768
8508,3190
137,7720
10742,3574
61,5991
61,5997
5095,3552
9156,539
8475,3218
10984,6348
10984,8404
9156,7728
37,3693
5200,1341
10939,3651
12,5500
190,4081
8476,4249
6684,1438
8482,998
8478,1119
12,3473
10984,3318
5157,3724
8488,7985
8488,824
186,3218
10984,3328
5095,7720
5157,5799
9656,472
10984,3338
5157,684
18,3326
99,5940
8512,5237
8482,6168
5157,698
10319,1438
8478,4249
10984,3371
75,5675
137,5802
14024,3338
10984,3370
10319,5563
184,3328
18,1311
8488,6013
18,1316
5157,6879
8477,8404
5141,5331
113,1456
8476,3328
10208,3904
10016,3724
10864,8152
9841,952
8475,3377
5157,6904
181,3467
9859,1438
11112,7650
9443,6153
10864,4081
8478,4329
5157,7951
9914,6920
43,3676
99,3989
186,1302
8494,785
10319,5651
9156,5866
8478,3326
8478,3328
8478,3338
9297,472
8478,1288
11551,1256
10984,1438
10864,6181
131,4053
186,3378
9528,3574
37,3904
41,709
99,6079
5157,3904
186,1341
9523,3732
8478,3370
8478,3371
5157,3916
177,3676
9443,4170
9399,1438
10016,5866
10697,6271
8488,1017
1585,4071
186,5460
9,712
5157,5991
9202,3478
99,4071
8488,6153
9602,292
8476,1406
9660,7720
186,5475
9602,3370
9602,3371
9497,3564
10016,790
186,364
113,3651
186,1390
131,8219
190,3318
5157,6013
37,3969
9859,539
8494,5991
10984,3564
8510,1406
99,4106
10984,3574
9859,555
75,3831
9331,3611
9443,4249
9443,3218
176,709
75,768
5098,712
105,5991
10319,11922
99,1061
18,3574
8490,4106
108,785
9523,768
8510,428
8476,451
99,6193
91,3370
91,3371
5157,6068
186,428
8532,785
186,1459
8488,5222
