rank_1,rank_2
13450,13712
12686,14868
13450,13710
14354,14868
13450,13708
7595,13712
7897,13694
14874,14873
14334,13708
13698,12303
13698,13712
14722,13710
7897,13696
14722,13708
13450,13713
14879,14868
14053,14870
8397,13694
14338,13713
14722,13713
14693,14868
6646,13712
14871,14868
14875,14868
14363,14868
6721,13696
13695,13696
14355,14868
13695,13694
8397,13710
7997,13694
13695,13708
13716,13696
8274,13696
13716,13694
6721,13710
7997,13712
14880,14868
13695,13712
7997,13708
14715,13708
13695,13713
14851,14868
13695,13710
7997,13710
14054,14870
12915,13712
13716,13713
14876,14873
14368,14877
13716,12303
13716,13712
13282,14878
13716,13710
13716,13708
14716,13696
6156,13708
6726,13708
6297,13694
14872,14873
13717,13696
13717,13694
13704,13713
14356,14877
14654,14868
13726,13679
14716,13708
13717,13713
13717,13710
13717,12303
8218,13694
14382,13712
14869,14870
14361,14873
14721,12303
6756,13710
14337,13710
8065,13710
14353,14877
14031,14870
13450,13696
14717,13710
13008,13696
14717,13708
14338,13696
13008,13710
13698,13694
14362,14868
