type_of_film_cut_1,type_of_film_cut_2
5855,14787
2077,14787
5471,14787
2995,7576
1879,14787
2519,14787
2197,14787
5353,7576
3023,14787
580,7576
2928,14787
2379,14787
5612,14787
1834,14787
2408,14787
5608,14787
2689,14787
886,7576
1983,14787
2100,7576
5501,14787
5373,14787
1979,14787
1814,14787
2384,14787
2442,14787
2716,7576
1633,14787
1750,7576
1823,14787
2741,7576
2909,14787
1815,14787
2989,7576
5618,14787
1460,14787
2868,14787
2992,14787
2348,14787
1854,7576
2889,14787
5504,7576
2567,14787
2344,14787
5251,14787
2943,14787
2976,14787
2208,14787
2782,14787
5876,7576
5305,14787
1531,14787
2716,14787
5561,14787
2065,7576
2456,14787
3019,7576
2097,14787
2543,14787
1709,14787
1760,7576
1577,14787
5735,14787
