diseases_1,diseases_2
11833,13149
13955,13926
13937,13973
13955,13927
13933,14092
13955,13937
13955,13935
13955,13933
13491,13978
14093,13236
14632,13955
13933,14117
14103,13976
13955,13956
14093,13260
14632,13970
13955,13965
14116,14094
11842,13944
13029,13494
14100,14097
11837,14105
14089,13926
14089,13415
14089,13927
13955,13980
14347,14117
14925,14640
11920,14096
14090,12876
11842,12929
13660,13415
13660,13927
13324,14101
13660,13926
11842,13961
14089,13937
11920,14105
13660,13937
11833,12712
11842,13972
13324,14107
14090,13415
14090,13927
14090,13928
11833,13236
14090,13926
13660,13939
13660,12929
14090,13933
14090,13944
14090,13939
13660,13958
14090,13937
14093,13333
13661,13936
13661,13933
13936,14112
13660,13977
13937,14092
14090,13958
14090,13955
13660,13973
14116,13149
13660,13971
14090,13965
14102,14104
13974,13973
14090,13961
11927,13955
14090,13975
14090,13973
14090,13974
14108,13928
14090,13971
14102,14112
13954,14104
13937,14119
13937,14117
13971,14092
13943,13937
14108,12929
13324,13166
13975,13974
14093,12876
13976,13958
13955,14097
13955,14094
14090,13494
13955,14092
13926,13968
13927,13935
14120,14107
13955,14100
14108,13965
14483,14117
13971,14117
11863,13928
14046,14350
14107,13494
13939,14092
14093,13926
14093,13927
13955,14106
14093,13938
14093,13937
13955,14116
13955,14114
11842,14096
14093,13942
14093,13955
14093,12929
14104,14119
13944,13973
14093,13958
14108,13494
14110,13941
13973,14092
11842,14107
13928,13965
13333,13974
14089,14097
14106,14094
14089,14109
14111,13936
13973,14117
14089,14116
14095,13928
14109,13494
13660,14099
14095,13926
14110,13974
14090,14096
14095,13936
13333,13494
13495,14104
14090,14089
14095,13935
13660,14121
13495,14117
14090,14101
13962,13974
13962,13972
14090,14097
13661,14096
14095,13954
14046,13935
13974,14119
14090,14105
13936,13260
14090,14115
13661,14101
14110,13494
13661,14114
14107,14112
14091,14092
14046,13951
11927,14105
13661,14109
11842,13166
14095,13978
14046,13962
14095,13974
11842,13163
14089,13149
14108,14106
14091,14117
13927,14092
14113,13956
13660,13149
11833,13976
14089,13163
14108,14119
13976,14116
14109,14089
11883,13976
14090,13149
13955,13236
14109,14092
13980,13491
13333,14092
14046,13493
13932,13956
14093,14096
14093,14097
13944,14117
14093,14107
13977,14119
13977,14117
13955,13260
14093,14102
13932,13974
14093,14100
14093,14101
13661,13166
14090,13178
14110,14094
13661,13178
14110,14106
14089,12712
13660,12712
13324,12897
14925,13951
14100,13926
14108,13166
13950,13965
14045,14106
14100,13937
14090,12712
14111,14106
14100,13935
14100,13933
13324,13926
14111,14102
13660,13236
14925,13956
14095,14100
12746,13936
11837,13955
13236,14104
14095,14096
13968,13935
14925,13979
14925,13977
14090,13236
14095,14102
13324,13939
11920,13955
13324,13954
13660,13260
14093,13149
14093,13163
14096,14092
14046,14106
13324,13955
14100,13973
13324,13978
13931,14102
14100,13980
14118,13956
13932,14094
13932,14092
13932,14106
13936,13978
12268,13974
14098,14096
13932,14117
