jurisdiction_1,jurisdiction_2
12941,51
13218,5156
12945,51
14426,5095
14864,5086
13319,117
12933,51
13255,51
13129,117
12328,117
13036,51
14716,13649
14529,117
12781,5150
12859,51
12767,5093
13362,5203
13229,108
3951,117
13080,5112
12766,10117
13451,5150
13512,59
14829,5182
13052,108
13079,51
12823,51
12735,5090
12713,141
12914,51
13395,117
13406,5150
13514,11786
13125,51
12714,117
12939,51
12894,51
14828,127
13309,108
12890,170
13168,141
14721,127
13008,108
12916,9870
13212,51
12970,141
12947,5207
14428,5118
13128,5095
13221,51
13054,108
13225,51
9787,10117
13419,51
14528,117
12800,51
13523,9383
12705,51
12796,51
