film_set_decoration_by_1,film_set_decoration_by_2
2377,3433
2567,3433
6280,3790
2118,3790
2188,4179
1914,3202
2606,6839
2515,6847
2953,3771
1844,6918
1632,6835
2244,6808
1879,3790
1764,3771
1683,3214
2897,3214
2374,3816
6280,3816
2540,3790
1756,6847
2866,3415
2359,6847
1756,6854
1748,3774
2843,6948
5938,3167
1708,6808
2632,6835
1872,3774
2838,3790
1780,3821
2535,3202
5440,3771
5380,6918
1914,3771
6557,3202
6225,3771
2502,3214
1758,3753
5695,3821
3873,3214
6228,3167
2838,3816
2030,6847
2359,3816
6228,3433
2917,3167
6166,3821
1737,3654
1538,3167
2640,3821
1723,8442
1574,6918
5803,3821
6044,3771
2843,3167
5738,3790
2388,7036
2334,6918
2567,3790
2031,3771
1690,6918
6196,3167
2183,3415
2551,6854
2196,6854
2682,3821
2096,3816
2246,3774
6557,3771
1708,3816
5738,3816
1737,3433
2948,3790
6177,3790
1776,3771
5730,3821
2457,3654
2010,3433
5669,3415
1688,3433
2602,3771
1605,7036
5273,4179
6203,6835
2410,6918
2992,3214
2948,3816
2332,3202
1768,3790
2391,3167
6272,3433
1719,6847
6177,3816
2081,3821
2457,3433
6030,6847
6302,3790
2603,6847
2830,3654
2423,3214
5669,3202
2317,3433
6029,3816
3049,6854
2628,6854
2070,3415
2925,3790
2357,6808
2175,6821
2145,3654
6302,3816
1688,3753
2830,3167
5288,3774
2843,3790
2244,3415
2734,6918
5803,3433
2578,3821
2925,3816
2579,4049
5545,6821
2567,3654
6362,3771
5711,3214
6254,3790
1895,3753
5878,3167
2145,3433
5330,3774
2349,6847
6134,3433
1624,3214
6254,3816
5975,6835
