films_executive_produced_1,films_executive_produced_2
7013,2823
7029,2326
3673,1915
301,2002
6880,2851
3380,2812
3655,2479
3752,5618
705,1771
3450,2691
7867,2985
3921,2430
3528,2328
3738,1963
12375,2502
3786,2528
7749,2553
7749,2559
3915,2626
4038,2914
7035,2166
3348,5876
3946,1673
7867,3004
3856,2420
12375,2519
12375,2521
6999,5345
3533,2201
4135,1973
12375,2528
3450,2732
7749,2585
12400,1771
3533,2219
3856,2447
3157,1590
3533,2222
7035,2202
3856,2452
3856,2454
3264,2373
7689,2420
3112,3000
11880,5630
1495,1929
3679,1811
7689,2431
3380,2892
3915,2691
6810,3058
3733,2193
3380,2895
4042,2856
7035,2237
3733,2200
12375,2584
3781,717
5964,2678
5441,2505
4313,2657
3450,2799
3742,1942
1411,2524
6129,1682
3208,2120
3936,6178
3786,2637
7718,5674
7035,2270
3742,1959
3402,2259
11880,5685
5944,5386
3856,2527
831,2097
510,1817
3717,2757
7629,2318
7743,2882
5296,2969
7035,2306
5933,5749
3522,2676
3711,2963
3522,2680
7749,2713
3253,2828
7035,2328
4313,2743
11880,1634
5922,2019
3733,2293
3718,2757
5521,2163
3658,2574
12375,2690
7716,1707
3533,2360
3510,3075
3522,2705
3532,2397
5797,1818
3171,5399
3388,2767
3255,2794
1173,1801
3380,3015
3856,2599
3615,1881
3533,2375
3946,1862
3717,2820
3096,5689
4313,2782
3673,2143
3856,2614
3717,2826
4124,2509
8009,2910
3172,5399
4313,2796
3380,3052
11880,5795
3450,2932
12375,2741
3528,2563
4137,2116
3718,2820
3171,5443
3718,2826
3533,2420
3450,2956
5944,5512
3979,2943
7749,2813
3781,2947
3718,2851
3679,2015
3533,2447
12400,2002
3677,6178
3533,2452
5781,2399
3856,2681
3533,2454
3918,2809
3375,5319
7035,2452
4085,1743
6936,5526
3856,2699
4162,5501
3673,2233
3856,2711
3151,2042
3856,2718
4001,2321
3946,1981
3918,2852
4144,1988
3918,2856
3226,5876
5933,5928
3752,5957
12400,6164
338,5298
3253,2998
6814,5245
3915,2956
12375,2839
3318,3034
3522,2855
4250,2820
3936,2311
4137,2224
3533,2527
6900,2595
3677,2160
12375,2867
4137,2243
3227,5876
7893,2545
8385,1636
4210,2038
3388,2947
3856,2775
4001,2380
4233,5428
4255,2704
3856,2787
6936,5613
3527,2746
7749,2937
3937,2327
3151,2125
3856,2798
3522,2913
7716,1928
12375,2904
3380,5276
3380,5280
3758,1762
3533,2599
3742,2263
6798,1733
7749,2976
3856,2832
3851,2987
6911,2345
3818,1971
3533,2614
3856,2841
4137,2326
3786,2965
3171,1553
4180,3045
4313,3019
3717,3062
3142,2457
5907,2758
3682,2104
4313,3021
1021,2678
3742,2296
6806,5613
3856,2857
5872,5905
6330,1945
1183,1766
6116,2444
3856,2877
3820,6044
3718,3062
3856,2879
3303,5691
1465,5324
3169,5750
3833,1550
3709,5396
6900,2732
3171,1608
3533,2681
12375,3019
7749,3065
12400,2242
3946,2179
3289,2069
3522,3042
3711,5374
3631,5809
12123,2651
7094,2905
7035,2686
3533,2711
5541,1904
3856,2944
3533,2718
3450,5294
6344,5691
3171,1666
3522,3078
3450,5309
3171,5769
3528,2896
510,2250
1183,1868
1005,5341
6937,1673
4002,2556
792,1714
6871,1684
3856,2989
3944,2314
3172,5769
6871,1690
3193,3075
3533,2775
3171,5809
3937,2543
4233,5652
12400,2329
7035,2758
6884,5398
6940,1613
3856,3012
3533,2787
4313,5234
4032,5751
4324,2853
3528,2952
3533,2798
4124,2914
3915,5294
3901,5733
7795,5851
3979,5365
3856,3048
3851,5252
3450,5399
3634,1743
3179,1516
4325,2853
6129,2225
3856,3060
6931,1945
3533,2832
6171,2981
4137,2544
3533,2841
3856,3070
6871,1762
3856,3076
3533,2857
3733,2805
3834,1724
5256,2706
3096,6178
3533,2877
3533,2879
3219,2377
6129,2282
4276,2379
4313,5334
4233,1671
6120,2569
7825,2962
559,2929
5336,2301
7749,5323
4137,2610
3169,1899
4313,5345
4001,2734
3450,5479
6310,2837
4234,1658
4277,2379
12400,2466
3380,1516
3172,1820
6344,1797
3171,5954
3946,2411
3450,5499
3380,5621
6999,1979
3754,2225
6937,1862
4313,5386
3171,1877
3533,2944
3096,2160
3172,5954
3717,5442
3450,5529
12400,2523
6999,2025
3856,5250
3711,1552
4233,1759
3151,2532
5885,1748
3718,5442
3569,1868
3171,1921
3856,5261
3533,2989
3754,2282
5226,1706
5256,2827
4233,1779
3305,1874
3856,5275
3172,1905
4001,2835
3707,5809
3533,3012
3172,1921
3655,5387
6806,1918
1390,1884
3944,2585
3763,2057
3708,5809
3450,5620
3711,1624
3533,3048
4002,2845
6937,1981
4313,5506
3533,3060
3528,5266
5224,1840
11880,2354
7035,3047
3856,5341
3936,2861
7035,3046
4137,2779
374,2694
4313,5512
3533,3070
5358,1795
3915,5566
3533,3076
338,5869
3511,5810
3450,1560
3856,5357
7923,2158
12326,2879
5684,1945
5944,2079
12400,2648
1390,1949
3615,2608
906,2625
3938,2843
4233,1892
3969,5989
3522,5515
3450,1608
594,2080
4157,2221
6806,2025
4137,2848
4313,5590
1257,2020
3742,2809
6814,5888
3380,5846
12400,2709
12400,2703
4311,1562
6359,1562
4002,2951
3472,3000
3993,5280
5226,1874
3944,2707
12400,2714
6946,1806
4036,1907
3781,5718
6911,2901
4313,5613
908,580
3561,2304
3552,2586
3856,5453
4233,1966
3742,2852
1459,1946
559,5271
3742,2856
3634,2107
7867,1960
3450,5769
4137,2911
3522,5589
3533,5250
7024,5576
8431,2921
12400,2761
3533,5261
3380,1811
3679,2795
3533,5275
4220,2412
3450,5809
5259,2981
3856,5518
7063,2354
12375,1531
3717,1636
3889,6547
3253,5785
4313,5699
3915,5750
5872,2434
12326,3076
3388,5718
8205,1796
3718,1636
6814,1920
3758,2448
3370,2187
12123,5274
3234,2309
7939,5965
3388,5733
3533,5341
7743,5905
4233,2075
12400,2854
7716,2650
3786,1600
11880,2592
12400,2858
3533,5357
7988,2422
3370,2222
8017,1526
3918,1617
12375,1603
3673,3072
3915,1716
4144,2808
3552,2731
3786,1624
3851,1659
6139,2412
3918,1629
3823,2529
6120,3005
3711,1909
3964,2258
5395,2950
12375,1619
3511,1967
4144,2829
3717,1729
3522,1630
3380,1938
3856,1520
12400,2896
3918,1649
3171,2281
3193,5695
7749,1682
