list_1,list_2
1780,14516
3927,14520
12879,14517
12879,14515
6768,14518
7891,14520
2606,14516
5777,14516
7759,14520
1516,14516
12879,14519
13375,14517
13111,14517
13276,14519
13111,14515
13276,14517
1021,14520
13177,14515
2838,14516
13276,14515
1748,14516
2640,14516
6769,14518
13111,14519
5580,14520
2244,14516
9313,14518
9280,14518
13508,14517
2938,14516
12187,14519
2971,14516
5878,14516
13277,14517
12187,14515
9875,14518
6737,14518
2377,14516
5251,14516
2245,14516
4029,14515
6044,14516
14236,14519
1915,14516
10206,14518
12816,14517
2642,14516
6771,14518
10603,14518
12717,14517
3072,14516
2081,14516
1156,14520
3006,14516
6177,14516
12156,14515
6772,14518
10769,14518
3403,14520
9415,14518
2908,14516
10175,14518
2809,14516
1719,14516
6773,14518
12884,14519
12851,14519
12719,14515
12884,14517
12851,14517
12884,14515
6707,14518
12851,14515
11563,14518
3569,14520
3470,14520
2347,14516
11662,14518
13380,14519
3074,14516
13380,14517
13380,14515
12984,14517
2876,14516
12984,14515
2843,14516
12819,14519
2480,14516
12852,14517
12819,14517
12984,14519
12852,14515
6675,14518
12819,14515
1390,14520
9615,14518
5288,14516
12192,14515
12159,14517
2910,14516
10276,14518
2844,14516
13051,14519
12159,14519
13051,14517
13051,14515
6709,14518
6775,14518
2349,14516
3340,14518
13448,14515
12887,14515
6776,14518
5587,14516
2515,14516
7635,14520
12887,14519
2317,14516
11467,14518
12194,14519
13053,14515
12194,14517
13251,14519
12194,14515
13251,14517
13251,14515
5654,14516
2417,14516
9288,14518
10477,14518
3045,14516
13219,14519
9255,14518
13219,14517
13219,14515
10874,14518
12757,14515
12922,14517
6745,14518
535,14520
13418,14519
9355,14518
11337,14518
13418,14515
12163,14519
12163,14515
11172,14518
12163,14517
10875,14518
2683,14516
5722,14520
4269,14515
2188,14516
4269,14519
13320,14515
3014,14516
2948,14516
5855,14516
12164,14515
6780,14518
12858,14519
12693,14515
12858,14517
12858,14515
2486,14516
12693,14519
12693,14517
2123,14516
12925,14515
2850,14516
12000,14518
3775,14515
1727,14516
6748,14518
12826,14519
12826,14517
12826,14515
12925,14519
6682,14518
6715,14518
12925,14517
12166,14515
2917,14516
12166,14517
12166,14519
6749,14518
12761,14519
6650,14518
10647,14518
2092,14516
12167,14515
11275,14518
5296,14520
3017,14516
12002,14518
12861,14515
12927,14515
12795,14519
2456,14516
12861,14519
12795,14517
12795,14515
12861,14517
10450,14518
5330,14516
7609,14520
3381,14520
3249,14519
8369,14520
10252,14518
2919,14516
12961,14519
12961,14517
5892,14520
13721,14519
9658,14518
6718,14518
6751,14518
6619,14521
2391,14516
13358,14515
6190,14520
13259,14519
13358,14519
13259,14517
2953,14516
13358,14517
13259,14515
1764,14516
5695,14516
6785,14518
6719,14520
2194,14516
1633,14516
2558,14516
2591,14516
5597,14516
7744,14520
13426,14519
11378,14518
13327,14517
3318,14520
13327,14515
10486,14518
13426,14515
6192,14516
13096,14517
6027,14516
13327,14519
5730,14516
3880,14520
1568,14515
1568,14517
6754,14518
6787,14518
1568,14519
12700,14519
12700,14517
12700,14515
9397,14518
2031,14516
12965,14515
12040,14518
2923,14516
8010,14520
12172,14515
6788,14518
12701,14515
2593,14516
6755,14518
6557,14516
12701,14519
13230,14515
13263,14517
2098,14516
13263,14515
2924,14516
12008,14518
13065,14517
13065,14515
13263,14519
12768,14517
6789,14518
12768,14515
12768,14519
6228,14516
6030,14516
1934,14516
2958,14516
12901,14515
2925,14516
6757,14515
11084,14518
2628,14516
10787,14518
6790,14518
6757,14517
12703,14515
12901,14519
12901,14517
2331,14516
6196,14516
944,14520
6692,14518
6758,14518
6791,14518
6659,14518
6362,14516
2960,14516
10359,14518
1837,14516
12969,14519
12969,14517
13035,14519
12969,14515
7915,14520
13035,14517
13035,14515
1573,14516
1540,14516
6693,14518
10591,14518
5273,14516
2036,14516
13234,14517
13234,14515
1871,14516
12871,14517
12871,14515
5769,14516
12706,14519
12706,14517
6727,14518
12706,14515
12871,14519
2169,14516
6199,14516
2070,14516
2995,14516
1872,14516
5935,14516
1740,14516
12872,14517
12872,14515
6728,14518
6761,14518
12013,14518
13037,14517
2533,14516
518,14520
2368,14516
5440,14516
10296,14518
13401,14515
12179,14519
11089,14518
12179,14515
10230,14518
2864,14516
11287,14518
1708,14516
2303,14516
13270,14515
9471,14518
11519,14518
3096,14520
10198,14518
13270,14519
2865,14516
13270,14517
6763,14517
12808,14517
1709,14516
12808,14515
6763,14515
6697,14518
1544,14516
2535,14516
3295,14515
12808,14519
3295,14519
2205,14516
3064,14516
1908,14516
2866,14516
1644,14516
6764,14518
2602,14516
2536,14516
5542,14516
13140,14519
13107,14519
13140,14517
13107,14517
13140,14515
13107,14515
2669,14516
2174,14516
9177,14518
1183,14520
1877,14516
12943,14515
6733,14518
6766,14518
2538,14516
13274,14519
2076,14516
12184,14515
2010,14516
13274,14517
13274,14515
3001,14516
12878,14515
12911,14517
12911,14515
12184,14519
5776,14516
2605,14516
6701,14518
2506,14516
5644,14516
6503,14516
5545,14516
12911,14519
6338,14516
1846,14516
