titles_1,titles_2
2018,2019
176,1784
141,2869
141,2878
141,2881
1521,1073
141,2903
1521,1094
170,2016
2007,2415
1521,1101
1521,1107
2272,2412
1521,1123
141,2943
141,2944
1749,2254
170,2058
141,2957
1509,1510
1509,1512
1509,1513
1509,1514
1745,2393
1521,1147
1509,1520
2007,2467
1521,1149
1509,1522
1509,1524
141,2973
1521,1159
1509,1532
1509,1533
1509,1535
1509,1537
1732,2817
1509,1539
1509,1540
1509,1548
1509,1549
1509,1550
141,2998
2032,1721
1509,1555
1511,1494
1509,1556
1509,1558
2541,2337
1509,1562
1509,1563
1509,1564
1509,1565
170,2114
1749,2318
1509,1567
176,1936
1511,1512
1511,1514
1509,1578
1509,1580
176,1943
1511,1520
1511,1522
1509,1588
1509,1595
1511,1538
1509,1600
1511,1539
1511,1540
1509,1606
1509,1609
1547,431
1511,1549
2032,1784
1509,1613
1509,1614
1509,1615
1511,1555
1511,1556
1509,1621
1509,1622
2007,2571
1511,1562
1511,1563
1509,1627
1511,1567
1509,1630
1521,1259
141,3079
1509,1633
1509,1634
1745,2511
1777,1519
1509,1635
1511,1575
1769,1770
176,2001
1509,1638
1511,1578
1509,1641
1509,1642
1509,1649
1511,1588
1509,1651
1509,1652
1511,1592
1511,1593
1511,1594
1509,1656
1509,1658
1509,1659
1509,1660
1511,1600
1509,1664
1745,2543
1509,1669
1509,1671
1509,1672
176,2035
1732,2953
1509,1675
1511,1615
1509,1680
1509,1681
1511,1621
1509,1686
1521,1314
1509,1687
1509,1691
1511,1633
1511,1634
1509,1697
1511,1635
1509,1698
1509,1699
1739,2763
1515,1516
1511,1641
1515,1517
1509,1703
1511,1642
1509,1707
1511,1646
1511,1649
2007,2656
1521,1340
1511,1650
1509,1713
1509,1716
1521,1344
1732,2995
1509,1717
1511,1656
2007,2664
1515,1535
1511,1659
1509,1722
1509,1723
1511,1664
1509,1726
2541,2503
1509,1727
1511,1666
1509,1731
1511,1669
1509,1734
1511,1672
1521,1364
1528,1147
1509,1740
1511,1680
1509,1743
1521,1371
170,2294
1511,1686
1511,1687
1509,1752
1509,1753
1509,1755
1509,1757
1509,1759
1511,1698
1509,1760
1511,1699
1509,1763
2032,1936
1511,1707
1509,1770
1509,1772
1509,1773
2032,1943
1511,1711
1509,1774
1511,1713
176,2140
1511,1716
1509,1779
1511,1719
1509,1783
1511,1722
1509,1785
1509,1787
1511,1726
1509,1788
1511,1727
1509,1790
1509,1792
1509,1793
1511,1731
1732,3074
1509,1796
1518,1519
1511,1737
1515,1614
1515,1616
1509,1803
1509,1805
1515,1620
1509,1806
1509,1808
1509,1810
1511,1748
1511,1752
1511,1753
1509,1817
1511,1755
1509,1818
1511,1758
1515,1636
1509,1822
1511,1760
2285,2345
1509,1828
1509,1829
1511,1768
1509,1830
2032,2001
1509,1831
2007,2778
1511,1773
1511,1774
1509,1839
1509,1841
1511,1779
1509,1842
1509,1843
1515,1661
1509,1847
2541,2622
1528,1259
1511,1787
1511,1788
1509,1850
1515,1665
1509,1851
1509,1852
1511,1791
1509,1854
1511,1792
1518,1579
1749,2610
1521,1486
3073,2529
1509,1862
1745,2740
1509,1865
2032,2035
1515,1682
1509,1868
1515,1684
1509,1870
1511,1809
2822,2130
1509,1875
1521,1503
1515,1690
1509,1877
1515,1692
1511,1817
1515,1694
1511,1818
1515,1695
1509,1884
1511,1822
1509,1886
1509,1887
2007,2835
1509,1888
1509,1890
1509,1893
1777,1778
1509,1896
1509,1898
1511,1837
1515,1714
1509,1900
1521,1529
1509,1904
1509,1906
1509,1907
1509,1910
1515,1725
1511,1850
1515,1728
1511,1852
1511,1854
1509,1919
1509,1921
1515,1736
1511,1860
1509,1924
1515,1738
2007,2870
1511,1865
1509,1929
1511,1868
1509,1931
1511,1869
1511,1870
1511,1875
1511,1877
1509,1939
1509,1940
1515,1755
1509,1942
1511,1884
1523,1512
1511,1885
1509,1948
1511,1888
1509,1950
1511,1890
1509,1952
1509,1955
1511,1895
1509,1957
1523,1524
1509,1959
1515,1774
1509,1961
1511,1900
1509,1962
1509,1963
1509,1966
1511,1904
1515,1781
1509,1968
2032,2140
1509,1969
1509,1971
1509,1975
1509,1978
1509,1979
1509,1981
1511,1919
1515,1801
1509,1988
1523,1556
1509,1990
1509,1993
1511,1931
1509,1994
1515,1811
1509,1997
1511,1937
1509,1999
1515,1815
1511,1939
1509,2003
1518,1728
1515,1821
1523,1573
1509,2008
1511,1948
1509,2011
1509,2012
1511,1957
1509,2020
1525,1526
1509,2023
1509,2026
1509,2028
1511,1967
1509,2029
1525,1534
1511,1971
1511,1974
1511,1975
1509,2037
1511,1978
1515,1855
1509,2041
1525,1545
1525,1546
1515,1856
1509,2042
1777,1926
1511,1981
1509,2043
1515,1858
1509,2045
1509,2047
1525,1552
1509,2049
1511,1988
1515,1864
1511,1993
1509,2056
1511,1994
1547,879
1515,1871
1511,1997
1509,2062
1509,2063
1515,1878
1511,2003
1523,1632
1511,2006
1525,1574
1511,2011
1509,2073
1509,2074
1511,2012
1509,2075
1509,2076
1525,1584
1509,2082
1511,2020
1525,1587
1528,1494
1509,2083
1515,1898
1509,2084
1511,2026
1509,2088
1509,2090
1777,1976
1509,2093
1525,1603
1515,1913
1509,2103
1525,1608
1515,1918
1511,2043
170,2654
1509,2105
1511,2044
1525,1610
1798,1340
1511,2045
1509,2108
1511,2046
1515,1923
1509,2110
176,2473
1511,2049
1509,2111
1525,1617
1525,1618
1523,1680
1525,1619
1528,1529
1509,2118
1509,2120
1525,1624
1515,1935
1509,2121
1523,1688
1515,1938
1525,1629
1511,2067
1509,2131
1525,1636
1509,2132
1511,2073
1511,2074
1515,1951
1525,1647
1523,1709
1515,1957
1509,2144
1511,2083
1511,2084
1523,1713
1515,1962
1511,2088
1509,2151
1525,1657
1509,2153
1511,2093
1525,1662
1509,2161
1509,2162
1777,2048
1509,2165
1511,2105
1511,2106
1515,1982
1515,1983
1511,2109
1523,1737
1521,1799
1509,2172
1530,1522
1515,1987
1509,2173
1511,2111
1525,1679
1509,2175
1525,1682
1509,2178
1509,2179
1525,1684
1511,2118
1530,1531
1515,1996
1509,2182
1509,2186
1525,1690
1509,2187
1530,1537
1509,2190
1525,1694
1525,1695
176,2554
1525,1696
1509,2193
1530,1542
1511,2131
1511,2132
1511,2133
1530,1544
1530,1545
1566,431
1511,2137
1511,2138
1509,2201
1525,1706
1509,2202
1530,1551
1509,2203
1509,2204
1525,1710
1511,2144
1509,2209
1515,2025
176,2577
1509,2215
1509,2216
1530,1565
1515,2030
1515,2031
1511,2156
1523,1786
1525,1724
1530,1570
1530,1572
1511,2162
1525,1730
1749,2978
1509,2228
1530,1577
1509,2229
1525,1733
1509,2230
1525,1735
1511,2169
1509,2232
1511,2172
1509,2235
1509,2237
1525,1742
1509,2240
1511,2178
1511,2179
1511,2180
1523,1809
1515,2059
1509,2246
1530,1597
1525,1754
1511,2190
1530,1601
1530,1602
1515,2067
1509,2253
1509,2254
1530,1604
1511,2193
1518,1976
1530,1607
1525,1762
1511,2197
1509,2260
1509,2261
1509,2262
1511,2201
1511,2203
1509,2266
1525,1771
170,2816
1509,2268
1509,2270
1525,1775
1511,2209
1530,1620
1509,2274
1511,2212
1511,2215
1530,1627
1525,1782
1530,1628
1509,2279
1515,2095
1511,2219
1509,2283
1511,2222
1530,1634
1515,2100
1511,2224
1525,1794
1525,1795
1530,1641
1511,2230
1525,1797
1509,2295
2822,2553
1509,2298
1515,2112
1521,1927
1511,2237
1525,1804
1530,1650
1509,2301
1515,2115
1511,2240
1509,2302
2032,2473
1523,1870
1509,2304
1509,2306
1515,2122
1511,2246
1509,2308
1525,1812
1525,1813
1515,2123
1509,2309
1515,2124
1509,2311
1515,2125
1530,1661
1509,2314
1511,2253
1511,2255
1511,2258
1509,2320
1509,2321
1525,1826
1525,1827
1511,2261
1509,2323
1530,1673
1511,2262
1509,2325
1515,2141
1530,1676
1509,2328
1511,2268
1511,2270
1515,2148
1530,1683
1509,2335
1509,2336
1525,1840
1509,2337
1509,2338
1509,2340
1530,1689
1515,2155
1530,1691
1511,2283
1515,2160
1509,2346
1530,1697
1525,1853
1530,1700
1511,2289
1511,2290
1530,1702
1509,2354
1530,1705
1515,2171
1509,2358
1525,1863
1530,1708
1511,2298
1509,2362
1509,2363
1515,2177
1521,1992
1509,2364
1511,2302
1530,1715
1509,2366
1509,2367
1515,2181
1511,2306
1536,1531
1536,1532
1525,1874
1515,2184
1511,2309
1515,2185
1525,1876
1515,2186
1509,2372
1509,2373
1536,1537
1515,2189
1525,1880
1536,1539
1525,1881
1525,1882
1536,1542
1509,2382
1511,2320
176,2747
1511,2323
1509,2385
1518,2107
1509,2387
1525,1892
1511,2328
1509,2390
1515,2206
1530,1743
1515,2208
1511,2332
1525,1901
1509,2397
1515,2211
1511,2336
1509,2398
1530,1750
1530,1751
1509,2403
1530,1753
1523,1970
1525,1909
1509,2406
1530,1756
2032,2577
1511,2346
1509,2408
1515,2223
1509,2410
1515,2224
1525,1915
1525,1916
1525,1917
1509,2413
1511,2352
1509,2416
1530,1767
1509,2418
1511,2357
1525,1923
1511,2358
1777,2305
1530,1772
1511,2362
1509,2425
1511,2364
1509,2426
1511,2365
1509,2427
1530,1776
1525,1933
1525,1935
1515,2247
1509,2433
1536,1602
1530,1789
1525,1944
1509,2441
1525,1946
1509,2442
1509,2443
1511,2385
1509,2449
1509,2450
1525,1956
1509,2454
1515,2269
1509,2455
1525,1960
1515,2271
1777,2341
1509,2458
1511,2397
1515,2273
1511,2398
1777,2344
2285,2981
1509,2462
176,2825
1511,2402
2849,1885
1530,1814
1515,2279
1511,2403
1530,1816
1530,1819
1511,2408
1509,2470
1511,2411
1530,1824
1515,2292
1509,2478
1511,2416
1525,1982
1515,2293
1509,2481
1511,2420
1509,2483
1509,2485
1515,2300
1525,1991
1509,2487
1511,2425
1509,2488
1530,1837
1530,1838
1509,2489
1525,1995
1509,2492
1777,2376
1515,2310
1525,2002
1509,2500
1530,1849
1515,2316
1530,1852
1511,2441
1509,2503
1523,2070
1511,2442
1525,2009
1511,2443
1536,1670
1509,2508
1515,2322
1509,2510
1511,2448
1530,1860
1511,2450
1509,2512
1515,2327
1525,2017
1511,2452
1530,1866
1511,2456
1509,2518
1523,2084
1511,2457
1536,1683
1509,2520
1509,2523
1511,2461
1530,1873
1509,2524
1511,2462
1509,2525
1509,2526
1509,2527
1509,2529
1525,2034
1509,2530
1518,2252
1511,2470
1523,2098
1515,2347
1541,1542
1525,2038
1509,2534
2053,2054
1515,2349
1525,2040
1518,2257
1525,2041
1536,1701
1536,1702
1530,1889
1525,2044
1511,2478
1536,1705
1541,1550
1541,1551
1530,1893
2053,2065
1515,2358
1541,1553
1509,2547
1509,2548
1530,1897
1511,2487
1530,1902
1530,1903
1511,2492
1509,2554
1525,2059
1525,2060
1515,2370
1525,2061
1530,1906
1525,2064
1536,1723
1509,2561
1530,1912
1525,2068
1509,2564
1525,2069
1511,2503
1798,1799
1525,2071
1518,2288
1515,2381
1509,2567
1511,2505
1509,2568
1525,2072
1511,2507
1509,2569
1509,2570
1530,1920
1511,2512
1511,2513
1543,1522
2032,2747
1530,1928
1511,2518
1536,1743
2066,1700
1525,2086
1525,2087
1509,2583
1530,1933
1518,2305
1525,2089
1530,1934
1511,2524
1536,1750
1511,2525
1536,1751
1509,2588
1509,2589
1515,2404
1525,2095
1511,2529
1543,1537
1525,2097
1541,1601
1536,1756
1511,2534
1525,2100
1543,1542
1543,1544
1543,1545
1511,2537
1521,2227
1530,1949
1509,2601
1511,2540
1515,2417
1530,1954
1515,2422
1777,2493
1509,2609
1530,1958
1536,1772
1511,2547
1525,2115
1525,2116
1509,2613
1509,2615
1530,1964
1515,2430
1525,2125
1509,2622
1536,1785
1525,2126
1525,2127
1511,2561
1530,1972
1543,1570
1536,1787
1525,2129
1530,1974
1541,1634
1509,2626
1509,2627
1530,1977
1511,2567
1525,2133
1515,2444
1511,2568
1509,2631
1511,2570
1530,1984
1515,2449
1509,2635
1530,1985
1511,2574
1509,2637
1525,2141
1525,2142
1525,2143
1509,2639
1509,2641
1525,2146
1530,1991
1511,2583
1523,2212
1525,2150
1566,879
1525,2152
1525,2154
1511,2589
1543,1597
1536,1814
1536,1815
1543,1601
1536,1818
1530,2004
2032,2825
1518,2376
1530,2005
1525,2160
1541,1664
1509,2658
1543,1604
1525,2163
1536,1823
1509,2662
1511,2601
1518,2386
1541,1673
1525,2170
1509,2667
1541,1676
1509,2669
1509,2671
1777,2555
1525,2176
1530,2021
1530,2022
1543,1620
1509,2674
1536,1838
1509,2675
1515,2490
1530,2026
1530,2027
1509,2678
2053,2198
1518,2401
1543,1627
1509,2683
1511,2621
1511,2622
1509,2686
1523,2253
1547,1510
1511,2626
1543,1634
1511,2627
1530,2039
1511,2628
1547,1514
1541,1700
1509,2693
1509,2694
1541,1702
1530,2044
1511,2633
1543,1641
1511,2635
1509,2699
1511,2639
1536,1865
1525,2206
1525,2207
1509,2704
1515,2521
1509,2707
1511,2645
1530,2057
1509,2708
1536,1872
1525,2213
1511,2647
1509,2711
2849,2130
1530,2062
1509,2715
1509,2716
1509,2717
1511,2655
1515,2532
1509,2719
2066,1838
1525,2224
1509,2720
1511,2658
1525,2225
1511,2662
1509,2724
1547,1548
1509,2728
1547,1550
1525,2233
1511,2667
1543,1676
1536,1894
1525,2236
1547,1555
1547,1556
1511,2673
1530,2085
1511,2675
1515,2552
1530,2087
1536,1902
1547,1563
1509,2741
1536,1905
1509,2742
1543,1689
1541,1751
1525,2248
1547,1567
1543,1691
1530,2094
1518,2466
1525,2250
1536,1910
1511,2685
1541,1756
1509,2748
1511,2686
1536,1912
1511,2687
1509,2750
1547,1572
1543,1697
1511,2689
1530,2101
1530,2102
1543,1700
1509,2754
1509,2755
1530,2105
1530,2106
1536,1921
1525,2263
1543,1705
1525,2264
1511,2699
1543,1708
1515,2576
1509,2762
2066,1882
1509,2764
1523,2331
1515,2579
1515,2580
1509,2766
1525,2271
1541,1776
1511,2707
1543,1715
1509,2770
1536,1934
1525,2276
1530,2121
1525,2280
1509,2777
1525,2282
1511,2716
1509,2779
1511,2718
1541,1789
1518,2502
1509,2781
1511,2719
1547,1604
1547,1606
1515,2598
1515,2599
1530,2134
1530,2135
1525,2290
1511,2724
1530,2136
1509,2787
1515,2603
1509,2789
1530,2138
1530,2139
1536,1953
1536,1954
1525,2296
1509,2793
1525,2299
1530,2147
1547,1621
1509,2800
1536,1964
1509,2802
1525,2307
1515,2617
1525,2310
1515,2620
1543,1753
1541,1816
1525,2312
1509,2808
1536,1972
1525,2313
1509,2809
1543,1756
1536,1974
1525,2315
1521,2439
1511,2750
1547,1635
1515,2629
1541,1824
1509,2816
1511,2754
1530,2166
1511,2755
2053,2339
1518,2539
1525,2324
1515,2634
1511,2758
1509,2820
1536,1984
1509,2821
1541,1830
1536,1985
1515,2636
1509,2823
1509,2826
1543,1772
1509,2829
1547,1651
1543,1776
1523,2399
1530,2183
1518,2556
1515,2651
1541,1849
1525,2345
1541,1850
1530,2191
1536,2005
1509,2842
1515,2657
1509,2846
1547,1669
1509,2847
1511,2786
1525,2353
1509,2850
1511,2788
1515,2666
1509,2852
1807,1808
1511,2792
1530,2204
1525,2361
1509,2857
1536,2022
1511,2798
1530,2210
1536,2027
1530,2214
1509,2865
1511,2804
1525,2371
1515,2681
1509,2867
1509,2868
1509,2869
1543,1816
1511,2808
1530,2222
1509,2873
1530,2223
1509,2874
1525,2379
1523,2441
1536,2039
1525,2383
1541,1889
1530,2231
1511,2820
1509,2883
1541,1893
1511,2823
1547,1707
1511,2826
1509,2889
1525,2394
1543,1837
1547,1713
1515,2705
1515,2706
1530,2242
1530,2243
1536,2057
1523,2461
1515,2709
1511,2834
1525,2401
1541,1905
1509,2898
1509,2899
1530,2249
1547,1722
1509,2901
1511,2842
1509,2904
1543,1852
1509,2906
1530,2255
1511,2846
1530,2258
1509,2909
1530,2260
1547,1734
1509,2912
1541,1921
1536,2076
1525,2417
1511,2851
1543,1860
1509,2915
2053,2437
1515,2730
1525,2420
1509,2918
1525,2423
1509,2919
1525,2424
1536,2083
1509,2920
1509,2921
1509,2922
1509,2923
1541,1933
1530,2275
1525,2430
1541,1934
1509,2926
1543,1873
1511,2865
1530,2277
1518,2649
1509,2928
1515,2743
1530,2278
1511,2867
1511,2868
1547,1753
1525,2435
1536,2094
1509,2933
1525,2438
1530,2284
1509,2935
1525,2440
1511,2874
1515,2751
1511,2875
1530,2287
1515,2752
1515,2753
1523,2505
1547,1763
1525,2445
1541,1950
1509,2942
1547,1765
1525,2447
1547,1766
1509,2944
1509,2945
1523,2513
1525,2451
1543,1893
1554,1555
1536,2113
1509,2952
1515,2768
1511,2894
1525,2460
1536,2121
1511,2896
1541,1967
1515,2773
1509,2959
1515,2774
1543,1906
1509,2961
1511,2900
1511,2901
1541,1972
1525,2468
1525,2469
1515,2779
1543,1912
1509,2966
1509,2967
1515,2782
1541,1977
1523,2535
1530,2318
1525,2474
1536,2134
1525,2476
1509,2972
1536,2135
1536,2136
1523,2540
1511,2912
1536,2139
1541,1984
1515,2791
1511,2915
1525,2482
1525,2484
1530,2329
1530,2330
1547,1803
1511,2921
1509,2984
2066,2101
1543,1933
1547,1809
1543,1934
1511,2926
1525,2494
1509,2990
1525,2496
1530,2342
1509,2994
1525,2499
1530,2344
1515,2810
1525,2501
1541,2005
1515,2811
1511,2937
1525,2504
1530,2350
1523,2567
1509,3002
1536,2166
1525,2509
1547,1828
1511,2944
1547,1829
1509,3007
1541,2016
1543,1954
1530,2359
1525,2514
1509,3011
1541,2020
1525,2517
1541,2021
1515,2827
1541,2022
1525,2519
1523,2583
1530,2366
1509,3017
1543,1964
1509,3018
1530,2368
1541,2027
1525,2524
1511,2958
1509,3020
1511,2960
1509,3024
1530,2374
1515,2840
1525,2532
1509,3030
1541,2039
1509,3034
1543,1984
1509,3038
1543,1985
1518,2760
1525,2544
1523,2606
1509,3040
1525,2545
1509,3041
1530,2391
1521,2670
1530,2392
1543,1991
1525,2549
1557,1558
1509,3046
1536,2210
1515,2862
1541,2057
1515,2863
1547,1872
1536,2214
1509,3051
1525,2557
1525,2558
1515,2868
1541,2062
1525,2559
1525,2560
1515,2872
1543,2005
1525,2563
1525,2565
1530,2411
1523,2628
2053,2582
1536,2226
1509,3063
1509,3064
1547,1887
1530,2414
1509,3069
1509,3071
1543,2021
1543,2022
