genre_1,genre_2
6034,8595
3920,8594
6034,8594
7087,8719
7089,8656
2015,2117
1679,12535
1679,12534
2027,1749
7090,8640
2033,1566
2035,1509
2735,12577
3920,8608
7087,8739
8351,2333
1680,12526
2019,2018
5908,12531
2861,8686
2033,1589
6034,8631
7087,8755
6261,1598
1680,12542
2036,1509
2738,12518
7093,8585
3920,8649
6034,8649
7093,8594
7093,8597
2035,1561
2738,12535
1681,12536
3920,8663
7087,8797
2034,1598
2738,12541
2037,1509
1682,12518
1682,12525
1682,12531
7087,8821
1682,12533
7090,8729
4127,2285
7087,8826
7093,8640
5911,12514
2740,12513
5911,12525
2861,8769
3924,8584
753,8585
753,8587
3924,8594
1683,12526
753,8590
7093,8656
1683,12531
2740,12532
753,8594
2740,12536
753,8603
2039,1509
2740,12550
1684,12518
627,12518
5912,12525
5912,12530
627,12522
5912,12529
1684,12525
7090,8784
1684,12531
8368,1941
2037,1591
2039,1530
627,12535
7090,8795
8154,8583
2039,1536
2742,12514
2039,1541
2040,1509
2039,1543
627,12547
5211,1515
753,8645
8154,8587
5913,12525
5913,12531
8154,8598
5913,12530
5913,12529
1684,12570
8358,2285
1686,12514
2041,1509
2743,12523
2743,12525
753,8679
7087,8937
753,8686
753,8688
1686,12536
3927,8599
2038,1623
2035,1720
7087,8957
627,12606
8154,8642
2042,1509
2744,12518
630,12519
7087,8958
2743,12552
2038,1645
2744,12529
7085,9032
2744,12533
753,8727
5916,12518
8154,8679
2043,1509
2043,1511
2745,12518
8154,8686
630,12550
8154,8688
2745,12524
1688,12526
1688,12525
2033,1833
1688,12532
6272,1509
1688,12542
4133,2285
2044,1509
958,2409
2044,1511
7087,9023
8377,1807
2040,1645
2044,1530
8158,8605
2043,1566
2747,12513
2045,1509
1690,12518
2044,1543
2041,1645
1690,12525
1690,12531
6272,1566
753,8816
2748,12513
6274,1509
1691,12514
6274,1515
2046,1509
6046,8581
2046,1511
6046,8585
2046,1515
989,1515
2748,12525
8158,8656
2748,12532
12617,1509
6046,8603
1690,12567
1690,12570
2047,1509
3933,8583
2748,12550
1692,12518
2749,12518
3933,8585
7090,9026
2748,12558
2043,1645
8154,8816
1692,12529
2747,12592
6046,8631
2045,1591
2749,12535
6046,8633
3933,8606
5219,1509
5921,12518
12604,1947
2048,1509
3934,8583
5921,12523
636,12518
6272,1645
3934,8585
5921,12525
8158,8712
6046,8649
2750,12526
5921,12531
636,12525
5921,12529
8162,8594
2750,12532
636,12529
3934,8594
636,12530
636,12531
8162,8606
5921,12537
2046,1591
2749,12569
2044,1655
6274,1598
8163,8582
3934,8608
2047,1566
8163,8585
2049,1509
2049,1511
1694,12518
2048,1543
3933,8650
3934,8620
2751,12525
1694,12526
8161,8656
5921,12567
8162,8627
2049,1530
2047,1598
2752,12513
2049,1543
1695,12518
8164,8594
1695,12522
2046,1643
6274,1645
1695,12524
3933,8686
8163,8631
2752,12530
2752,12529
5221,1530
2031,2117
2050,1530
8164,8608
6279,1509
2753,12513
2752,12544
2051,1509
8163,8649
1696,12518
2051,1515
636,12613
2753,12525
1696,12524
2753,12529
1696,12527
2753,12531
2753,12530
3934,8692
12622,1515
3933,8727
1696,12535
6280,1509
2753,12544
1697,12514
3933,8737
5925,12525
12621,1561
8164,8651
2048,1645
8164,8663
2052,1530
6279,1566
12623,1515
12609,1947
5925,12545
4153,1941
2755,12512
8164,8682
1698,12517
2755,12526
1697,12563
2755,12532
3934,8760
8382,1941
2756,12514
2756,12513
1699,12512
2054,1509
1697,12578
5927,12525
8162,8783
2756,12525
5927,12531
8164,8726
12622,1598
3934,8795
1699,12542
5221,1667
8372,2285
2055,1509
1700,12514
643,12518
5928,12529
2051,1645
8169,8599
1699,12559
2757,12531
2868,9091
12623,1598
3934,8826
2056,1509
2758,12518
2051,1667
2758,12517
2055,1547
6280,1645
2757,12559
2758,12532
5227,1530
5225,1598
2759,12511
2057,1509
2052,1667
2759,12518
2056,1547
2759,12525
8164,8815
5930,12531
1000,1525
12614,1947
2759,12534
8169,8670
2057,1530
12628,1509
2057,1536
2760,12514
5931,12514
5229,1509
2057,1541
643,12606
2760,12518
2057,1543
5931,12525
2058,1518
2760,12525
771,8650
5931,12531
5225,1655
8162,8907
2760,12534
2058,1530
1702,12570
2059,1509
2761,12514
2761,12518
2058,1543
2059,1515
2761,12525
771,8679
1704,12523
1704,12525
3934,8939
771,8686
1704,12531
771,8688
8377,2285
8158,9076
2761,12538
6046,9016
648,12512
8169,8736
645,12616
5221,1833
1705,12531
6044,9091
2058,1598
771,8727
1706,12514
1706,12518
1706,12525
6058,8686
2763,12536
12618,1947
3948,8581
2062,1509
2057,1667
1707,12519
3948,8586
5229,1643
8164,8958
6062,8585
2764,12525
2764,12532
3948,8595
6062,8597
2062,1530
6062,8601
5234,1509
2063,1509
5234,1515
6062,8615
3949,8583
2062,1541
2062,1543
2058,1667
3947,8649
1707,12550
2764,12558
2765,12531
5234,1530
3949,8603
6062,8633
3948,8642
6062,8642
8176,8642
3950,8583
3948,8649
6062,8654
1709,12532
3950,8603
1709,12536
2767,12512
1709,12542
2065,1509
2767,12514
1008,1509
1710,12518
2767,12525
1710,12524
2061,1645
5938,12536
8176,8690
8394,1941
2063,1591
1710,12535
3948,8697
5938,12542
5234,1598
2768,12512
8180,8585
654,12514
8180,8581
2768,12518
2765,12613
2767,12550
654,12522
3950,8650
2768,12525
3949,8686
8180,8601
3949,8688
8180,8597
1711,12536
8180,8604
1712,12514
2769,12514
2067,1511
771,8919
3953,8580
1712,12518
2067,1515
2769,12525
2063,1645
1712,12525
3950,8686
8400,1807
3949,8726
8179,8670
2063,1655
1712,12536
8180,8640
2064,1623
3953,8601
6271,2285
6068,8580
3954,8583
2768,12580
656,12518
3953,8616
8180,8654
6287,1807
2769,12563
2770,12532
3948,8785
12628,1845
8180,8662
6283,1941
656,12535
1713,12536
654,12600
2069,1509
4158,2285
1012,1509
1714,12518
3953,8645
654,12613
8183,8596
6068,8620
1714,12525
1714,12531
3953,8660
8179,8736
2067,1598
2770,12573
8183,8608
6068,8640
3953,8669
1008,1663
8180,8712
2070,1509
8184,8586
2772,12526
1715,12526
8184,8594
2070,1523
6068,8662
8184,8603
6068,8660
3953,8693
1716,12512
8183,8640
5217,2285
12627,1947
2773,12525
656,12619
13266,14935
6068,8693
6068,8692
8183,8662
1715,12568
2773,12538
1716,12542
3957,8608
8184,8642
2774,12518
3953,8739
1715,12581
1717,12519
1716,12550
8184,8649
2774,12523
6068,8717
2774,12525
1717,12526
2062,1833
8180,8781
2774,12531
3954,8726
2070,1598
3954,8732
3958,8608
8187,8584
2073,1509
1718,12514
2073,1511
6068,8739
2069,1645
1718,12525
8185,8656
2775,12531
8184,8688
3957,8659
2774,12570
6068,8760
2775,12541
8187,8615
3958,8640
8188,8584
2776,12514
6302,1509
2776,12513
3960,8581
6074,8583
8188,8580
2074,1509
2074,1511
5947,12518
3960,8585
6074,8587
3960,8587
2776,12525
2070,1643
3960,8594
2070,1645
1719,12526
2064,1833
5245,1530
661,12561
5947,12535
8188,8608
3953,8819
6074,8603
12631,1947
8184,8727
5948,12514
3960,8603
2072,1598
2073,1566
4164,2285
5948,12518
2075,1509
3960,8608
6068,8795
8187,8642
5948,12522
2777,12519
1719,12548
3960,8615
2072,1623
3960,8631
8190,8580
3960,8632
8188,8642
8176,9007
8190,8585
2778,12514
1721,12513
3960,8642
5949,12518
8190,8587
2777,12547
3108,2285
2076,1509
3958,8708
3957,8739
3953,8863
8190,8583
3948,9016
3960,8649
5949,12525
5949,12524
8190,8590
2778,12525
8190,8603
5247,1530
2076,1530
6302,1598
2076,1536
2075,1566
3958,8729
8190,8608
8187,8701
2077,1509
1722,12514
1020,1509
2077,1515
8176,9055
1722,12526
3960,8686
4191,1525
6074,8686
3960,8688
6068,8882
8190,8632
2779,12538
8192,8581
8187,8730
5224,2285
8192,8587
8190,8650
2780,12518
8190,8645
666,12518
793,8582
8192,8585
6078,8585
8188,8710
793,8585
6078,8590
3962,8649
2779,12557
6302,1645
5245,1645
8192,8591
6068,8904
8192,8594
666,12529
2078,1530
6078,8603
6074,8727
5247,1598
4168,2285
3958,8793
5250,1509
2079,1509
793,8608
1724,12516
2781,12519
1724,12518
8188,8739
2079,1515
8190,8679
1724,12522
1724,12524
6078,8623
1724,12525
3953,8966
8190,8686
2781,12532
5250,1530
8190,8693
2079,1530
6283,2285
793,8633
5251,1509
2782,12514
1725,12513
3954,8952
6078,8642
2080,1509
795,8583
2080,1515
6078,8649
2782,12523
666,12584
795,8586
1725,12525
2782,12525
2781,12559
4168,2333
1725,12529
1725,12531
1725,12530
795,8594
2080,1530
8190,8726
8190,8727
8190,8737
2078,1598
5252,1509
666,12601
795,8603
8190,8739
2081,1509
5954,12518
3957,8889
2783,12518
666,12612
8192,8679
2783,12524
8192,8688
5252,1530
8195,8597
8399,2285
5954,12544
2783,12539
5954,12541
8190,8769
8188,8831
2079,1598
6285,2285
2082,1509
2081,1543
2783,12555
793,8712
1726,12560
2784,12531
793,8719
3953,9066
1727,12536
8192,8727
5251,1598
2083,1509
2083,1511
8195,8645
2785,12518
1727,12548
8195,8656
2082,1547
2079,1643
795,8679
2785,12524
2785,12527
1728,12525
795,8686
1727,12563
1728,12531
5252,1598
2083,1536
4173,2285
2084,1509
2084,1511
5957,12525
8184,9030
2786,12526
1729,12525
2080,1643
2084,1523
1729,12531
2082,1591
795,8731
2787,12514
4174,2285
3959,8956
1730,12518
2787,12518
1730,12522
2084,1547
1730,12524
2081,1645
6304,1807
4198,1561
2085,1530
793,8821
2788,12514
1731,12513
2086,1509
1731,12514
8195,8750
2788,12525
1731,12526
4176,2285
5233,2285
8201,8590
8201,8585
2086,1547
5960,12530
5960,12529
2083,1645
5960,12531
8201,8604
2789,12532
2087,1530
3958,9071
5960,12546
8201,8608
8201,8609
2088,1509
2087,1543
2790,12518
6078,8895
2088,1511
6316,1515
1733,12518
2789,12550
8202,8585
8202,8597
1733,12525
2789,12558
8202,8593
5233,2333
8202,8605
1733,12533
1733,12532
8202,8607
2791,12513
1734,12514
2791,12525
6317,1525
2791,12529
8202,8625
2791,12530
8188,9062
8202,8633
2088,1566
2090,1509
1735,12514
1735,12518
3960,9079
8202,8650
1735,12524
1033,1525
2088,1598
6294,2285
2793,12514
8201,8712
2081,1836
2087,1655
2091,1530
2090,1561
2090,1566
5965,12514
2794,12513
1737,12512
2794,12520
5965,12531
2088,1645
2794,12532
2092,1530
5261,1598
6296,2285
2093,1509
2794,12545
4182,2285
808,8580
2795,12518
8202,8750
5966,12525
678,12616
8201,8778
2083,1833
2795,12529
3977,8656
681,12531
2074,2117
8201,8795
5966,12545
3980,8585
2796,12523
2796,12525
2794,12592
2796,12531
2094,1530
2092,1591
2094,1536
2093,1566
2797,12512
5266,1509
5266,1515
2797,12517
2094,1543
2095,1515
2796,12551
810,8583
810,8585
810,8587
8195,9033
1740,12525
2797,12529
8201,8841
810,8594
8210,8582
2797,12544
2096,1509
2091,1667
1741,12518
2797,12550
8210,8585
8202,8834
1741,12522
8210,8597
808,8679
2798,12526
1741,12524
2798,12532
1741,12533
2094,1591
8210,8601
1741,12537
8211,8582
8209,8640
1742,12518
2092,1667
2799,12525
2093,1645
1742,12525
8209,8662
8211,8601
2087,1836
1742,12533
8211,8608
8210,8640
5266,1598
808,8727
3984,8581
1742,12545
2098,1509
3984,8585
8210,8654
8202,8903
1743,12520
8201,8929
810,8679
2800,12525
8210,8662
1743,12526
8211,8632
2098,1523
2800,12532
810,8686
4188,2285
2099,1509
2099,1511
685,12576
3985,8585
2095,1645
3985,8594
808,8777
3985,8597
3984,8633
3984,8631
2098,1566
5271,1509
810,8727
2097,1598
2802,12514
3984,8642
3985,8608
4189,2285
2100,1509
2100,1515
3986,8585
6100,8593
2096,1643
5271,1530
2099,1561
3986,8603
6100,8608
2101,1509
3985,8640
5271,1543
3985,8645
8215,8594
8210,8750
2803,12525
2101,1530
8430,1941
3986,8640
4191,2285
8215,8608
2803,12545
5273,1509
6100,8645
2804,12518
3985,8678
5975,12525
1746,12550
3988,8583
3986,8645
3985,8682
1747,12525
5975,12531
8202,9033
2102,1530
5975,12545
3984,8730
2103,1509
1748,12514
5274,1509
1747,12545
8215,8650
5274,1515
8210,8806
8215,8651
2102,1541
2102,1543
3985,8710
2805,12525
8209,8853
5274,1530
2103,1530
5275,1509
3147,1941
5274,1543
4193,2285
2104,1509
6100,8710
2806,12518
2806,12524
819,8585
3984,8776
2100,1645
5977,12532
8210,8855
8202,9104
5977,12542
6308,2285
2105,1509
2807,12514
693,12514
690,12610
2807,12525
3985,8778
2103,1591
690,12629
3985,8791
6309,2285
2106,1509
1751,12514
2105,1543
819,8642
3984,8832
2106,1530
3985,8826
1752,12512
2107,1509
2809,12514
1752,12518
2808,12550
2809,12518
2106,1543
2809,12522
819,8679
2107,1518
2103,1645
1752,12526
2107,1523
695,12529
819,8686
695,12530
695,12531
5276,1598
2107,1530
4208,1941
693,12600
6100,8823
5274,1667
8215,8804
1753,12514
2108,1509
1753,12519
693,12613
5275,1643
2104,1645
2809,12563
8215,8815
3985,8882
1753,12536
819,8727
2810,12544
1754,12511
819,8730
2109,1509
2109,1511
1754,12518
8209,9018
824,8581
5280,1515
697,12518
824,8583
824,8585
2811,12525
824,8587
2811,12526
824,8594
8209,9039
1754,12534
2108,1561
697,12535
8215,8860
2811,12541
2108,1566
824,8603
2107,1598
3988,8824
5281,1509
2110,1509
2812,12518
697,12547
1755,12518
1755,12526
2812,12529
5281,1530
6338,1530
1755,12532
1755,12535
8211,9016
2109,1566
6338,1543
2111,1509
2813,12514
2111,1511
3997,8583
824,8642
3997,8587
824,8645
3997,8585
3997,8590
3996,8621
2813,12525
8209,9091
3997,8603
8215,8911
2110,1561
5280,1598
6340,1509
697,12606
4201,2285
1757,12518
2112,1515
824,8679
2814,12525
2089,2239
8226,8596
824,8686
824,8688
8226,8608
6338,1598
1757,12538
2111,1566
1758,12518
2815,12518
2815,12524
2815,12535
2112,1561
2113,1530
824,8727
3873,12514
2113,1536
6317,2285
824,8730
2816,12513
824,8731
2114,1509
2113,1543
4000,8585
2816,12520
3997,8679
824,8739
8226,8651
2816,12526
3873,12525
3997,8686
2110,1645
2927,9091
2110,1655
2112,1598
700,12602
4204,2285
8229,8585
2115,1509
8215,9014
2817,12518
700,12610
1760,12520
2115,1515
4000,8618
8229,8588
4000,8620
8229,8591
824,8777
8229,8597
1760,12536
3997,8727
700,12629
6319,2285
5989,12514
4000,8641
2818,12514
3148,2285
4000,8640
8226,8712
4205,2285
6340,1645
8226,8719
4221,1807
4000,8662
2116,1530
8229,8642
5288,1509
2817,12574
1762,12518
832,8584
2819,12525
4003,8587
6319,2333
832,8587
2818,12570
4002,8634
832,8603
2118,1509
2113,1667
2118,1511
6118,8588
1763,12525
2819,12559
2114,1645
1763,12526
3997,8816
8233,8583
2821,12512
2101,2066
8233,8590
2820,12550
1764,12518
4005,8581
8233,8585
4005,8585
8226,8814
8233,8597
2115,1645
6119,8594
8233,8604
8233,8605
2119,1530
6119,8603
824,8912
4000,8760
8233,8608
2120,1509
1063,1509
4005,8614
1063,1515
3996,8895
8233,8619
4003,8686
832,8688
2120,1530
1063,1530
1765,12536
4005,8633
2121,1509
8233,8642
4000,8795
5288,1645
4005,8649
5994,12532
2823,12526
8233,8662
2823,12532
8233,8669
2121,1530
2824,12518
5995,12525
6119,8679
2122,1515
6119,8688
5995,12532
2118,1645
8226,8911
6119,8686
6119,8693
2122,1530
2825,12513
1063,1598
5294,1509
8226,8923
1768,12518
2825,12518
2123,1515
2116,1732
1768,12522
8233,8712
2825,12525
1768,12526
832,8774
8236,8633
1768,12532
5294,1530
8236,8640
711,12535
6119,8727
5295,1509
6119,8731
711,12547
2124,1515
2826,12526
1768,12558
2123,1561
8236,8662
2826,12540
2122,1598
2125,1509
4214,2285
1768,12578
2125,1515
1770,12519
5998,12525
2121,1645
8233,8778
3996,9055
4011,8606
8233,8795
6354,1509
5998,12545
2126,1509
1044,2285
4012,8585
2827,12551
1771,12518
1771,12525
1771,12524
2828,12525
4012,8594
711,12619
8236,8717
2828,12531
4012,8595
4214,2333
1771,12533
832,8875
5295,1598
2124,1598
2127,1509
5298,1509
4012,8608
5298,1515
2127,1511
2829,12518
4011,8649
2829,12524
2123,1645
1772,12526
8233,8841
2829,12535
8233,8848
8233,8849
1773,12513
4014,8580
4217,2285
2128,1509
6128,8586
4014,8585
2829,12555
4012,8654
2128,1523
4014,8593
6128,8595
1773,12532
4014,8597
4011,8697
4014,8604
1773,12536
4014,8601
4014,8608
6128,8608
8243,8585
1773,12542
2129,1509
2830,12548
8243,8590
1774,12518
6357,1518
1773,12550
4014,8619
8243,8587
8243,8588
4014,8623
1774,12526
717,12525
717,12531
6119,8912
4012,8697
8243,8603
4014,8638
1775,12514
2130,1509
1073,1509
8233,8923
6128,8649
1775,12518
4012,8708
2130,1515
8233,8929
6354,1645
2126,1645
5301,1530
4012,8719
2130,1530
2832,12537
8233,8956
1776,12512
2131,1509
8243,8642
2131,1511
6119,8954
2130,1543
2833,12518
8243,8656
2832,12553
2833,12524
2127,1645
719,12531
4221,2272
2129,1591
2834,12512
2129,1598
8243,8679
2132,1509
4018,8583
1776,12548
2132,1511
5303,1515
720,12518
4014,8712
2833,12555
4014,8710
2834,12526
4014,8719
720,12529
4012,8785
720,12531
5303,1530
5301,1598
2130,1598
1073,1598
8246,8608
2133,1509
2133,1511
4014,8739
4002,9116
2130,1611
2129,1645
8233,9039
2131,1598
6362,1509
2134,1509
8246,8651
2836,12518
2835,12550
719,12613
722,12522
6353,1807
2836,12527
5305,1530
722,12529
4014,8781
2133,1561
2132,1591
4014,8791
5303,1598
2133,1566
2836,12541
8452,2285
8243,8774
6135,8585
2837,12517
2119,2007
720,12607
723,12514
6135,8583
1780,12518
2130,1667
2836,12549
4018,8679
6008,12525
6135,8587
720,12613
6135,8590
6008,12531
2133,1591
6135,8598
2135,1530
6135,8603
2838,12512
2135,1536
1781,12512
722,12574
4014,8826
2136,1509
2135,1543
721,12616
8246,8719
6135,8632
4014,8848
2136,1530
721,12626
2838,12538
4018,8728
2132,1655
2136,1536
4018,8732
6008,12576
4014,8859
2137,1509
722,12606
2137,1511
1782,12518
2838,12550
722,12611
725,12518
1782,12522
723,12584
2133,1645
2137,1523
1782,12531
722,12625
2118,2117
1782,12533
723,12600
2840,12512
4227,2285
6341,2285
5309,1509
2138,1509
2138,1511
6135,8679
2840,12526
2840,12525
6135,8686
2138,1530
6139,8581
6342,2285
1784,12513
6139,8585
1783,12547
2134,1667
2138,1543
2139,1515
6139,8588
4021,8711
4025,8585
2841,12525
4019,8777
4014,8929
1784,12525
6139,8601
1784,12536
2139,1530
6139,8603
2840,12571
1784,12542
2137,1598
2139,1536
8254,8585
2139,1541
725,12606
2140,1509
1785,12514
4025,8614
2139,1543
8254,8582
4026,8581
6135,8739
6128,8962
4026,8585
8254,8595
1901,8929
2842,12532
6139,8633
4025,8631
2140,1530
4012,9032
8243,8951
4025,8633
4026,8608
4026,8606
6014,12518
6139,8649
2842,12550
2136,1667
2141,1515
4026,8614
2843,12525
4025,8649
8243,8963
1786,12525
2843,12529
6139,8654
4026,8627
1786,12532
4026,8631
2140,1561
4026,8633
8254,8640
2843,12548
4028,8583
8458,2333
4026,8649
2843,12559
8254,8654
2843,12562
2843,12564
2843,12567
4028,8603
2143,1509
6346,2285
1788,12518
2845,12518
2845,12525
1788,12524
1788,12526
2845,12526
2142,1561
1788,12535
2846,12512
2141,1598
2845,12544
2144,1509
6144,8585
2144,1511
6144,8583
4028,8649
1789,12525
2846,12525
1789,12526
2140,1645
2846,12532
1789,12532
2142,1598
6348,2285
6144,8608
1789,12545
2845,12580
4031,8586
6144,8620
4028,8686
1790,12531
2126,2117
8257,8670
8254,8757
2144,1566
5314,1598
2146,1509
2848,12518
4030,8646
6019,12529
4030,8649
2848,12526
6019,12530
2127,2117
2145,1561
2140,1720
8261,8585
2147,1509
4031,8649
1792,12526
8261,8597
6144,8692
2147,1530
5319,1509
1792,12541
4018,9074
3180,2285
2148,1509
8257,8736
736,12518
2148,1515
2850,12532
5319,1530
8263,8581
2851,12512
1794,12518
8263,8585
1794,12522
8263,8595
1794,12524
2145,1645
2850,12558
2149,1530
6144,8760
4239,2285
5321,1509
1795,12517
1795,12518
2146,1645
2852,12536
8257,8830
2148,1598
2852,12541
6149,8642
8263,8640
2151,1509
6144,8795
736,12606
5322,1515
1094,1509
2853,12525
2147,1645
4028,8868
8263,8654
2853,12531
1094,1525
2132,2117
8263,8662
1796,12536
2150,1561
8266,8581
5323,1509
2152,1509
2151,1543
1797,12518
8266,8585
6144,8841
2854,12525
1797,12527
8266,8595
8266,8606
5323,1530
1797,12541
2153,1509
8266,8610
1797,12549
6153,8585
8263,8717
2855,12525
6153,8594
2855,12531
8266,8633
5322,1598
8266,8646
1094,1598
6153,8608
4026,9016
2856,12518
2149,1667
8266,8654
8266,8649
2856,12524
6027,12537
2967,9091
5324,1561
4259,1807
2150,1655
4244,2285
6155,8580
8269,8585
6155,8585
5326,1515
6027,12553
8269,8581
2155,1515
2855,12587
6149,8776
2857,12526
6155,8594
1800,12531
2153,1591
6155,8603
8266,8697
8269,8606
2156,1509
2156,1511
1801,12525
2152,1645
5328,1509
2858,12541
6153,8701
6030,12514
6155,8645
8269,8649
2859,12518
8269,8646
2859,12523
2858,12553
6030,12526
2859,12525
6155,8650
2859,12524
1799,12620
5328,1530
1913,9091
8270,8631
2157,1530
6153,8731
2156,1566
5326,1598
1802,12542
1803,12513
6031,12514
5329,1515
1101,1509
6031,12525
1802,12550
6155,8679
2860,12525
6155,8688
1803,12526
6155,8686
2158,1530
2156,1591
1803,12536
5330,1509
1804,12518
2861,12518
2860,12556
2861,12524
8271,8656
1804,12533
5328,1598
2159,1530
6155,8727
2862,12518
6155,8739
748,12518
2160,1515
8270,8711
8266,8835
2862,12524
6153,8815
2973,9091
2156,1655
4261,1941
2161,1509
2132,2409
2863,12518
2863,12529
5330,1598
2863,12543
2159,1598
2162,1509
8271,8736
2162,1511
6035,12518
6035,12529
6162,8596
2864,12531
6153,8882
6162,8608
5334,1515
1808,12517
5325,1807
8275,8670
1808,12536
6155,8852
8271,8790
8278,8585
1809,12512
6149,9044
2164,1509
2866,12518
4050,8584
2865,12548
5335,1515
4050,8587
2866,12524
1809,12526
8278,8601
1107,1525
6162,8662
4050,8603
1811,12474
2162,1598
2867,12512
2165,1509
1810,12526
1810,12525
8278,8633
1810,12532
2164,1566
8266,9016
6155,8919
8278,8640
2166,1509
4050,8642
1811,12518
2867,12550
8278,8654
4052,8594
1811,12529
2979,9091
5337,1530
754,12529
2868,12531
754,12530
754,12531
2166,1530
2868,12535
2164,1591
5335,1598
2868,12541
1812,12514
4052,8608
2869,12514
4053,8580
1812,12518
2869,12519
6155,8954
2166,1543
2868,12554
4050,8688
8266,9060
8275,8790
2165,1591
2167,1530
4052,8631
2168,1509
2167,1543
2869,12550
1813,12518
2168,1515
1812,12556
2166,1591
5337,1598
8275,8830
4052,8669
6162,8795
1812,12574
2169,1509
6153,9077
2169,1511
2871,12517
2871,12518
8501,1833
4055,8582
1814,12520
4053,8645
4053,8650
2871,12524
4259,2272
4055,8595
2168,1561
4055,8608
5341,1509
2872,12518
4053,8679
1815,12518
758,12518
1815,12525
4050,8774
4053,8686
8278,8781
2168,1591
758,12535
8284,8605
6044,12518
2171,1509
8285,8587
8285,8581
2873,12519
6171,8582
4052,8739
6044,12524
1816,12526
4053,8727
2873,12536
4272,1941
4053,8731
6044,12548
4261,2285
2172,1509
1817,12517
1816,12548
2167,1667
8285,8613
8284,8656
2874,12526
2873,12560
1817,12532
8285,8631
8285,8642
2173,1509
6162,8923
758,12606
5344,1518
8287,8585
1817,12550
2875,12526
1818,12536
