medal_1,medal_2
41,14152
7143,14152
7143,14151
7143,14150
141,14150
141,14151
108,14150
8168,14150
75,14150
141,14152
108,14151
108,14152
75,14151
75,14152
7111,14152
7111,14151
7111,14150
7838,14152
7871,14152
175,14151
142,14150
142,14151
109,14150
76,14150
142,14152
109,14151
109,14152
76,14151
6683,14152
13554,14152
176,14150
176,14151
176,14152
110,14150
110,14151
44,14150
110,14152
44,14151
7146,14152
44,14152
7179,14152
7146,14151
7179,14151
7146,14150
7179,14150
6684,14150
6684,14152
6684,14151
6717,14152
8369,14150
8369,14151
177,14150
177,14151
177,14152
111,14150
78,14150
111,14151
111,14152
78,14151
45,14150
45,14151
78,14152
12,14150
12,14151
7114,14152
12,14152
7114,14151
7147,14152
7114,14150
7147,14151
8303,14152
7147,14150
7940,14150
6652,14152
178,14150
178,14151
178,14152
112,14151
7181,14151
79,14151
7181,14150
13,14150
13,14151
13,14152
7181,14152
179,14150
179,14151
179,14152
7116,14150
14,14150
47,14151
47,14152
14,14151
14,14152
7116,14152
7116,14151
7975,14152
147,14151
114,14150
114,14151
114,14152
7150,14152
7150,14151
7183,14152
7183,14151
7150,14150
7183,14150
6655,14152
6655,14151
6655,14150
181,14150
181,14151
181,14152
82,14151
49,14150
82,14152
49,14151
49,14152
7118,14152
7118,14151
7118,14150
6689,14151
6689,14152
8242,14150
149,14150
116,14150
149,14151
116,14151
149,14152
7152,14150
50,14150
116,14152
50,14151
17,14150
17,14151
50,14152
17,14152
5996,14150
7152,14152
7152,14151
7648,14151
12669,14150
183,14150
117,14150
8177,14150
84,14150
117,14151
117,14152
84,14151
51,14150
7120,14150
7153,14151
84,14152
51,14151
7153,14150
51,14152
18,14152
7120,14152
7153,14152
7120,14151
6691,14152
6691,14150
151,14150
118,14150
184,14152
118,14151
118,14152
52,14150
52,14151
7121,14151
52,14152
7121,14150
8244,14150
7121,14152
7650,14150
6725,14152
185,14151
86,14151
53,14151
86,14152
7155,14152
7155,14151
7155,14150
186,14150
186,14151
186,14152
120,14152
54,14150
87,14151
54,14151
87,14152
12309,14152
54,14152
21,14151
12309,14150
7123,14152
12309,14151
7123,14151
7123,14150
7982,14151
6694,14152
6694,14151
6694,14150
187,14150
154,14150
187,14151
154,14151
187,14152
121,14150
121,14151
154,14152
121,14152
7157,14151
7157,14150
7157,14152
155,14150
8479,14150
122,14150
155,14151
8479,14151
188,14152
8479,14152
155,14152
89,14150
89,14151
122,14152
89,14152
23,14150
7158,14152
7125,14151
23,14151
7125,14150
7158,14151
23,14152
7158,14150
7125,14152
6366,14152
90,14150
90,14151
90,14152
24,14152
7159,14152
7159,14151
7159,14150
190,14150
190,14151
190,14152
157,14152
58,14150
58,14152
25,14152
7127,14152
7127,14151
7127,14150
12314,14152
12413,14152
92,14150
92,14151
59,14150
12413,14150
92,14152
59,14151
59,14152
26,14151
26,14152
126,14150
126,14151
60,14150
126,14152
60,14151
7096,14150
7129,14151
7129,14150
7096,14152
7129,14152
7096,14151
6700,14150
6700,14152
6700,14151
127,14150
127,14151
61,14150
127,14152
61,14151
61,14152
7130,14152
12415,14152
7130,14151
7130,14150
6767,14152
6734,14151
6767,14151
6767,14150
161,14150
161,14151
128,14150
161,14152
128,14151
95,14150
7164,14150
95,14151
128,14152
95,14152
29,14151
29,14152
7098,14152
7098,14151
7131,14152
7098,14150
7131,14151
7164,14152
7131,14150
7164,14151
6636,14150
6702,14152
6669,14151
6702,14151
6669,14150
6702,14150
6636,14152
6669,14152
6636,14151
7132,14150
30,14151
7132,14152
7132,14151
11030,14150
11030,14152
12418,14150
97,14150
97,14151
97,14152
7133,14151
7100,14150
7133,14150
7100,14152
7100,14151
7133,14152
6671,14151
197,14150
197,14151
164,14150
131,14150
164,14151
197,14152
164,14152
131,14151
131,14152
32,14151
7134,14152
7134,14151
7134,14150
6672,14150
6705,14151
6705,14150
1585,14150
1585,14152
6639,14152
6672,14152
6672,14151
6705,14152
198,14151
198,14152
132,14150
132,14151
99,14150
132,14152
99,14152
33,14150
33,14151
33,14152
7102,14152
7102,14151
7102,14150
7961,14150
8060,14150
7763,14152
7763,14150
166,14152
7169,14151
67,14151
34,14150
7169,14150
34,14151
34,14152
7103,14152
7103,14151
7169,14152
7103,14150
11926,14150
7764,14152
8227,14150
167,14152
8227,14152
68,14151
35,14151
35,14152
6642,14152
6642,14151
6642,14150
135,14150
135,14151
135,14152
36,14150
36,14151
7105,14151
7138,14152
36,14152
7138,14151
7105,14150
7138,14150
7105,14152
11961,14150
7931,14150
6676,14150
6643,14152
6643,14151
6676,14152
6643,14150
6676,14151
103,14150
136,14151
136,14152
37,14150
37,14151
37,14152
7106,14152
7106,14151
7139,14152
9286,14151
7139,14151
7106,14150
9286,14152
7139,14150
6644,14150
533,14150
6644,14152
6644,14151
170,14150
170,14151
170,14152
104,14150
71,14150
104,14151
71,14151
104,14152
38,14150
71,14152
38,14152
6744,14150
6645,14151
6744,14152
6744,14151
6645,14152
171,14150
171,14151
13549,14151
171,14152
138,14152
105,14151
105,14152
7108,14150
7141,14151
7141,14150
7108,14152
7141,14152
7108,14151
7868,14150
7868,14152
6679,14152
6679,14151
6679,14150
7604,14152
106,14151
73,14151
73,14152
7109,14151
7142,14152
7109,14150
7142,14151
7142,14150
7109,14152
7836,14150
6647,14152
6647,14151
6647,14150
140,14150
140,14151
140,14152
41,14150
41,14151
