nominated_for_1,nominated_for_2
1990,2890
2947,5995
4138,1842
4132,2028
4112,2663
1001,806
934,2898
4135,1973
6255,1792
3081,1884
8365,1919
1019,289
2948,6027
8361,2076
1908,5515
1006,711
3105,1182
931,3041
4142,1805
3104,1217
3077,2056
4144,1748
5240,544
3135,271
2947,6106
2010,2390
4131,2174
3105,1217
934,2981
4105,2987
952,2424
5238,630
2954,5905
4126,2349
4132,2169
8305,3873
4017,5738
4143,1846
4132,2205
971,1893
3084,1929
8420,355
2010,2461
6260,1784
8420,368
8357,2325
6239,2457
3096,1588
1001,1000
8368,2011
1026,234
4124,2509
4137,2105
3096,1615
3095,1646
3096,1622
1023,357
4135,2200
4007,6166
4117,2760
8420,448
4144,1934
3097,1622
4124,2556
3093,1755
4124,2565
3105,1389
4191,496
4142,2015
6255,2049
4150,1768
3096,1692
3140,334
6137,5733
3095,1735
1010,834
4012,6081
3083,2110
2039,1708
982,1710
950,2707
4149,1841
4131,2405
1009,882
3138,421
4157,1601
4132,2382
4117,2851
1030,250
3137,482
2039,1756
4142,2103
4144,2049
4126,2606
3145,258
4157,1659
3138,482
3096,1783
4200,334
4124,2690
3096,1805
4124,2712
4144,2098
4134,2405
3096,1826
2040,1795
3098,1768
4038,5394
4124,2731
8368,2240
3092,1962
4162,1563
1028,424
3090,2044
5215,1710
979,1959
8230,6557
5260,334
3143,427
2034,2038
4144,2169
4037,5484
8357,2637
8420,693
4142,2246
4138,2373
1035,265
4139,2349
3144,427
1028,489
4131,2605
2010,2819
8368,2339
2039,1933
5218,1691
4143,2246
4167,1513
4119,3001
4161,1702
4124,2848
4204,372
992,1646
3092,2100
1013,1012
1017,890
3149,334
3135,772
4144,2268
8392,1659
4131,2676
6261,2183
5220,1686
4124,2891
4131,2680
974,2242
3091,2152
4032,5751
8410,1105
2038,2034
3135,794
4039,5545
3136,772
4124,2914
1010,1147
5218,1770
4032,5774
4131,2705
1039,252
4124,2929
982,2037
3094,2101
8426,654
6247,2671
4124,2951
8440,238
2049,1748
982,2059
6136,6134
3095,2101
3154,271
3085,2415
8363,2637
4017,6302
4137,2582
3093,2178
982,2086
2011,2959
4151,2157
4144,2372
4143,2408
4139,2536
3096,2100
5220,1794
998,1603
3097,2083
2037,2179
3085,2466
8436,431
998,1647
8436,445
5259,630
992,1843
4139,2591
1043,265
8368,2568
1028,736
4131,2853
3150,496
4131,2855
992,1862
2994,5337
4126,3014
1041,349
982,2179
2056,1658
4167,1751
8384,2096
865,5816
8395,1768
2039,2192
4132,2850
5226,1706
982,2203
6268,2175
982,2209
4150,2310
3157,329
5232,1539
8357,2976
4038,5792
995,1822
3084,2599
4131,2913
3102,2044
3143,772
1004,1551
5222,1868
8444,291
3157,355
4046,5565
3158,329
3119,1540
3085,2599
3162,211
3144,772
4157,2137
2056,1740
1038,531
3136,1031
5224,1840
3158,355
1043,387
5215,2126
5224,1853
5232,1609
8371,2602
6290,1588
2037,2360
2998,5337
1002,1679
3118,1619
966,2798
6255,2680
4137,2806
982,2306
4049,5533
3084,2681
3107,1973
4056,5319
1049,240
3085,2663
2043,2203
3117,1681
4142,2676
4149,2459
5215,2179
3085,2681
8443,431
3163,271
3096,2347
4177,1615
6276,2081
3077,2947
2039,2359
1946,5245
3139,1033
8371,2682
1043,482
8368,2788
995,1971
2039,2374
4149,2506
4146,2599
6322,681
988,2207
1051,254
2034,2549
3140,1033
6261,2590
3095,2447
1043,522
4157,2298
6268,2391
982,2427
995,2025
2039,2428
6255,2808
6167,5545
4181,1575
5215,2296
8408,1622
6255,2829
3081,2920
3096,2458
3136,1217
5224,2034
4146,2681
4161,2223
5224,2038
3168,238
6290,1764
1054,240
2049,2169
8453,252
4142,2827
5222,2115
1052,315
3164,379
4143,2798
3117,1843
8413,1514
8406,1726
8412,1548
8395,2088
2042,2420
3117,1865
893,5273
3165,379
4163,2212
3093,2613
2038,2549
5224,2099
6172,5479
3963,8432
996,2105
8408,1716
992,2235
4177,1805
8371,2866
1021,1347
3096,2564
3964,8432
6301,1520
5241,1619
8392,2246
5241,1620
4151,2648
4157,2462
5240,1660
3154,794
979,2683
2039,2590
8406,1828
971,2933
4167,2169
3096,2607
6169,5653
1005,1899
3084,2989
3096,2626
3136,1389
8392,2298
5278,536
3143,1182
6300,1624
1052,474
3085,2989
1034,1033
8408,1820
2998,5693
4145,2910
1001,2069
1018,1544
4157,2548
3143,1217
4144,2958
2998,5715
3095,2711
5212,2621
1058,326
3131,1603
5241,1735
3092,2820
8284,5709
1014,1710
4154,2673
8408,1877
6282,2241
2056,2182
2034,2872
974,2972
3117,2084
1933,6027
1017,1656
1060,326
2998,5785
3095,2782
8460,317
5215,2616
3177,258
3173,387
4146,2989
1059,387
2034,2929
4154,2750
4053,5886
6269,2735
4162,2513
5233,2090
8392,2476
8419,1646
5218,2569
3156,968
3096,2833
3164,725
3162,794
4167,2408
3174,424
2038,2872
995,2444
4190,1708
3125,1952
895,5548
8408,2027
8412,1903
5284,563
1022,1619
5237,2025
4164,2526
3095,2894
2998,5906
979,2959
3093,2964
3163,794
4183,1942
8419,1698
3165,736
6266,2910
992,2570
4157,2760
996,2454
4161,2647
4187,1842
2038,2929
8452,711
3125,2005
8412,1949
4183,1979
1010,2044
5253,1584
3169,661
8418,1778
3094,2993
3141,1538
2998,5975
3141,1545
3130,1887
8424,1620
4154,2920
2039,2948
3098,2890
6268,2930
3170,661
2998,5998
3096,2961
3095,2992
8412,2004
8415,1925
3119,2259
1048,930
5224,2549
5278,882
4179,2188
1950,5750
2049,2680
5213,2900
4065,5730
8408,2174
4161,2757
5215,2856
8406,2240
6160,6338
3125,2119
3141,1628
5245,1946
4183,2099
992,2718
3107,2691
969,3435
1057,711
8419,1868
4065,5776
1072,258
1070,324
8419,1884
992,2758
5299,317
5232,2397
3117,2427
1069,379
1016,2023
4196,1748
3125,2182
8424,1751
3122,2281
1032,1537
8408,2255
3141,1699
992,2786
3118,2424
4081,5337
8395,2675
8425,1746
1075,226
4197,1748
1054,879
3125,2214
995,2716
3119,2413
3107,2787
8472,311
8419,1957
1065,563
8427,1721
3125,2241
1016,2083
4187,2090
8412,2193
4177,2407
8417,2035
8424,1827
3174,736
3145,1636
8416,2081
4162,2885
2998,6203
8424,1843
992,2857
8419,2003
1005,2468
8418,2048
3182,524
8408,2362
5240,2289
3183,524
6320,1586
4208,1524
3125,2335
4183,2302
4167,2798
1069,536
6310,1912
4190,2096
8411,2321
4160,3036
992,2945
3164,1149
8419,2084
3107,2920
4181,2399
3162,1217
5222,2894
1022,2025
5265,1567
5262,1657
8419,2093
3129,2255
977,3435
1067,654
5299,544
4196,1970
2073,2248
5224,2872
8422,2037
5265,1607
2086,1849
3194,271
1005,2597
6290,2602
3152,1580
8412,2358
1081,250
3141,1932
6322,1630
1027,1938
6203,5337
1040,1551
4167,2919
5224,2929
4208,1656
1071,602
1078,387
8428,1920
5235,2601
8433,1772
5226,2884
4196,2054
3153,1622
8429,1912
1075,506
8438,1634
8434,1758
4252,324
4252,329
8419,2219
996,2961
3107,3056
1082,302
3117,2755
2073,2350
3127,2447
3145,1891
5256,1987
4197,2049
6322,1713
4183,2487
8431,1873
6324,1662
1017,2337
4198,2030
995,3022
996,2999
3141,2040
3117,2786
8424,2118
1083,315
4199,2030
5253,2125
1017,2372
4258,215
3118,2787
6282,3012
1021,2262
2056,2947
5224,3043
893,6240
5253,2157
3140,2127
4196,2169
3119,2787
4084,5643
1010,2639
5245,2424
