condition_1,condition_2
7018,13932
6153,14121
712,14346
901,14121
7826,13973
3107,14347
7679,13163
6013,14121
1240,14121
7929,14121
5425,13163
8079,14348
8046,14348
588,14121
3338,14121
7018,13962
4140,14347
6158,13236
6670,13495
3716,13166
1150,14121
5759,14348
4157,14347
1052,14346
8600,14347
730,14348
8381,13971
7902,13971
3926,14346
3692,12897
7890,14346
3860,14347
8399,13933
5486,14121
1102,14347
3179,13962
5892,14346
6181,14346
6053,13962
282,12897
5826,14348
8325,13933
3423,14348
4314,14121
5599,13972
1301,14346
7954,13163
8194,13926
7049,14346
3721,14347
6838,13973
8258,12712
6116,14346
8387,14346
1472,13932
3870,14346
12309,14121
8346,14346
3127,14346
7768,14347
5361,13962
5679,14348
6774,13939
1207,13971
781,14121
5580,14346
844,13962
9061,13962
6155,13163
6670,14350
328,14346
6117,14346
7888,13971
8285,13962
4205,13973
1472,13962
5817,12897
3293,14347
3870,14121
3127,14121
1302,14121
559,14121
5580,14121
7023,13933
4144,14348
5581,14348
5907,13971
944,13971
1383,13163
5894,14121
1056,14347
6300,14346
5915,12712
5531,14121
4156,12712
1498,13962
312,14121
569,14347
535,14121
7927,14347
8142,14346
3187,14346
428,14121
3467,14121
3414,13971
3629,13962
1110,13973
3145,14121
1448,12712
6149,13166
3811,13962
7007,13962
3740,14121
1343,13166
4316,13933
12404,14346
6838,14348
1495,14346
8828,14348
4026,13971
272,14121
3345,14349
5897,14347
3370,14346
3381,13236
8337,13973
12392,13962
3341,13973
3085,13973
5762,13163
6756,14350
6756,14092
5366,13149
991,14121
6307,13166
7929,14347
4089,14346
8218,14350
8255,13973
1240,14346
6670,13956
5845,13163
8173,13956
3916,14346
332,14346
