oscar_show_hosted_1,oscar_show_hosted_2
3643,7452
4316,7452
3641,7514
3917,7408
3641,7516
3251,7321
1385,7438
3594,7313
3624,7413
3623,7319
8170,7420
5464,7463
777,7484
449,7413
6822,7482
730,7408
3641,7539
5315,7483
3641,7410
6038,7474
3387,7483
3594,7338
5233,7474
3641,7421
4086,7452
301,7411
6109,7463
3641,7424
3624,7439
6337,7438
5956,7474
5956,7343
6337,7319
1052,7311
449,7318
3623,7484
301,7428
3875,7484
6109,7482
3641,7318
5897,7530
8070,7365
1052,7327
4301,7474
1052,7457
3624,7343
3641,7330
5450,7319
6187,7384
5412,7343
301,7324
1120,7410
1052,7344
1385,7389
899,7479
3641,7343
3387,7408
4231,7483
3641,7473
301,7333
7671,7343
3811,7452
8170,7489
3641,7348
3676,7418
301,7339
4147,7413
6067,7410
3641,7354
301,7472
8170,7502
5901,7319
3641,7362
5897,7318
5956,7410
3641,7367
6057,7349
899,7380
8251,7312
6109,7410
3716,7484
301,7364
3537,7401
3716,7483
893,7318
3624,7396
301,7498
5354,7397
5870,7402
