programs_1,programs_2
12570,538
12575,383
12514,226
1509,1417
1543,368
1525,930
12574,424
12616,1168
1598,2765
1598,719
1598,722
12606,1486
1530,784
1525,951
12514,265
1525,963
1509,1460
12514,273
12606,1529
1598,763
12624,968
12619,1123
12619,1134
12512,357
1663,802
1543,429
12575,459
12514,302
1667,685
1536,654
12514,309
1509,1494
1525,1000
1598,786
1543,445
12542,1494
1509,1504
12514,326
12518,203
1543,459
12514,324
1598,804
12518,209
12619,1182
12619,1180
1598,818
1525,1033
12613,1364
12518,215
12518,224
1530,890
1663,867
12514,353
1867,688
12518,242
12579,401
12514,368
12518,244
1515,1371
1947,267
1598,846
12619,1217
1663,879
1598,847
12518,258
1663,886
1845,1389
12518,254
12518,256
12575,547
12575,543
12518,262
12518,273
12518,269
1667,784
1598,877
1509,1588
12518,281
1525,1094
12634,782
1543,538
12575,561
12563,933
1543,544
12518,291
12518,285
12517,12604
1525,1107
12518,298
12518,300
1947,12604
12624,1105
12514,417
1947,12609
12518,295
1547,433
12514,419
12619,1259
12608,3659
12584,309
12518,302
1947,12614
12575,582
12518,304
12517,12621
1947,12618
12518,12599
12518,12598
12518,322
1947,12627
12514,445
1525,1134
12514,448
1947,12631
12518,317
12518,319
1663,958
12514,453
12518,329
12518,12617
1947,351
1525,1149
12514,464
1541,654
12518,339
12518,334
12517,377
12531,1992
1667,855
12518,341
1598,949
1509,1660
12514,6621
12522,226
12518,349
12590,2227
12518,361
1947,381
1515,1486
12522,234
12616,1417
1541,685
12518,372
1947,389
1947,2439
1663,1008
12518,379
12522,262
12518,383
12518,395
1543,654
12518,6547
12514,522
12522,273
12518,397
1530,1063
12518,399
12574,722
12518,408
12514,544
1536,890
12514,538
12522,289
12522,304
12518,421
12619,1389
12518,424
12637,843
1543,688
12576,685
12524,258
12584,445
12522,319
12514,563
1525,1259
12518,459
1598,1063
9091,203
12525,244
1867,919
2018,334
12518,464
12518,474
1598,1073
12630,1094
12518,471
12518,482
1867,933
1541,804
12518,489
12518,498
1598,1094
12525,277
12590,12599
12518,496
12522,372
12626,1241
12518,506
12524,319
12518,501
12584,506
1663,1147
12584,524
9091,262
12522,397
12619,1486
12518,524
12587,433
12575,804
9091,258
12514,654
1543,784
1541,847
1525,1344
12522,6547
12525,12599
12518,538
12529,199
12518,536
12584,538
12525,12605
1543,800
12518,547
12525,324
1543,804
12518,544
12529,203
12522,419
1525,1364
12525,336
12518,556
12575,836
12525,12622
12525,12623
1509,1867
12584,563
12518,561
9091,298
12518,557
12575,851
12514,693
12575,847
1598,1169
12518,568
1541,890
12529,232
12522,464
1509,1896
12531,2227
12523,429
9091,334
1543,847
12522,471
12525,375
12518,591
1543,855
12518,604
12531,201
12529,262
12514,723
12529,277
9091,361
12512,802
12518,627
1509,3983
12624,1433
12518,2670
12529,293
1561,329
12529,295
12518,636
12531,232
1561,12621
12531,228
9091,383
12531,238
12518,643
12529,12598
1511,1896
12529,12597
12529,304
12531,244
12518,656
9091,397
12518,666
12530,293
12519,630
12584,666
12529,322
1947,690
12529,12622
12529,12623
1525,1486
12518,2723
12522,547
1543,933
12522,557
12525,467
1947,700
12530,12597
12530,12598
12531,275
12529,336
12529,339
12531,277
9091,421
12518,697
12530,12623
12531,302
12530,336
12531,304
12530,12622
12531,311
12514,2888
12529,375
12531,12598
12531,12597
1525,1529
1598,1317
12584,723
9091,464
12529,383
12514,847
12533,258
12518,720
12600,226
12522,595
12535,203
12518,725
12529,397
12531,336
12518,736
12535,209
1947,761
12518,748
9091,489
12530,375
9091,482
12529,401
12522,627
12535,224
12529,410
12518,763
12533,298
12531,355
12518,758
12535,244
12522,654
12531,375
12535,258
12518,788
12530,410
1833,246
12531,399
12529,461
12600,309
12518,798
12518,800
12535,273
12529,459
12514,933
12535,285
9091,547
12529,467
12535,281
12600,326
9091,561
12535,289
9091,557
12529,486
1561,524
12580,949
12530,461
12518,836
12531,433
12529,489
12531,429
12529,501
12531,441
12535,317
12530,467
12518,851
12535,319
12522,722
12634,1347
12531,457
12601,12621
12601,334
12535,329
1663,1494
1667,1371
12529,524
12620,1799
12535,341
12530,501
12601,351
12531,467
12602,12604
1561,573
12518,882
12529,543
12606,203
12537,302
9091,627
12529,547
12535,361
1561,591
12601,6518
12529,557
12529,556
12535,372
12518,894
1623,722
12606,215
1598,1504
12529,561
12607,199
12600,417
1509,2227
12535,395
12606,242
1833,377
1867,1371
12522,800
12529,582
12518,930
12535,6547
9091,666
12535,399
12531,525
12606,258
12602,381
12600,445
12606,254
1509,201
12518,933
12570,1371
12535,408
1509,203
1509,207
12606,262
1509,209
12531,538
12607,232
12606,269
1509,217
12518,949
12514,1073
1663,1588
1509,219
12518,951
1509,221
12531,561
12518,963
1509,224
1509,226
12531,556
12523,804
1509,228
12600,6621
12606,291
12531,568
12584,968
12590,782
12606,285
1509,234
1509,236
12514,1101
12529,636
12606,300
1509,238
1509,240
1509,244
12531,582
12607,277
1509,248
9091,722
1509,250
12606,304
1509,252
1509,256
12535,464
1509,260
12535,471
1509,265
12518,1000
12606,319
12607,295
12531,602
1509,273
12530,636
12529,666
1509,281
12600,522
12607,304
12607,315
12531,2670
1509,285
1509,287
1509,289
12607,12598
12611,199
12518,1033
12607,322
12529,695
12606,349
12601,506
12606,361
1509,302
12600,544
12611,203
12608,298
12590,855
12607,339
1509,309
1509,12598
1509,12599
1509,317
12600,563
12601,534
12606,379
1509,324
1509,326
12530,695
12611,232
1509,329
12529,720
1509,12617
1509,331
12525,846
12529,722
12542,331
12535,544
1509,12628
12545,244
1509,341
12531,681
12575,1364
12606,397
1509,347
12606,408
1509,355
12533,2670
12531,695
1509,357
1509,359
12518,1094
2239,258
12529,754
12518,1105
12518,1107
1509,2416
1509,368
12606,421
1509,370
12529,763
12606,424
12613,217
1509,372
1509,375
12607,401
12603,524
12531,719
12535,595
12531,720
12547,224
12531,2765
12608,377
1509,387
1515,201
12613,232
12530,754
12613,228
12610,12609
1509,395
12611,304
1509,399
12518,1134
1845,224
1947,1159
12613,238
12529,804
12611,12598
12600,654
12613,244
12535,627
1509,415
1561,851
12518,1149
1509,417
12547,250
1509,419
1511,357
1515,234
12606,482
1515,238
12531,754
12522,1033
12611,322
1845,250
12529,818
12607,459
1643,370
1509,429
12613,275
1645,12599
1509,431
1509,433
1833,630
1836,538
12606,498
12529,836
1645,317
1509,437
1645,319
1509,441
12606,496
12613,279
1509,443
1509,445
12531,782
12610,381
12529,847
12525,970
12531,784
12529,846
12600,693
1509,448
12535,656
1509,453
1509,455
12530,818
1645,336
12514,1314
1509,457
12531,786
12529,851
12601,666
1515,273
12613,304
2239,361
1515,277
1509,464
12612,334
1509,467
12542,455
1980,203
1836,573
1509,471
12613,12598
12525,989
12531,804
12530,846
12611,383
12600,723
1509,6621
12607,506
1509,480
12606,536
12613,331
12606,547
1515,302
12613,324
12535,697
1515,304
12611,401
12607,524
1515,12598
1515,311
1515,12599
1509,501
12606,561
12613,341
1509,504
12547,12628
12535,711
12606,557
1643,455
12607,534
1509,513
12531,855
1845,12628
12518,1259
1515,12622
12607,543
1515,12623
1509,522
12613,359
12602,700
1509,525
1515,339
1515,341
12607,556
1645,408
1509,531
12607,552
12612,397
1509,538
12606,591
12547,372
1515,355
12606,604
12610,474
1509,544
12525,1063
12531,877
12529,939
12529,949
1845,372
12613,395
9091,1033
1509,552
12535,758
12619,211
12611,459
12607,582
1643,504
12613,399
12529,954
1509,563
12616,12605
12606,627
1515,383
1980,304
12606,2670
12518,1314
12619,230
1509,573
12535,788
12529,970
12530,939
1515,395
1947,1340
1509,582
12601,798
12606,643
12518,1317
1515,399
1645,467
12613,433
12529,989
12619,248
12613,429
12530,954
12535,800
1509,595
12613,441
1509,599
12613,437
1515,415
1509,602
12600,2888
12613,448
12530,970
12518,1344
12619,260
12542,599
12619,271
12606,2723
12613,457
1515,429
1509,616
12613,453
1515,433
12530,989
12535,834
1509,621
12518,1364
9091,1105
1515,437
12531,954
12550,2416
12619,287
12550,377
1509,630
12612,506
12531,963
12611,543
12606,697
12547,480
2239,536
12529,1033
12531,970
1509,645
1515,461
12611,547
1509,648
12619,300
1509,651
12619,313
1509,654
12611,561
1845,480
12612,524
1509,656
12531,989
12611,556
12606,722
1509,661
12529,1063
12619,317
12619,12617
12606,725
12529,1076
12606,736
1833,879
1509,685
1515,501
1509,688
12613,525
12619,12628
12634,3983
1509,693
12619,353
1509,695
12530,1063
12619,347
1509,697
12607,720
1525,203
12606,758
1525,209
1515,524
1515,525
1525,215
1509,711
12535,919
12530,1076
1509,2765
12613,556
1509,723
12531,1063
12535,949
12625,203
1525,242
12619,6544
12619,399
12615,524
1947,1503
12613,582
1509,748
1525,254
1525,256
12518,1486
1525,258
12522,1364
1525,262
12613,602
12610,690
12547,595
1525,269
1515,580
1525,273
12610,700
1845,595
12613,616
12607,804
12619,427
12529,1169
12619,439
1525,285
1509,782
12625,254
1509,784
1509,786
1525,291
1509,788
12518,1529
12612,666
12547,627
1525,300
1509,800
12525,1317
12613,636
12619,453
12624,298
1509,802
1845,627
1509,806
12607,836
12561,209
12530,1169
1525,317
1645,695
1525,319
1509,818
12613,654
12606,882
12607,851
1515,636
