children_1,children_2
6002,6259
6002,371
6810,6811
4144,6255
7807,7647
6140,11963
3088,3409
3629,6097
414,1316
3412,793
694,8766
5381,6060
5834,5591
414,5422
994,1025
1387,362
4292,931
1046,1464
7708,6150
4267,7862
4197,4144
895,3597
8392,312
585,8091
646,3387
4091,7951
7922,7724
4280,3887
476,5336
6299,8376
572,569
7017,6852
6339,6117
6299,5825
714,3597
5826,1288
1355,5493
3499,3800
642,6097
7852,11963
5441,3511
371,936
3299,3100
3928,3316
7017,6118
6167,5591
6248,5895
6296,3127
4103,971
676,3273
5614,6107
5929,6334
476,276
3098,660
519,3552
7915,7752
3810,5992
13723,14850
4197,406
3860,870
7598,6077
8193,5559
1300,5992
8074,5917
5791,3478
6916,866
7591,11941
8353,3928
7758,6770
6038,1209
5698,6117
5379,3975
7974,5456
3768,3489
5243,777
3629,1403
6337,3724
406,5575
6336,6831
5670,1366
5700,8376
4280,7089
8221,6260
5700,5825
6038,1239
7842,6249
1436,5926
206,793
3142,3219
6128,5378
8359,7894
7834,8045
6248,642
6741,4050
1016,5397
8077,777
6300,8766
646,5614
6770,8283
5239,6342
7698,1025
642,1403
854,6352
7727,7821
4022,3636
