military_person_1,military_person_2
13716,5722
13716,856
13261,5361
13696,6721
13716,8289
13698,8078
14718,7942
13698,6025
13716,1115
12915,8283
13695,7669
13696,8274
13450,7964
13716,6756
13261,1418
14716,7897
13694,6297
13694,8218
13716,7920
13716,1392
13696,7897
13698,7835
13450,11939
13716,12651
13698,6297
13695,6916
14718,5412
13712,6646
13698,3624
13698,6824
13698,8353
13716,8180
13695,6156
14714,3623
13698,7595
14714,5412
13716,7803
13716,7946
13710,6721
13717,5862
13710,7997
13261,6941
13716,8068
14716,12651
13698,5696
13716,7832
13261,3374
13261,5679
13710,8397
13694,7997
13708,6156
13261,5677
12915,8339
13698,8258
13695,7978
13261,1079
14714,4033
13450,8159
13710,6756
13716,5287
13261,5311
13694,8397
12915,4272
13698,5343
13694,7897
13712,7595
13716,7981
13716,8373
13717,6167
14338,7649
13712,7997
14715,7881
13716,449
13698,7661
13716,7744
13716,7997
12915,7752
13716,4169
13261,5731
13710,8065
13450,7677
13708,7997
13261,8159
14336,4272
13716,5969
13716,8274
13698,6144
14717,7704
13716,8397
13708,6726
13450,8065
14714,8306
13716,3532
