office_position_or_title_1,office_position_or_title_2
8197,12713
7681,13351
5343,13125
8325,13351
6756,13351
7780,13351
8274,13405
117,12328
7920,13125
51,13351
7678,12945
8258,13405
5125,12734
5191,12734
7647,13405
7827,12945
5208,12734
13512,12328
8218,13125
5109,12734
6781,13125
8350,13125
7897,13351
6756,13405
7780,13405
7780,14428
5159,12734
8325,13405
8046,13351
7681,13405
5176,12734
51,13405
7997,13351
7746,12945
5193,12734
5160,12734
7981,13351
5127,12734
5094,12734
7963,13405
6726,13351
7807,13125
7897,13405
5210,12734
8046,14426
13523,8478
8283,12713
14621,13351
7609,13125
11329,13514
11709,13523
8046,13405
3976,13125
8015,13351
141,12713
51,12945
8078,12945
8353,13125
13530,13405
7997,13405
12424,13405
12970,14912
7915,14427
7981,13405
6711,13351
5129,12734
8277,12933
5096,12734
6726,14426
7858,13125
5162,12734
6726,13405
12800,13529
5179,12734
7587,13351
14621,13405
8318,12713
8015,13405
3928,13125
7835,13351
5196,12734
6646,13351
13509,13080
5097,12734
5163,12734
5130,12734
7661,13125
6670,13125
6729,13351
8397,13351
6711,13405
13319,12328
11972,13125
5114,12734
13521,12734
6726,12945
5197,12734
184,13515
7587,13405
7758,12713
7835,13405
6721,13125
194,12713
6646,13405
8274,13125
5165,12734
5198,12734
8397,13405
6729,13405
5090,13529
7920,13351
11660,13125
5149,12734
7915,13515
7647,13125
6781,13351
3928,13218
8218,13351
7858,12734
8350,13351
5100,12734
5199,12734
5166,12734
7835,12945
5095,14426
13511,13125
7888,12328
6646,12945
6756,13125
7780,13125
8325,13125
7681,13125
7920,13405
12435,12713
5134,12734
51,13125
13509,13218
10510,13514
8350,14426
5722,12945
8078,13125
8218,13405
8356,12713
6781,13405
5151,12734
8350,13405
7807,13351
7609,13351
12894,13351
5168,12734
7897,13125
5343,12945
5135,12734
5102,12734
8046,13125
3976,13351
7997,13125
7858,13351
6781,12945
12800,12734
7981,13125
5153,12734
7807,13405
5120,12734
5186,12734
5087,12734
6726,13125
7609,13405
13719,12933
5137,12734
5104,12734
3928,13351
8015,13125
3976,13405
7661,13351
8353,13405
6670,13351
5121,12734
11972,13351
12796,13405
13512,12713
3927,13405
13509,14864
6711,13125
51,12734
5138,12734
7858,13405
10497,13514
7807,12945
5086,14864
184,12713
5188,12734
8075,12328
6719,13405
5089,12734
5156,13218
5155,12734
5122,12734
7587,13125
6721,13351
3928,13405
11786,13514
13522,12945
7835,13125
5205,12734
7793,14426
8145,12734
5139,12734
5106,12734
7661,13405
6646,13125
6670,13405
8353,12945
7915,12713
8397,13125
5118,14428
6729,13125
5123,12734
11972,13405
7849,12713
7678,13405
5112,13080
6719,12933
8328,12713
5173,12734
5140,12734
13509,14426
7635,12713
10891,13671
5190,12734
5091,12734
6721,13405
13509,14428
