story_by_1,story_by_2
5526,6936
1853,6109
1771,3532
1698,3748
5382,4235
5382,4236
213,11899
5295,6936
1665,7851
1937,7613
3023,7739
5908,4319
5512,4313
5476,3380
5295,7976
2596,6651
1733,6798
6031,3611
2714,8139
2787,6905
2682,8111
2358,3822
1970,2541
2807,8339
1860,8000
1723,6103
2565,3552
2853,7939
1692,3993
2079,8385
6031,5684
2456,6946
2054,4048
867,908
2449,6141
5398,6884
2747,8172
2722,7923
2910,4145
5408,435
1878,3380
2832,7599
3076,12326
5715,8339
2247,4235
1752,3196
5779,8407
1534,5860
2247,4236
5386,12403
1520,8346
5965,597
2896,6651
1684,5318
2290,8037
5298,7976
1951,12404
1859,8088
5965,3681
2926,6759
2618,4022
2818,7037
2436,3522
2387,8112
2303,3548
5602,3681
5728,7976
1908,3522
5298,12103
1672,7774
2062,6950
2965,7630
1695,3994
6093,3851
3021,7950
1606,3688
2552,8159
2258,3964
2337,2541
2638,3450
2293,8000
3049,4022
2464,7828
2026,8093
2988,6950
5334,7950
2827,7851
2743,4313
5965,6829
2174,3522
5733,3786
2503,2541
2629,7851
5904,3604
5394,8159
5544,435
1938,3679
5760,908
2582,4195
2031,7966
2989,7964
5386,4313
648,7837
2399,5781
2513,8393
5785,8339
1918,4312
1918,4313
2598,5761
2025,6116
5966,6828
5653,8339
1768,7942
2824,3880
5966,6836
2044,3496
5838,7739
2044,3495
5699,7950
2097,831
2358,8099
5608,7700
3054,8032
2821,8087
1925,4125
2823,7013
5674,7718
2028,4011
1680,1489
1899,3926
2569,5684
1859,4145
2924,6971
5766,7957
2705,3522
2162,908
2653,4125
2225,6129
5835,7882
5523,8339
1704,7950
2368,7847
2145,7595
2347,3380
3066,7718
5878,7592
2520,1102
2903,2541
2724,8092
2682,8371
2370,11899
5326,4235
5326,4236
1764,4066
5928,4004
5501,12124
5705,11944
2124,8272
2441,2541
1701,908
5469,12100
5618,3393
2834,11878
2634,7837
3060,3850
1901,7010
1996,6116
5816,5457
2405,3679
1527,1201
1537,3964
2145,3548
5526,12402
5469,7007
2796,7950
3053,8174
2002,6965
5384,7595
2531,7976
2937,3587
5271,7007
2516,8447
6338,5679
1494,8393
1914,2541
2475,3594
5590,4312
5590,4313
2362,8127
2864,7925
1706,3889
580,908
3060,3902
1878,3679
1650,6651
2676,3522
5506,7950
2186,3355
2599,7964
1754,5490
5373,8000
2573,3669
2573,3668
5811,7739
2895,12122
1881,7718
2423,4231
6130,8099
2336,3860
5693,8339
2608,7718
2744,3501
2205,7925
2015,5622
1683,5679
5484,2541
2159,8339
1979,3681
6131,8092
2369,7976
5666,8175
5925,8339
2795,3993
2238,3852
2238,3851
2673,3681
6209,7730
2342,11897
2787,4246
3019,8320
5298,4235
5298,4236
1692,3380
1583,3688
2644,2541
2961,908
3003,11897
3042,3522
3019,12426
1668,12326
2150,3532
2057,5390
1820,3522
2668,7957
2696,4020
1861,3283
2470,7957
2141,7924
6066,8112
2459,4218
2179,11878
3021,12403
3075,2541
2936,6850
1764,3246
2207,6923
2459,4235
2459,4236
2160,8385
5250,5781
5844,6829
2706,7851
5844,6828
2372,6950
5844,6836
6164,6141
2563,1034
1788,7655
2581,2541
5954,3450
2913,3522
6094,8339
5512,7950
2230,3196
1736,8272
2404,7024
5589,3522
1975,7010
2225,3358
2200,4135
1719,6759
1955,3541
1721,7724
2347,3679
2148,11899
2172,8092
2528,8320
5234,4312
2874,7837
5399,4320
2528,12426
5234,4313
3021,4313
1771,4150
5587,7713
1840,6109
5565,8393
2246,11958
2584,3530
5844,7939
2911,5684
2403,4026
886,7023
6261,8339
1733,4320
2801,908
5927,3337
5334,4313
1738,8272
5712,6935
5712,6936
2813,7718
1594,7620
1743,8127
2405,3993
5512,7006
5712,7976
1816,3826
2003,1102
2112,7966
2722,3393
5998,8339
5274,4159
5472,8260
1811,3993
2639,7000
2532,3151
5398,3393
5699,4313
2511,7911
1618,3850
5851,7795
1706,5226
2545,7893
5652,7837
2906,6946
5276,4134
2796,12403
2828,8339
2102,8319
2744,3784
2574,8035
2184,7837
2774,5933
2219,6759
5709,8139
6166,4216
2595,4325
3010,5796
1936,1201
2373,8134
2169,4218
2595,4324
2322,7672
5330,7605
1715,3964
5583,7964
2351,3707
1618,3902
2171,4169
2351,3708
2744,6885
2038,5224
2996,5224
1587,3850
1885,7925
5855,7737
2743,7950
2487,3602
2224,2541
1684,5970
2611,6935
1692,3679
1861,3562
366,7924
2611,6936
5386,7950
1987,7851
2632,8339
1983,5933
2452,11878
2611,7976
2380,7976
2619,7737
2168,4311
2666,4236
1854,7903
5403,3355
2666,4235
6066,4312
2845,7904
