film_release_region_1,film_release_region_2
2079,127
2079,126
2079,128
5254,12
5252,71
2079,132
2079,135
5252,78
5252,75
5252,76
2079,138
5252,82
2079,141
5254,17
2079,140
5254,23
2925,6684
5252,86
5252,84
2082,51
5252,89
5252,90
5252,87
5252,92
5252,97
2081,92
2081,95
5252,95
5254,40
2925,6700
5252,106
5252,104
5252,109
5252,110
2079,166
5252,108
2079,171
5254,51
2079,170
5254,52
5252,111
5252,117
2083,51
5252,118
5252,116
2079,176
5254,59
2081,117
2079,179
5252,126
5254,61
2079,186
5252,127
5252,128
2079,190
2928,6642
5252,132
2928,6644
5254,75
5252,138
5252,135
5252,141
2085,12
2081,141
2085,23
5254,92
5254,95
5254,97
5252,166
2925,6767
2928,6676
5254,108
5252,170
1813,8477
5254,111
2928,6679
2081,170
5252,177
2928,6684
2085,51
5252,176
2085,52
2081,179
5252,179
2928,6689
5254,118
5252,186
2085,59
2928,6694
5254,127
5252,190
5252,187
5254,126
5254,132
1813,8498
5254,135
2930,6644
5254,138
5254,141
2086,51
2085,92
2085,95
1874,6644
5254,171
1874,6647
2930,6679
5254,170
2085,108
2930,6684
2085,110
2087,51
5254,179
5254,186
2930,6700
5254,190
1874,6676
2085,135
2873,8479
1874,6679
2085,141
1816,8479
6316,51
1874,6689
1874,6694
1874,6700
2085,170
2085,186
5261,51
2875,8482
2092,12
2876,8479
2876,8482
2091,51
2092,23
2092,52
2092,51
2092,59
1880,6647
2093,51
2092,95
2094,35
1880,6676
2092,108
1880,6679
2092,110
1880,6684
2094,51
2092,118
1880,6694
2092,132
2092,135
2938,6679
5266,51
2938,6684
2092,141
2095,51
2938,6700
2093,127
2881,8479
2092,170
2096,51
2092,190
2097,51
5219,1585
2048,1585
2098,51
2099,51
5271,51
2100,51
6279,1585
5273,12
5273,23
2101,51
5274,12
1888,6676
5274,17
1888,6684
5274,23
5273,52
2102,51
5273,59
5274,29
5274,35
5274,36
5275,12
1890,6647
5274,51
5274,52
5275,23
5274,59
5275,29
5273,89
5274,58
5273,95
5274,61
5225,1585
5274,71
5274,75
5274,76
1890,6676
5276,12
5273,110
2105,12
5275,52
5274,84
1890,6684
5275,51
5274,87
2104,51
5276,23
5274,86
5276,29
