first_level_divisions_1,first_level_divisions_2
12,10444
127,9439
49,10834
51,5141
51,5142
51,5143
51,5144
117,5146
51,5145
51,5150
51,5152
170,11705
51,5154
51,5156
170,11452
191,9521
12,9694
51,5157
51,5158
9,10812
51,5161
51,5164
170,9925
51,5167
6644,9937
117,5170
127,9213
51,5169
170,11720
191,10045
12,9709
117,5174
51,5172
125,11072
117,5177
51,5175
127,9732
132,9578
132,11371
9,10323
51,8509
51,5181
51,5182
117,5185
51,5184
6700,10526
109,10556
51,5187
117,5189
132,11384
51,5192
117,5195
51,5194
12,10757
170,9445
117,5200
170,11494
12,11529
191,10077
117,5203
117,5204
51,5202
117,5206
6700,8496
51,5209
118,11580
132,9868
118,11326
125,9831
9,11385
141,125
9,10877
118,9290
184,10061
170,1
191,11638
12,9251
132,10910
12,9254
6644,11538
149,11409
12,11561
170,9739
125,11396
9,9873
6700,9555
127,8522
118,9569
9,9623
12,9531
132,11189
12,9278
127,8532
170,9249
127,11101
170,11307
12,11599
127,9317
9,10417
141,184
141,191
6700,10113
170,10561
12,10595
92,9652
132,10205
170,11589
6644,10577
170,10055
125,10690
12,9845
118,10405
12,11134
12,9602
9,10207
6644,11628
170,9575
63,93
9,10478
132,9228
6700,10677
51,5086
127,9131
51,5088
132,11281
132,10514
51,5090
127,9648
51,5092
51,5093
190,11537
6644,10378
51,5095
6700,10689
191,9971
118,10956
51,5098
51,5099
51,5101
51,5103
127,9403
141,9
127,10685
51,5105
191,9726
51,5107
51,5108
51,5110
63,132
51,5112
51,5113
51,5115
170,9620
51,5117
51,5118
12,10167
51,5119
132,9776
170,153
51,5124
6644,11427
51,5126
51,5128
117,9227
127,9430
117,5132
6700,10214
51,5131
127,9434
51,5136
12,10186
