causes_1,causes_2
13955,14632
13935,14100
14117,14347
13973,13944
14106,14046
13935,13968
14106,14108
13149,14090
14117,14483
14117,13971
12897,13324
13149,14089
13954,13324
14119,14108
13970,14632
14117,13977
14119,14104
14107,13324
13965,13950
14117,13973
13149,14093
13166,13324
13936,12746
14101,13324
13935,13927
13494,14107
13937,13943
13926,13324
14117,13937
13955,13324
14119,13937
13149,14116
13494,14109
14117,13932
14117,13933
14117,13944
13928,14108
14117,13495
13978,13324
13965,14108
13939,13324
