producer_type_1,producer_type_2
6933,12470
723,12470
6867,12470
5678,12470
4324,12470
228,12470
3102,12470
1021,12470
4027,12470
3862,12470
3730,12470
3763,12470
3631,12470
427,12470
361,12470
295,12470
4325,12470
262,12470
3169,12470
3103,12470
3929,12470
890,12470
3797,12470
6836,12470
725,12470
3731,12470
3533,12470
329,12470
1353,12470
3401,12470
230,12470
8290,12470
1188,12470
1155,12470
3170,12470
3203,12470
3963,12470
7002,12470
7035,12470
3930,12470
6837,12470
6870,12470
6903,12470
627,12470
3699,12470
561,12470
429,12470
1420,12470
3501,12470
3402,12470
3204,12470
1156,12470
1123,12470
3138,12470
4096,12470
3931,12470
661,12470
3799,12470
6871,12470
595,12470
496,12470
397,12470
298,12470
4328,12470
265,12470
3337,12470
8391,12470
926,12470
794,12470
3767,12470
3668,12470
596,12470
464,12470
1488,12470
3569,12470
431,12470
398,12470
1389,12470
299,12470
6873,12470
3867,12470
696,12470
3636,12470
3669,12470
531,12470
3570,12470
498,12470
399,12470
1390,12470
300,12470
234,12470
201,12470
3174,12470
3207,12470
4099,12470
697,12470
3835,12470
5850,12470
3604,12470
7799,12470
6544,12470
433,12470
334,12470
3208,12470
8460,12470
1028,12470
4034,12470
3605,12470
1491,12470
368,12470
269,12470
203,12470
6116,12470
963,12470
930,12470
3870,12470
3639,12470
435,12470
402,12470
1294,12470
3177,12470
5853,12470
3871,12470
700,12470
2583,12470
3376,12470
5490,12470
271,12470
4301,12470
238,12470
5358,12470
4136,12470
1031,12470
998,12470
4004,12470
899,12470
800,12470
6878,12470
701,12470
6911,12470
602,12470
3707,12470
536,12470
437,12470
3377,12470
3278,12470
4170,12470
3113,12470
933,12470
3840,12470
6945,12470
3708,12470
3741,12470
3675,12470
504,12470
471,12470
12627,12470
372,12470
339,12470
3345,12470
1033,12470
1000,12470
3940,12470
736,12470
604,12470
3709,12470
538,12470
3643,12470
6352,12470
241,12470
3247,12470
1034,12470
3115,12470
968,12470
6187,12470
869,12470
836,12470
638,12470
3677,12470
539,12470
506,12470
6518,12470
209,12470
1101,12470
4107,12470
1927,12470
804,12470
3843,12470
7939,12470
3711,12470
474,12470
441,12470
3480,12470
408,12470
3348,12470
3315,12470
3150,12470
3183,12470
6222,12470
6123,12470
6916,12470
3943,12470
6982,12470
772,12470
5859,12470
6883,12470
3745,12470
5628,12470
3613,12470
1433,12470
244,12470
211,12470
3283,12470
6124,12470
4010,12470
806,12470
3911,12470
6851,12470
1434,12470
377,12470
1368,12470
3317,12470
3251,12470
3086,12470
906,12470
2888,12470
6885,12470
3879,12470
5894,12470
3714,12470
2723,12470
3648,12470
6819,12470
543,12470
6621,12470
3516,12470
3450,12470
8306,12470
3252,12470
1105,12470
4210,12470
3880,12470
841,12470
3946,12470
1799,12470
3847,12470
676,12470
643,12470
445,12470
379,12470
1106,12470
1073,12470
908,12470
875,12470
6953,12470
3914,12470
3584,12470
1503,12470
347,12470
281,12470
3353,12470
215,12470
1107,12470
1041,12470
843,12470
6954,12470
711,12470
513,12470
480,12470
1438,12470
3453,12470
315,12470
4180,12470
1108,12470
6129,12470
6856,12470
3784,12470
580,12470
547,12470
1505,12470
3454,12470
349,12470
1340,12470
3421,12470
250,12470
12604,12470
3157,12470
944,12470
3785,12470
3818,12470
548,12470
3653,12470
482,12470
3488,12470
383,12470
3455,12470
317,12470
1341,12470
3356,12470
3224,12470
3158,12470
3522,12470
3555,12470
1441,12470
351,12470
1342,12470
285,12470
8444,12470
3225,12470
3126,12470
1012,12470
4150,12470
6892,12470
748,12470
3754,12470
352,12470
319,12470
3292,12470
3325,12470
1971,12470
914,12470
6827,12470
518,12470
419,12470
1344,12470
287,12470
1311,12470
221,12470
4152,12470
3227,12470
4020,12470
882,12470
5870,12470
3789,12470
651,12470
3591,12470
3492,12470
387,12470
1378,12470
1345,12470
1147,12470
8447,12470
8414,12470
3096,12470
7060,12470
4054,12470
3856,12470
6829,12470
5772,12470
3625,12470
421,12470
3460,12470
1445,12470
355,12470
3394,12470
322,12470
289,12470
4121,12470
4154,12470
851,12470
7986,12470
3758,12470
7689,12470
7722,12470
455,12470
1446,12470
1347,12470
3395,12470
224,12470
1182,12470
1149,12470
3164,12470
6335,12470
4089,12470
8383,12470
3990,12470
720,12470
6963,12470
654,12470
6798,12470
489,12470
7723,12470
357,12470
324,12470
291,12470
258,12470
1150,12470
3165,12470
4024,12470
5940,12470
6964,12470
6898,12470
3562,12470
424,12470
3430,12470
8385,12470
1217,12470
3232,12470
3100,12470
3992,12470
854,12470
788,12470
3926,12470
722,12470
557,12470
524,12470
5578,12470
359,12470
326,12470
3431,12470
260,12470
3299,12470
1152,12470
4191,12470
