awards_in_this_discipline_1,awards_in_this_discipline_2
13767,7465
13735,6407
13767,6450
12531,7391
6640,13883
13363,13865
13363,13860
1515,7391
13767,6457
13767,6469
13363,13873
13735,6430
13767,6472
14127,12718
14132,12052
13735,6453
13363,13889
13767,6482
13363,13885
13767,6479
13363,13883
13767,6486
13363,13890
13767,6500
14132,12082
14132,12075
12531,12056
13767,6509
13767,6506
12202,6379
1515,12052
12531,12061
1515,12056
13767,6522
1515,12061
13735,6500
13767,6531
13767,6528
12531,12077
13767,6527
12531,12075
1515,12075
12531,12086
13767,6536
12531,12085
13767,6537
12531,12082
1515,12080
1515,12082
1530,12129
13735,6517
1515,12086
14034,13115
1543,6614
13767,6556
13767,6554
12531,6471
14125,13889
12531,12099
13767,6551
1515,12099
14132,12141
1515,6471
13735,6529
12531,12106
13767,6559
12551,7391
1515,12106
12531,12121
13767,6570
12531,12119
1515,12110
13735,6536
13767,6569
13767,6567
1515,12115
12202,6456
12202,6450
13767,6577
1515,12119
13735,6556
13767,6585
13767,13252
12202,6469
13767,6597
13767,6594
12632,14131
13767,6592
12632,14130
13767,6593
12529,6569
13735,6559
13767,6605
13730,13893
13735,6570
1515,12141
12551,12052
13767,6610
13767,6611
14127,13883
13739,14135
12550,14130
13767,6609
13767,6607
12551,12061
12551,12056
13735,6585
13735,13252
13735,6597
13735,6594
12531,7566
13735,6592
13735,6593
13735,6605
12551,12077
13228,14128
12551,12075
12531,7573
12531,7570
1515,7570
12551,12085
12551,12082
13735,6610
13735,6611
1515,7573
13363,7391
12551,12080
1667,12086
12632,12138
12551,12098
12551,12099
12551,12097
14134,7566
13228,12113
12551,12109
12517,7527
12202,6537
12551,12115
12551,12110
12551,7512
12551,12121
12551,12119
12318,6554
13228,12134
12551,12129
13363,12056
12551,12141
13363,12052
8656,6418
12531,6620
13363,12061
12202,6577
13363,12073
13363,12080
13363,14128
13363,14126
13363,12077
6640,12109
6640,12108
13363,12075
14134,6620
13363,12086
13363,12085
13363,12082
13363,14130
13363,14131
12551,7573
13363,12097
12551,7570
13363,12092
13363,12090
12551,7566
13363,12104
13363,12101
13363,12098
13363,12099
13363,12113
13363,12110
13363,12108
13363,12109
13363,7512
13363,12121
13363,12119
13748,13492
13363,12115
13363,12129
13736,13878
13736,13875
13363,12134
14125,12061
1515,13860
13363,12141
13363,12138
14125,12080
14124,12112
12514,13889
14125,12077
14125,12086
12531,13885
14125,12085
1833,6583
12551,6620
1515,13885
12551,6614
13363,7566
13284,12061
1720,6522
14125,12110
13363,7573
13363,7570
14125,12109
13767,13490
14125,7512
13767,7347
13767,13488
14125,12119
1833,12758
14125,12129
13363,12718
13732,13056
12590,12115
13792,13250
13747,14133
14127,14126
14127,12090
13284,7512
12579,7347
14127,12108
14127,12104
14129,12052
13363,6614
14125,7566
14127,12112
13363,6620
13767,6383
13228,13890
12551,13885
1591,6506
12551,13889
13741,12839
14129,12075
14132,7391
13767,6417
13767,6423
13767,6430
