award_1,award_2
1877,6389
6074,7356
8184,7485
3960,7352
6104,6423
1877,6392
1871,6578
1877,6394
1877,6397
1876,6427
1876,6430
1877,6402
1877,6409
3960,7373
1877,6408
1876,6441
1878,6382
1877,6419
1877,6418
1876,6452
1877,6421
14293,14747
1877,6423
8188,7394
1877,6424
1877,6427
3989,6488
1878,6395
3989,6498
1877,6432
3959,7429
3959,7426
3992,6403
6106,6412
3989,6502
1877,6436
1877,6439
1877,6440
6074,7412
6100,6604
1878,6418
6074,7416
3960,7412
1877,6452
14294,14747
8184,7544
1879,6397
3993,6396
3960,7429
1877,6464
6101,6593
3988,6565
1877,6468
1877,6472
6106,6451
1878,6447
6074,7450
3958,7509
14295,14747
3993,6434
8190,7400
6104,6535
6078,7341
6109,6387
3993,6444
6107,6446
6102,6606
3992,6485
6106,6487
3959,7509
14296,14747
3959,7515
3993,6467
8192,7373
3993,6470
1876,6559
1881,6408
3989,6603
8192,7388
3995,6421
3960,7509
1881,6423
1881,6426
14297,14747
3992,6523
3995,6439
1876,6596
8192,7412
8188,7536
8221,6514
6111,6387
1876,6602
3997,6388
3996,6420
1881,6452
6104,6613
1877,6580
8192,7429
3960,7544
6104,6615
6107,6529
6108,6498
1884,6367
14298,14747
8221,6537
6112,6382
1884,6375
1884,6380
1877,6601
6109,6487
3995,6485
6112,6395
1884,6396
6075,7547
6113,6369
1884,6401
1884,6404
1884,6407
8195,7373
1884,6411
1884,6415
3997,6451
1884,6418
1884,6423
6112,6434
6108,6555
6114,6376
6114,6374
14300,14747
6114,6379
8192,7501
6110,6501
1886,6378
6113,6414
8228,6381
6114,6381
1884,6444
6112,6447
1884,6445
3997,6483
6112,6458
14301,14747
8192,7518
1884,6456
6113,6431
1887,6373
6112,6468
1886,6404
1887,6372
1884,6468
1887,6375
1886,6408
1887,6379
1887,6381
1886,6414
6114,6424
8192,7536
6111,6514
6078,7544
14302,14747
8192,7544
6113,6462
1887,6397
8228,6439
1884,6494
1887,6402
1885,6464
6114,6439
1884,6497
1887,6409
6113,6473
8229,6418
4002,6383
6113,6478
1886,6445
6078,7571
1887,6421
1887,6423
8230,6402
14303,14747
1887,6424
1884,6517
1886,6458
4003,6369
1887,6431
1884,6526
1887,6432
1889,6370
1887,6435
1889,6373
3997,6563
1889,6375
3972,7335
1889,6379
1889,6381
1889,6380
3997,6578
4002,6425
1889,6397
6114,6496
1889,6396
1886,6494
6112,6561
1889,6402
3997,6589
6116,6439
3997,6599
4003,6410
4003,6411
1889,6414
1889,6418
4002,6450
1889,6421
1889,6423
3997,6608
4001,6485
1884,6580
4003,6426
6116,6465
6114,6527
4003,6431
1889,6432
3971,7429
1891,6372
1887,6496
1891,6375
1889,6439
1889,6440
6117,6449
1884,6602
1891,6386
3999,6589
3972,7429
1892,6374
4002,6498
1889,6468
4003,6473
1889,6470
1892,6389
6121,6369
4000,6589
1891,6437
1893,6376
1891,6438
1886,6596
1893,6381
1893,6380
4006,6419
6120,6421
6117,6514
3824,12060
3824,12063
3824,12068
6114,6613
3970,7547
3976,7360
8234,6440
4002,6554
1887,6584
1894,6372
3802,12758
6121,6411
6121,6410
1894,6375
6120,6439
1894,6380
1894,6379
1894,6382
6122,6385
4007,6419
1891,6483
6121,6426
1893,6423
6121,6431
6123,6368
1893,6427
1894,6396
4009,6370
1894,6397
1894,6401
4009,6373
6116,6591
1895,6375
4007,6440
4002,6594
1891,6502
1894,6409
3977,7373
1894,6415
6123,6386
1894,6418
1894,6417
1894,6422
1893,6453
1666,13490
1894,6421
1893,6452
4008,6426
1666,13489
1894,6424
1894,6423
4009,6393
1894,6425
1893,6456
4009,6399
3971,7574
6123,6398
1894,6429
1894,6432
1894,6436
1895,6404
1894,6437
6123,6412
5941,12054
1894,6440
6121,6473
4009,6408
1894,6439
8237,6419
1892,6506
1894,6444
1893,6477
6122,6452
1895,6414
1895,6419
4009,6426
3972,7574
8238,6402
1894,6455
8237,6440
4009,6435
1894,6468
1897,6375
8237,6438
1896,6405
1897,6374
3977,7429
1894,6470
1895,6440
4008,6475
1897,6382
8235,6514
4009,6455
4010,6421
4009,6453
1893,6517
1898,6367
6121,6529
1897,6402
4010,6439
1895,6468
1894,6501
1896,6446
3976,7499
6123,6485
1898,6385
1898,6387
1898,6390
4009,6487
1896,6454
6123,6487
1896,6462
4010,6465
8056,12113
1898,6414
1892,6601
1892,6603
8057,12101
8056,12134
4010,6485
3977,7509
4008,6555
1894,6555
1896,6508
4009,6543
1896,6510
1894,6571
1671,13490
4010,6523
1893,6613
6124,6534
1894,6591
6128,6412
1896,6535
6127,6452
1895,6578
4009,6586
4009,6584
6129,6400
1898,6494
3984,7373
4009,6603
4009,6605
1898,6516
6100,7329
3985,7383
4012,6550
3981,7509
4015,6455
3981,7521
1903,6413
3986,7373
6097,7475
4017,6419
3986,7383
3986,7388
4016,6455
3985,7423
8247,6375
8063,12092
6133,6385
8063,12098
3986,7412
6126,6605
8063,12097
8063,12104
8247,6401
6134,6375
1901,6527
6134,6374
6134,6381
4016,6504
6134,6385
6134,6404
1907,6373
6097,7557
1907,6379
3984,7527
1903,6509
6134,6421
3989,7387
3988,7415
6134,6431
3984,7544
1907,6399
8212,7547
6136,6373
1908,6372
1908,6379
6136,6385
1908,6381
6101,7475
1908,6385
6105,7355
8212,7574
1908,6396
1908,6397
4020,6465
1908,6402
8251,6373
3986,7518
4023,6376
3988,7460
4023,6379
1908,6418
1909,6388
1908,6419
8068,12073
1908,6421
4023,6396
1908,6429
1910,6370
1908,6432
1909,6403
1910,6374
1910,6373
1908,6438
1908,6440
1910,6378
1908,6439
3795,13485
8068,12098
3988,7500
8068,12092
3795,13489
3988,7509
4023,6423
1911,6367
1910,6399
1910,6404
1911,6373
1908,6468
6135,6502
1910,6410
1908,6471
1911,6380
1910,6411
1910,6414
1911,6385
1910,6415
8253,6389
1910,6421
1911,6390
8068,12138
1910,6426
1911,6394
1911,6396
3988,7544
1911,6399
1912,6368
1910,6431
1911,6402
1910,6435
1911,6411
1911,6415
8253,6424
1910,6445
6137,6487
8253,6421
1911,6421
1910,6453
1909,6487
1910,6458
4027,6368
1909,6488
1912,6398
1912,6400
1912,6403
6135,6563
1911,6436
8253,6439
3993,7434
1910,6477
4021,6578
4027,6400
6141,6400
1910,6494
1910,6496
4027,6403
1914,6373
3997,7336
1911,6473
6135,6598
3997,7341
4027,6416
6142,6385
1908,6574
4028,6394
3997,7352
1910,6517
1915,6369
1915,6370
4023,6558
1908,6591
6138,6534
1915,6376
8015,13886
1914,6421
1912,6485
1915,6396
3997,7398
1915,6409
1914,6440
1914,6439
1915,6411
3994,7499
1913,6477
1915,6414
4027,6484
4027,6485
3997,7412
4023,6613
1915,6424
1915,6427
1915,6431
1910,6586
6138,6590
1915,6432
1915,6439
1910,6596
1913,6504
1910,6602
4032,6370
4027,6523
1911,6584
1918,6372
4026,6563
3994,7555
1918,6382
4032,6385
4032,6387
4000,7386
4032,6398
1919,6369
4026,6589
1919,6375
1919,6376
1919,6379
4026,6599
1919,6381
1919,6380
4032,6412
3997,7500
1919,6387
1919,6392
3997,7515
1919,6397
1919,6396
3997,7518
4000,7425
1918,6429
6148,6373
1920,6370
4003,7336
1920,6374
1918,6436
1920,6373
6145,6475
4028,6565
1919,6409
6113,7465
1917,6474
3996,7560
1919,6414
1919,6421
3997,7536
1920,6389
4032,6452
1919,6423
6142,6584
1919,6424
1918,6455
1919,6427
1917,6488
4034,6400
1914,6584
1920,6397
1919,6432
1921,6373
1919,6439
1919,6440
1920,6409
1920,6424
4030,6550
8231,7391
4033,6460
1920,6432
4032,6498
1920,6435
4003,7398
1918,6502
1919,6470
1920,6439
1921,6411
6147,6484
8229,7478
1921,6431
4005,7360
1921,6432
4034,6465
1920,6468
4035,6440
6113,7557
4031,6563
1923,6382
8265,6385
4036,6421
1921,6455
1923,6392
6147,6523
4038,6376
4037,6404
4038,6380
6151,6412
8264,6440
4004,7434
8265,6421
1920,6506
4031,6608
6150,6456
6147,6548
4037,6426
4038,6396
4037,6431
8267,6377
1920,6524
4039,6373
4039,6370
1923,6435
1925,6372
1924,6405
1925,6379
1921,6502
4039,6379
4037,6446
4039,6385
1925,6382
6150,6477
4005,7443
4034,6541
4038,6417
4032,6603
4039,6387
6118,7480
4036,6485
4039,6390
8231,7512
4039,6399
8260,6620
8267,6404
1923,6464
4038,6434
1920,6559
1925,6409
4038,6444
6148,6573
1925,6415
8085,12066
1926,6383
4039,6421
1925,6418
4038,6456
4003,7538
1925,6425
6152,6462
1919,6613
6148,6584
1925,6429
4038,6467
4039,6435
6151,6498
1925,6437
1925,6436
4038,6470
1925,6440
4005,7499
6118,7529
8231,7570
4038,6477
4040,6419
8267,6462
4037,6520
4037,6526
8267,6478
4042,6380
4005,7527
1926,6450
3859,12064
4042,6389
6149,6608
4042,6396
4012,7329
6157,6370
4039,6491
8087,12073
6157,6373
6157,6379
1925,6497
4042,6408
4042,6405
6157,6381
8087,12092
6157,6380
6157,6385
8087,12098
1929,6384
