participant_1,participant_2
7865,984
715,1456
5489,926
3801,4101
8705,7720
982,1378
4081,3612
5215,1226
1270,644
4089,3370
6267,1386
4069,3989
5797,7770
214,619
3801,4113
5651,4106
3740,6005
3904,926
5672,3459
3975,6920
12342,1497
5406,3517
3740,6013
5383,4231
490,270
635,3967
3095,1438
1099,5972
7609,768
6181,4081
7985,5500
362,4250
1183,3377
6144,5237
564,6187
6267,1428
4170,898
490,292
6195,3667
918,3416
216,605
3124,572
5940,3387
369,4058
3564,3318
998,944
3387,612
4188,362
5409,3473
3904,979
1044,7720
5236,647
214,684
3289,3667
733,984
3564,3338
484,517
1270,727
5614,5331
7971,5992
3889,1465
3473,6168
8314,3553
6308,210
6904,6308
5409,3506
4270,6048
3537,4194
8050,3553
1438,11922
6311,8325
4329,4231
5215,1341
3904,1021
5857,6016
3382,824
3831,3288
1456,3187
6267,1505
1456,3190
7994,5313
6908,6222
6914,6036
6182,12342
7985,5600
5217,1302
3478,6060
1270,783
371,4081
1185,3428
3740,6144
3303,3307
4084,3671
1022,292
1006,790
3892,1438
998,1041
3920,8766
3740,6153
3273,4249
7888,450
316,5807
214,777
3831,3338
1185,3448
727,1270
6308,292
3394,518
898,4170
3370,1270
6864,7650
4009,6043
5849,6347
3387,753
572,6099
3370,1283
3288,3831
5762,866
3740,6207
398,3318
5866,5841
1375,5802
1438,3850
1183,3564
316,5866
640,4018
1183,3574
1438,3861
3552,3863
4079,3913
5253,290
4069,4231
6187,4106
1456,3318
833,6249
4067,4301
1438,3880
5493,1053
3831,3428
3478,6181
517,7865
1438,3892
7994,5460
4081,3880
549,6879
3307,3303
5420,3338
7951,6796
1183,3612
1438,3902
5336,5943
5237,821
5237,825
1256,1361
6058,8152
549,6903
6920,6013
3904,1211
6931,5684
6012,1409
3119,979
1183,3651
1017,608
3904,1226
3377,1183
4079,4001
5775,8766
3552,3955
3564,3585
6193,4009
3297,3687
4009,6193
8215,6879
1257,1399
3506,5409
7951,6879
3723,6879
469,1258
5950,3377
3740,6353
5425,3274
3988,6864
7720,5866
1438,4001
3904,1288
3377,1240
6138,5762
3574,3331
3904,1298
5623,5356
1390,5510
592,5672
4081,4009
7720,5894
3487,6043
859,5591
1183,3740
673,3176
3989,6883
1391,5500
1386,5655
6283,1309
3416,8267
676,3096
575,6230
1133,5317
5348,5724
8705,8164
3841,3296
4200,362
3568,3574
4081,4053
7985,5914
5775,694
4170,1311
3564,3711
4220,7954
3755,5985
3251,5224
3651,1021
5409,3870
3902,1438
3296,3841
1015,825
3904,1390
1282,753
6217,3416
3904,1396
6100,7048
6138,5870
1391,5573
1270,1136
5600,6168
3552,4124
5268,8273
6207,3740
928,3552
6152,5449
4106,3338
642,4231
6138,5892
5420,3574
6899,6879
1270,1157
8263,5563
4016,6144
3140,535
3297,3863
3831,3693
6145,5684
5670,4032
4089,3891
4079,4205
640,4317
4038,5473
3377,1390
5429,3318
8273,5268
4032,5670
3906,1386
3989,7010
5429,3338
1283,792
4170,1406
6931,5933
5241,979
5332,6348
3145,423
3831,3732
5607,6024
3756,6068
7985,6043
3573,3550
5356,5623
8164,8705
588,5991
770,352
4081,4205
1316,8004
1401,5369
3318,3288
1270,1240
5412,3908
1061,7720
1052,8000
1122,5833
1370,6337
3318,3297
5422,3612
1390,5724
4081,4231
3416,270
3574,3568
1302,272
3651,1183
824,6899
845,6249
3561,3976
8164,549
5950,3651
6155,5489
824,6908
12232,13711
5870,6138
7817,3124
4094,3859
7609,1390
738,1399
5500,1231
327,5950
923,3863
1283,897
753,947
5892,5481
777,214
3553,4270
4081,4290
1183,4016
1133,5573
1018,947
3517,5406
1185,3975
3140,716
5894,5457
6152,5651
1050,8170
7650,8369
3307,3740
3728,7073
1292,673
5628,5520
8055,4016
677,3363
5356,5773
5611,6060
7722,6154
8325,3845
677,3370
677,3371
3564,3988
1379,6187
5358,5724
6342,7985
5849,6885
768,559
3422,208
5253,789
5940,4081
4222,8188
825,7001
6058,428
1459,3732
4094,3969
3127,1183
3594,3096
4053,5253
5236,1353
1465,3564
6152,5724
4307,5575
3574,3728
5429,3564
3574,11919
3318,3478
5634,5412
866,5762
926,3904
12284,12254
5762,1456
5262,569
4231,7954
1386,6043
5500,1391
4101,3801
1456,3880
1270,1456
766,698
6144,6013
6168,5269
1386,6058
270,7886
423,3145
3474,6872
1270,1468
3318,3517
214,1438
512,398
5500,1421
1387,6043
259,8246
5634,5464
918,4205
1411,5312
490,1097
5378,5217
781,270
500,790
3858,3190
5507,1226
4089,4231
5799,374
7985,6342
3318,3564
5269,428
8050,4329
3568,4016
1387,6091
5881,6043
4182,1365
1409,5412
1017,1183
5799,398
5885,5924
1456,3969
1464,3723
1365,6795
926,4023
785,202
6168,5359
1183,4249
1183,4250
5237,1457
923,4124
4120,3325
7650,391
3264,5286
3318,3612
6845,768
3318,3611
3599,3095
4290,6255
5909,5217
760,998
8152,1226
3145,792
428,3107
1298,715
4231,8094
1021,1110
1390,6058
684,3370
517,356
3863,3127
5267,564
3848,3594
5802,362
781,369
5950,3969
5885,5991
7650,426
3585,3564
3145,825
6879,7951
5953,3888
1282,1236
5797,539
6168,5420
4053,5449
3919,1421
5775,1236
518,363
6155,5845
6321,698
5860,6796
1302,644
8055,4290
5881,6155
753,1282
5510,1283
7931,8152
6175,5253
4053,5500
952,3330
6155,5881
5943,4260
8273,5752
3682,623
3841,3891
1386,6267
1052,237
952,3338
5684,4105
1456,4106
1390,6152
5510,1316
5563,7865
3676,825
926,4157
5434,3676
5521,979
6321,753
6043,1183
416,3594
1129,6068
5807,316
1413,5460
8267,5985
5681,4231
7010,3989
1390,6181
5634,5690
5429,3858
517,484
5956,3908
3260,5567
5446,3338
5429,3870
3422,555
8152,1386
1283,1330
7886,1438
8152,1390
783,450
5802,512
1465,3889
6168,5553
753,1387
6831,1386
6040,1335
1409,5634
5297,7985
1420,5296
3863,3297
1421,5270
3693,374
5510,1390
3967,8263
4105,3988
7009,4081
594,6347
3318,3823
8025,5360
512,698
1290,1157
1017,1430
517,549
3145,1005
5520,1109
4133,3145
259,362
4205,918
6168,5600
4307,5950
3689,535
237,1052
6308,1277
1050,442
1478,3564
4113,3801
789,352
1316,400
5634,5805
518,569
3599,3363
5797,760
792,270
7951,7720
3599,3371
3599,3370
1228,3145
6040,1438
5359,6168
1390,6326
3318,3904
6308,1329
3307,4249
3264,5582
5626,6091
3521,5812
5775,1478
6879,8215
5434,3858
8273,5972
6151,6222
673,4016
3838,4205
6043,1386
6043,1387
259,469
4037,6235
5798,796
1322,292
3416,918
4102,4231
3574,4215
4124,3552
3318,3975
5950,4307
3331,3574
1330,8263
3943,988
766,1176
5813,374
3863,3478
3402,1390
952,3612
1023,1413
4038,6255
4105,4183
5433,3975
673,4081
8170,1050
5885,6349
608,6098
4101,4314
5892,6138
1308,785
4064,5460
4120,3728
6068,684
3325,3801
6222,4106
3693,588
3318,4023
4329,5449
4124,3612
3422,803
3968,261
1488,3416
673,4105
270,214
3858,3676
549,7951
428,3511
6308,1456
3723,7865
766,1228
1421,5500
6168,5802
821,7722
6167,5834
1226,3363
3326,3801
8267,6276
790,500
426,3594
5900,5934
3145,1228
5269,920
3841,4231
6230,3904
3274,5425
3863,3552
549,7985
3084,3127
3338,3449
4250,7951
5909,5675
8273,6113
517,795
5253,1438
698,3377
1236,3083
8602,4113
3318,4081
4249,7994
3858,3732
5449,3561
5449,3564
5797,974
5457,3325
6903,7650
7720,6906
549,8025
6079,435
1421,5572
5433,4081
5900,5996
428,3599
952,3740
1211,3904
3325,3906
1055,549
364,5588
6167,5924
5724,3274
5563,8263
500,1379
4124,3724
3145,1309
1041,998
416,3989
1415,5789
1316,668
1298,1226
698,3443
5636,6016
698,3449
1222,3594
5724,3296
436,3387
3954,825
1139,6176
1304,1070
698,3474
8027,5651
3863,3667
1409,6012
3353,3095
259,705
7768,5497
3338,3564
6155,6351
1228,3443
259,715
5655,5473
6326,1055
793,549
1055,619
4231,472
1150,5870
