sexual_orientation_1,sexual_orientation_2
1498,1883
6048,14048
6139,14048
251,14048
792,14048
1015,14048
7609,14048
8600,14048
5871,1883
1379,1883
5950,14048
5690,14048
4220,14048
6355,14048
3989,14048
3725,1883
4113,14048
3564,14048
546,1883
674,1883
6207,14048
8094,14048
3416,14048
1017,14048
3891,1883
6868,1883
3412,14048
753,14048
6187,1883
8272,14048
3693,14048
7661,14048
3363,1883
617,14048
3689,14048
8004,14048
7017,14048
5378,14048
5626,14048
3252,1883
5940,1883
3318,14048
3859,14048
4053,14048
5296,14048
5866,14048
7596,14048
3917,14048
998,14048
1089,1883
1378,14048
