containedby_1,containedby_2
10005,184
9479,108
11234,11235
10228,9659
9209,8488
10006,177
11067,51
10010,51
10904,5118
11431,5164
10536,135
9699,9700
9847,5112
10374,5172
10539,51
9482,51
9848,5095
11324,8494
11064,176
10011,51
10537,141
6675,5181
10377,5110
9178,9506
11066,141
11069,51
11599,12
9157,10172
10012,51
10376,5164
10538,141
10905,5150
9485,12
9701,9702
10213,10214
9271,6655
11432,5202
10537,184
11066,184
9659,11027
11386,6644
10906,5150
11068,127
10542,51
9851,5095
10538,184
9481,179
9322,5118
10014,51
9695,9935
10907,5145
9849,5169
10543,51
11282,9910
9486,51
10540,141
9190,9244
9321,5177
10013,110
198,9467
9850,5169
10544,51
11597,176
10541,141
11387,6691
11073,51
10199,10773
9721,9200
6680,5172
9488,51
10380,5164
11602,51
10741,10371
11436,5209
9323,5182
10546,37
11074,51
11072,125
11604,12
11294,9623
11331,8487
10730,10731
9489,51
10220,10167
10735,10586
11601,127
11440,5118
11762,11520
10015,141
11072,141
11778,11030
10803,8488
9324,5182
10545,108
10912,5112
10201,10770
9197,9137
9717,9403
9853,5182
9490,51
10274,8526
11769,11333
11250,11038
11439,5175
9328,5092
9326,5150
10019,51
11076,51
9325,5182
9487,170
9746,8526
10015,184
11332,8510
6682,5209
11075,99
9854,5182
9708,9709
9327,5164
11812,10058
9492,51
10018,141
10243,9553
10021,51
11442,5157
11393,6684
9493,51
10017,184
9682,10582
9330,5112
11444,5113
9491,117
11605,118
11079,51
10022,51
10020,108
9177,9859
9186,9590
10018,184
11287,9991
11445,5095
9222,8477
11260,10837
11078,108
11295,9761
9858,5156
11295,9760
10023,51
11080,51
11077,141
9698,10124
10915,5174
10914,5203
11446,5095
10785,9213
10552,51
10549,141
11238,11552
10739,10649
10916,5156
11443,5203
9329,5203
10548,190
11081,51
11077,184
11607,141
9494,108
10260,9137
11286,10096
10553,51
9333,5112
10389,5145
10549,184
10919,5095
9862,5095
10225,10226
10737,10738
9859,5200
11609,108
10261,9131
9495,108
9196,9371
10746,10473
9861,5152
9203,9166
6692,5090
10787,9213
9860,5182
9497,51
9719,9563
10811,8478
10192,11281
10917,5202
11083,51
9498,51
11082,117
10391,5150
9691,10467
11448,5154
10708,11720
10027,63
9496,141
10920,5150
11278,10436
9864,5112
10786,9297
9286,6647
10246,9656
10554,117
10028,35
9499,51
10025,141
10740,10741
11449,5156
10557,51
10029,35
9865,5112
9863,5175
11611,141
9500,51
9496,184
9199,9398
10395,5093
9501,51
10025,184
10556,109
11611,184
10253,9509
11252,11307
10027,132
10286,8488
11087,51
9337,5150
10030,51
6643,6744
11084,141
11085,117
6693,5203
10394,5156
10559,51
11612,176
11616,51
9338,5131
10287,8488
11284,10362
11450,5209
10923,5164
11084,184
10924,5154
10226,10407
9339,5131
11451,5194
11454,5110
11090,12
10032,51
9736,9228
10253,9586
11089,51
10741,10838
10558,127
10398,5093
9820,6644
9174,10288
11455,5118
10033,51
10396,5194
10925,5175
11456,5110
10926,5150
6697,5181
9505,51
9343,5093
10819,8488
11091,51
10034,51
11617,141
11317,9442
9700,10414
10227,10467
10291,8484
9340,5209
10562,92
11088,179
10929,5105
10035,51
10401,5090
6701,5110
10234,10279
10260,9468
9342,5170
11254,11435
9503,176
11617,184
10399,5187
10036,51
9344,5119
9871,5169
10561,170
9504,176
10037,51
10400,5187
9346,5095
10225,10614
10268,9278
10265,9371
11623,51
11460,5101
9507,117
9737,9371
11095,51
11459,5150
10038,51
10798,9254
10404,5095
10269,9278
9874,5150
9297,6655
11620,184
10563,184
11461,5110
10039,51
10403,5150
9195,9831
11096,51
10262,9518
10040,17
9203,9590
10565,141
9508,141
9877,5095
9347,5150
11094,141
10041,30
11463,5095
9349,5093
9216,9217
9728,9729
9202,9652
9512,51
9878,5090
9188,10096
10797,9371
10276,9137
10566,141
9509,141
10565,184
9193,9949
9508,184
11255,11569
9348,5150
10933,5177
9875,5203
10753,10754
10297,8513
11464,5105
10570,51
9509,184
11355,8492
11629,17
11625,141
10406,5164
9876,5203
11626,108
10408,5110
1585,90
10934,5187
10571,51
9510,176
9730,9740
10567,176
11097,141
10215,11101
10359,6644
11100,51
10407,5164
10573,12
10300,8475
9731,9732
6707,5175
6709,5118
10568,176
9511,175
10409,5107
11098,141
11466,5128
9353,5095
10279,9165
11630,51
11097,184
9220,9221
10046,12
10569,176
10279,9166
10042,141
11102,51
9516,61
9739,9532
9749,9235
10238,10459
10043,117
9514,141
10937,5181
10574,51
9733,9734
10278,9235
11627,184
9723,10050
9515,117
11359,8488
9707,10561
9513,184
10410,5157
9750,9235
9881,5175
10042,184
10938,5181
11101,127
10572,141
9884,5095
1,170
9514,184
10940,5136
11419,6679
9883,5150
9710,10514
9519,51
9247,8484
11104,63
10247,10248
10572,184
10411,5175
10413,5112
11468,5175
9354,5175
9882,5187
10048,51
10045,141
10575,108
11469,5156
10749,11101
9517,141
9224,9225
11470,5136
11272,11273
10412,5175
10305,8488
10049,51
10414,5119
9712,10509
11104,132
9518,141
10045,191
9517,184
6715,5124
9885,5169
11301,10426
9520,110
9523,12
11632,176
11635,90
9518,184
10047,179
11108,51
11318,9940
178,11218
11633,176
10792,9865
10944,5164
11473,5150
9886,5209
9521,141
10578,141
10262,9940
10945,5156
9524,51
11818,10860
10252,10253
10807,9442
11636,127
10053,51
9781,8476
10251,10304
9522,141
9888,5181
9887,5209
10578,184
11476,5107
9,141
9521,191
6718,5164
9362,5113
6720,5105
11641,12
9749,9514
10580,132
11427,6644
10583,51
11640,51
9232,9165
9232,9166
10949,5090
11639,78
10278,9514
11328,9732
11110,108
11823,10773
9522,184
9721,10392
11794,11665
9230,9231
9742,9743
