suborganizationOf_1,suborganizationOf_2
1684,553
1890,124
2101,227
2575,38
3049,227
3637,414
4233,447
4538,130
5183,56
5289,414
5720,269
6257,110
6262,106
7417,414
8037,124
26,8922
9108,302
6299,26
10497,553
10960,106
11017,414
2984,269
11199,447
11332,110
12031,56
5074,26
12533,106
13063,110
13184,553
11034,26
13259,124
13329,553
13355,56
13498,573
13634,130
106,8922
13902,227
13965,553
13984,447
14136,26
14336,227
14420,106
14512,38
12803,26
14778,124
14819,106
10552,26
15119,269
15432,38
16258,553
12625,26
16478,302
16558,302
16608,573
16677,38
16702,447
16763,110
16955,414
2799,197
13815,26
17127,56
17433,38
17527,130
17538,447
269,8922
7431,197
18135,106
18139,38
18145,227
15581,26
18236,414
18554,197
18770,302
18776,38
18841,124
18888,106
19119,106
19223,110
19289,227
19359,573
19409,38
19452,447
19561,553
19608,447
19686,38
19623,553
20048,56
573,8922
20121,130
20123,110
20170,106
20263,110
15965,302
20477,26
20523,106
20554,553
302,8922
20613,56
20736,269
20897,38
21019,110
19526,26
21095,130
21146,197
21186,227
21219,130
21257,414
3989,56
21384,38
21544,124
21695,269
38,8922
20593,26
21903,130
21913,38
21942,106
1517,197
22144,302
22148,26
22156,26
13264,227
56,8922
130,8922
22334,302
22339,553
22363,269
21260,26
197,8922
2054,414
22530,269
22596,227
17447,573
227,8922
13921,110
22821,302
17402,227
21810,269
15159,110
22963,38
1523,573
1180,573
20430,302
1785,573
21986,269
414,8922
17846,227
23148,106
23153,553
23178,110
6824,197
110,8922
12989,56
19497,197
23325,106
23358,553
23550,26
23659,447
22121,269
6941,227
20808,553
23773,56
23805,124
21121,553
12150,227
23942,26
20428,414
24091,56
24106,26
23226,26
24148,130
14665,414
447,8922
14055,447
24277,302
13500,130
24360,302
20926,414
14110,130
24399,130
14898,197
24571,124
21281,414
21635,227
124,8922
14803,573
18126,56
12586,110
21625,573
13548,110
19745,38
21086,414
9031,38
17690,414
23269,553
18031,573
20649,110
22515,197
24446,26
7649,269
11176,38
18600,414
24582,269
21425,227
25403,124
25408,302
553,8922
25425,302
9485,269
23088,414
17033,227
22291,227
19342,106
18127,124
23931,553
20332,56
25742,553
19515,56
3062,106
18572,573
8972,269
25903,553
21438,38
5057,106
18371,227
19704,447
10778,106
7180,106
20561,130
18787,227
19404,573
19988,447
23959,553
16058,38
19062,227
24244,197
18751,110
19531,447
21075,130
21193,197
