name_1,name_2
17,18
23,24
35,36
45,46
62,63
72,73
74,75
85,86
87,88
90,91
94,95
96,97
111,112
145,146
151,152
153,154
166,167
179,180
199,91
202,203
204,205
210,211
222,223
224,225
248,249
275,276
277,278
299,300
316,317
327,328
329,330
342,343
353,354
355,356
358,359
368,369
379,225
391,211
396,397
406,407
416,417
427,428
443,36
452,453
466,467
470,249
493,91
509,510
515,516
522,523
535,211
542,543
551,152
556,557
559,428
583,584
615,616
623,624
645,646
656,657
660,661
676,211
678,523
682,683
684,24
740,741
748,154
757,523
765,766
784,785
824,407
840,616
847,91
856,857
866,867
868,146
869,523
888,889
896,897
902,903
921,407
952,953
1013,1014
1020,1021
1045,1046
664,1075
1080,1081
1093,1094
1098,1099
1110,1111
1124,1125
1129,1130
1144,1145
1146,91
1149,317
1157,1130
1170,1171
1187,1188
1218,1130
1223,1224
1225,249
1236,1237
1243,1244
1248,1249
1259,1260
1273,543
1283,1284
935,1294
1299,1300
1313,88
1316,91
1317,225
1331,91
1339,1340
1341,1342
1354,953
1356,225
1381,1382
1411,1412
1428,1429
1430,225
1434,1435
1449,1021
1451,1452
1462,1463
1464,1465
1476,1477
1480,225
1481,1482
1487,1488
1495,1496
1520,1521
1524,1525
1529,1530
1531,1532
1533,1534
1535,1536
1538,1539
1540,1541
1561,1562
1568,1569
1571,91
1574,1575
1585,91
1598,73
1603,1604
1616,1617
1633,1634
1641,1260
1648,154
1511,1653
1657,1658
1665,1666
403,1668
1687,1634
1709,154
231,1716
1719,1720
1722,1723
157,1724
1727,407
1739,1740
1760,1761
255,1762
1770,407
1781,903
1802,97
1805,1806
1829,1171
1831,36
1837,1838
1852,249
1853,249
1047,1171
1868,889
1874,1875
1889,91
1891,36
1894,1895
1900,1901
1906,1907
1910,36
1921,249
1930,1931
1935,97
1936,523
1955,211
1967,1968
1972,249
1979,225
1986,97
1994,1995
2001,2002
2003,2004
2007,211
2011,523
2014,2015
2016,2017
2020,897
2021,2022
1058,1569
2027,2028
2047,91
2053,1521
2058,407
2061,36
2063,2064
2071,2072
2076,2002
2083,225
2093,225
1777,2097
2099,146
2103,211
2117,2118
2122,2123
2131,523
2157,154
2160,2161
2162,1130
2167,249
528,2171
2172,1171
2217,146
2232,1188
2233,2234
2237,36
2246,2247
2255,97
2262,225
2265,1536
2267,2268
2269,2270
2278,97
2279,2280
2281,359
2284,407
2290,211
2291,91
2292,146
2295,2296
2297,2298
2310,2311
2318,2319
2329,2330
2337,2338
2342,1171
996,2344
2349,428
2366,91
2367,2368
2369,2370
2372,1130
2375,2376
2383,2384
2389,1130
2395,225
2406,211
2407,523
2408,225
2419,1130
2420,2421
2424,2425
2434,2435
2445,2446
2470,2344
2480,36
2490,1260
2499,211
2506,91
1555,2507
2508,249
2528,2529
2536,2537
2554,428
2564,2565
2571,249
2579,2580
2586,225
2590,683
2593,2594
2603,2604
2609,2610
2614,2118
2626,75
2629,407
2653,2654
2657,2658
2669,249
2698,211
2702,97
2705,2706
2716,2717
2723,1130
2727,225
2733,2734
2736,2737
2738,146
2739,2740
2746,1284
2751,2752
2538,359
2760,2761
2762,91
2767,407
2777,407
2782,2783
2795,2796
2801,97
2804,2805
2807,1171
2831,36
2846,73
2850,683
2864,2865
2881,1895
2884,2885
1086,2888
2322,2890
2550,225
2894,2895
2903,1435
2922,146
2936,2937
2940,2941
2946,154
2947,2805
2967,523
2993,2994
3014,36
718,3018
3031,146
1266,3048
3056,2565
3063,1931
3065,36
3069,36
3084,154
3088,3089
3090,3091
3092,3093
3099,3100
3102,2740
3112,3113
3115,97
3116,3117
3119,3120
3148,91
3155,3156
3180,3181
2779,91
3204,1130
2077,2658
3218,3219
3205,3221
3224,3225
3251,3252
2923,3256
3257,2338
3263,3264
2197,3267
3286,3287
3308,91
3315,249
2082,3316
3326,1224
2040,3334
3338,3120
3344,3345
3349,1342
3352,3353
3368,3369
3372,3373
3379,97
3382,205
1228,3383
3385,3386
3394,3395
3411,91
3434,146
3444,3445
3449,3450
3459,523
3461,3462
3046,3345
3468,91
3473,97
930,3478
3486,3487
3491,3492
3499,3500
264,3503
3515,3516
3526,3527
3560,3561
3568,97
3572,3573
3574,3575
3576,3577
3583,407
3590,3591
3593,428
2640,1534
3615,97
3629,211
3643,3644
3655,3656
3657,97
3661,1525
3670,1838
3672,3492
3674,2017
3675,225
3692,3445
3695,3696
3702,73
3703,467
3707,857
3712,1075
3730,3731
3734,2752
3739,211
3755,3756
3764,3765
3766,1171
3768,1130
3774,3775
1607,3786
3680,211
3787,3788
3791,3792
3793,146
3795,1130
3804,557
3805,3492
3808,36
2644,2994
2159,3821
3837,407
917,3856
3862,146
3896,36
3898,1130
3915,2017
3783,3919
1320,3923
3933,3934
3945,3946
3948,3949
3953,3954
3963,356
3965,225
3971,205
3978,225
3998,3287
3999,1435
1061,4002
4003,523
4013,4014
3551,4016
4026,154
4043,2435
4055,1284
1718,4062
4063,1130
2815,4064
4065,4066
4067,4068
4069,1382
4076,1171
4084,4085
4088,146
4117,4118
4132,4133
3051,1171
4138,211
4147,4148
4156,91
115,4158
290,4159
4160,4161
4164,1260
4172,4173
4178,4179
4188,73
4189,356
459,4191
1673,4192
4195,154
4211,683
2174,4219
4222,4223
4224,1171
1074,2565
4228,3500
4229,4230
4237,4238
4248,1968
4265,4266
4290,523
4293,4294
4298,36
4302,154
4327,4328
4335,36
4336,1477
2429,1525
4354,211
2110,4363
4365,4366
4385,1382
4388,97
2150,4389
4393,211
3356,1171
4400,1653
4403,146
4406,4407
4413,97
4436,146
4450,152
4453,4454
4456,225
4457,3353
4464,4465
4481,4482
4485,97
4496,4497
4504,4505
4510,3445
4511,4512
4513,4514
4516,4517
2843,1130
4546,73
4547,97
4556,407
1454,97
3464,112
4575,4576
501,4589
4590,4591
4593,4594
4596,428
4602,4603
4606,3492
4608,146
4614,4615
4617,4618
1264,4619
855,36
2475,4638
4639,88
4640,146
4641,4642
4649,4650
4662,211
4673,428
4677,249
4678,1171
2361,73
2648,3018
4694,2298
4697,2435
4705,428
4717,18
4721,36
4722,97
4736,91
4752,3775
4753,146
4755,3919
4777,1536
3519,73
4779,4780
4783,4784
4788,557
4798,91
4799,146
4800,4801
4803,4804
4806,523
4383,1075
728,4844
4853,407
4862,4863
4869,4870
4873,428
4898,4899
4902,4903
4908,146
4916,146
3914,4650
4942,4943
4945,4946
4947,154
4949,146
4950,4951
1485,4952
4966,4967
4581,4977
4980,4981
4982,4983
4988,4989
4990,97
2205,4993
5000,523
5003,2580
5008,1130
5011,5012
3522,5025
5029,3353
5042,5043
703,36
5058,5059
5060,2028
5065,356
1241,211
5072,4993
5088,1075
5097,428
4242,73
5109,2118
5114,225
5124,5125
5129,249
283,5130
5145,5146
2073,4603
5147,1130
5159,523
3453,3225
5163,36
5165,5166
5169,2658
5185,5186
5188,3786
813,4219
5209,5210
5221,5222
5224,5225
5227,2330
5237,36
5239,4591
5247,5248
4319,5249
1247,5251
5255,5256
2833,5261
5262,428
5267,5268
5275,146
5283,407
5291,3500
5292,2097
5294,5295
5297,4223
5300,3345
5315,5316
5318,683
5335,4066
5339,5340
5345,5346
5350,91
5363,5364
5367,5368
5377,4482
4632,211
1159,328
5384,2268
414,5390
5391,154
5394,3492
5395,343
5405,5406
5408,407
4351,5410
5411,2435
3216,5059
2136,5457
5463,36
4044,5470
4212,5471
589,5472
1211,4266
5387,5474
4348,4844
5484,3731
5488,2888
5497,5498
5500,73
5505,5506
5513,889
5519,73
5541,5542
5549,5550
5551,407
5555,523
5559,5560
5561,300
3408,3503
5583,36
5587,1130
2615,5597
5606,1260
413,428
5610,5611
5624,1021
5625,5626
4099,5631
1715,4191
5640,249
5641,3462
5643,46
5649,5650
5658,97
5659,407
5666,3492
5609,5669
5286,5671
1988,5673
720,112
5682,5683
3405,3373
5691,1488
5705,36
5707,154
5710,1130
