telephone_1,telephone_2
2,3
57,3
71,3
118,3
194,3
195,3
198,3
264,3
272,3
279,3
308,3
339,3
357,3
380,3
383,3
386,3
436,3
441,3
442,3
444,3
463,3
489,3
524,3
541,3
555,3
602,3
614,3
647,3
675,3
677,3
686,3
723,3
219,3
781,3
816,3
830,3
835,3
929,3
951,3
991,3
1038,3
1039,3
1053,3
1058,3
1059,3
438,3
1079,3
1121,3
1128,3
1150,3
1154,3
1172,3
1189,3
1203,3
1216,3
1217,3
1235,3
1245,3
1276,3
1289,3
1295,3
1310,3
1315,3
1378,3
1387,3
1403,3
882,3
1444,3
1499,3
1528,3
1552,3
1553,3
1565,3
1643,3
1659,3
1700,3
1702,3
1708,3
1748,3
1763,3
1768,3
1152,3
1792,3
1797,3
1798,3
1841,3
1842,3
1844,3
1862,3
1869,3
1871,3
1873,3
1902,3
1860,3
1940,3
887,3
943,3
1973,3
1981,3
2035,3
2036,3
2049,3
2065,3
2070,3
2102,3
2105,3
2126,3
2145,3
2146,3
2158,3
2168,3
2170,3
2183,3
2194,3
2216,3
2238,3
2243,3
119,3
2272,3
1756,3
2285,3
2313,3
2360,3
2438,3
2443,3
2444,3
2448,3
2450,3
2458,3
2483,3
2491,3
2526,3
2530,3
2548,3
2551,3
1635,3
2563,3
2587,3
2078,3
2606,3
2612,3
1717,3
2632,3
2644,3
2668,3
2687,3
2688,3
1093,3
2704,3
2707,3
1133,3
2735,3
2741,3
2781,3
2785,3
2798,3
2803,3
271,3
2862,3
2872,3
2909,3
2914,3
2929,3
2935,3
2950,3
2983,3
2568,3
3022,3
3026,3
3045,3
599,3
3053,3
3064,3
3067,3
3085,3
3087,3
3098,3
3110,3
2618,3
3123,3
3134,3
3147,3
2773,3
3164,3
3173,3
3175,3
3176,3
3179,3
2834,3
3207,3
3212,3
3223,3
260,3
3301,3
3304,3
3335,3
3343,3
3350,3
3354,3
3355,3
3360,3
2786,3
3367,3
3407,3
3408,3
3430,3
3476,3
3477,3
376,3
3496,3
3513,3
3524,3
3586,3
3602,3
3614,3
3622,3
1345,3
1816,3
3706,3
3729,3
1389,3
3762,3
1611,3
3780,3
3789,3
3809,3
3819,3
3831,3
2536,3
1963,3
3859,3
536,3
3914,3
3926,3
844,3
3940,3
3950,3
690,3
3966,3
3974,3
4015,3
3389,3
4027,3
4028,3
2894,3
3983,3
4115,3
4121,3
4122,3
4127,3
1886,3
4146,3
4193,3
4216,3
3532,3
4234,3
2377,3
4250,3
4253,3
4254,3
4268,3
1722,3
1163,3
4311,3
2621,3
4329,3
2804,3
4368,3
4377,3
4387,3
2415,3
4412,3
4416,3
4429,3
2947,3
4451,3
4466,3
640,3
4493,3
4494,3
3140,3
4534,3
4548,3
4557,3
1646,3
4562,3
4564,3
4022,3
4570,3
4581,3
4583,3
320,3
4613,3
3020,3
4620,3
4643,3
4668,3
4680,3
4682,3
178,3
4707,3
4709,3
4711,3
4739,3
1540,3
4768,3
4771,3
4776,3
4795,3
4796,3
4797,3
4600,3
4810,3
4820,3
4826,3
4828,3
4839,3
4845,3
4852,3
4888,3
4896,3
4910,3
4914,3
4922,3
4941,3
4944,3
4956,3
4749,3
5007,3
5009,3
4644,3
5038,3
5045,3
5046,3
5069,3
5070,3
5080,3
5086,3
5089,3
5093,3
5098,3
5107,3
5113,3
5151,3
5152,3
5177,3
5182,3
5211,3
5223,3
5231,3
4365,3
5298,3
5305,3
5320,3
5337,3
5373,3
4355,3
139,3
5393,3
5396,3
773,3
3857,3
5421,3
471,3
5468,3
5487,3
4380,3
5514,3
5520,3
1676,3
5562,3
5565,3
5574,3
5590,3
5617,3
5618,3
5630,3
5633,3
5655,3
5663,3
5670,3
5690,3
2705,3
5708,3
5709,3
1863,3
5738,3
5756,3
5179,3
5767,3
5814,3
5829,3
5832,3
5653,3
5848,3
2067,3
5891,3
5930,3
5242,3
5994,3
6009,3
3489,3
6022,3
5929,3
6064,3
6065,3
836,3
6105,3
6118,3
6122,3
6155,3
6168,3
6172,3
6176,3
6177,3
6178,3
6181,3
6224,3
6235,3
6245,3
6260,3
5508,3
5240,3
6284,3
4477,3
6345,3
6351,3
6353,3
6357,3
4441,3
6385,3
6401,3
6406,3
6424,3
6437,3
6459,3
5333,3
3807,3
1550,3
6499,3
6502,3
1744,3
6514,3
4872,3
6518,3
6521,3
6522,3
6587,3
334,3
1056,3
6616,3
6623,3
6634,3
6642,3
6645,3
6661,3
6665,3
170,3
2154,3
3268,3
6753,3
6761,3
6762,3
6764,3
3226,3
6676,3
6312,3
4865,3
6830,3
1568,3
4425,3
6873,3
6883,3
985,3
6909,3
1166,3
6917,3
6919,3
896,3
6947,3
6957,3
6968,3
6970,3
6971,3
6979,3
6986,3
4029,3
7008,3
1414,3
7027,3
4593,3
7072,3
7081,3
7083,3
3594,3
7099,3
7112,3
7124,3
7125,3
3258,3
7131,3
7141,3
1606,3
2676,3
5625,3
423,3
7200,3
7212,3
7227,3
7228,3
2307,3
7235,3
2100,3
6229,3
6930,3
7264,3
2626,3
7278,3
7303,3
4484,3
7307,3
7315,3
7326,3
7354,3
7356,3
3160,3
6225,3
4381,3
4125,3
7406,3
4905,3
7436,3
6140,3
7454,3
5290,3
7478,3
4183,3
1293,3
7501,3
3514,3
7506,3
3515,3
3667,3
7515,3
7518,3
7519,3
7527,3
2230,3
1467,3
1507,3
4069,3
7573,3
7586,3
7597,3
2478,3
5543,3
7641,3
491,3
7038,3
7673,3
7682,3
5405,3
7692,3
3759,3
7697,3
7711,3
7712,3
7722,3
7723,3
5913,3
5700,3
7738,3
7750,3
4385,3
2591,3
7774,3
2362,3
7779,3
7782,3
4686,3
7794,3
2667,3
213,3
3948,3
5072,3
3554,3
7828,3
4963,3
7849,3
6640,3
7757,3
7884,3
2320,3
4421,3
7909,3
7917,3
7925,3
7937,3
5276,3
7944,3
2555,3
5178,3
7067,3
6672,3
7965,3
7971,3
7973,3
7991,3
5713,3
8003,3
8042,3
1036,3
7388,3
822,3
8078,3
8107,3
8160,3
4038,3
6492,3
8187,3
7480,3
8215,3
8256,3
8268,3
8269,3
8275,3
8276,3
8284,3
8285,3
4141,3
3292,3
8332,3
8338,3
728,3
3630,3
8359,3
8399,3
8412,3
7858,3
8452,3
8458,3
8482,3
8484,3
4809,3
8494,3
8503,3
8504,3
8513,3
2429,3
8038,3
8539,3
8555,3
1823,3
8569,3
5956,3
8578,3
1095,3
8599,3
8614,3
8636,3
3939,3
3804,3
8658,3
6113,3
3195,3
4430,3
1919,3
2689,3
8532,3
8691,3
8694,3
8713,3
8720,3
8730,3
8732,3
7339,3
8774,3
31,3
4598,3
8781,3
8782,3
4396,3
4348,3
3240,3
8796,3
8807,3
8808,3
5568,3
8827,3
8842,3
8850,3
8855,3
8698,3
581,3
8876,3
8880,3
8926,3
8946,3
8963,3
8976,3
2148,3
8999,3
9038,3
1428,3
3241,3
9077,3
9078,3
147,3
5646,3
9092,3
1072,3
9097,3
6781,3
9104,3
1308,3
8919,3
9148,3
9154,3
6841,3
8274,3
9165,3
9171,3
9172,3
8887,3
9174,3
1487,3
7403,3
9183,3
9209,3
4070,3
9217,3
9223,3
9227,3
9230,3
9239,3
9241,3
9249,3
9250,3
3697,3
526,3
9280,3
8927,3
9302,3
396,3
7543,3
9367,3
