researchInterest_1,researchInterest_2
314,315
373,374
989,990
694,1175
1200,1175
2222,2866
3066,374
3183,315
1637,3556
3726,3727
3843,3844
2960,4217
4522,4523
2100,4687
5277,2866
191,2866
4961,5820
705,4217
1128,5987
4110,6041
178,6328
3045,4687
6454,6455
1982,6844
6853,6854
3960,6455
1845,6989
305,6455
1712,4523
935,7142
324,7149
4568,3844
6650,6041
52,3556
472,7668
6927,2866
8116,8117
186,2866
296,315
7653,8117
4257,8700
5993,3727
7444,7668
6525,9159
4671,315
634,9159
1212,6854
9794,8700
5697,6455
562,6041
6740,1175
6308,6455
10284,4523
295,10395
10422,990
1413,4687
8304,10553
597,7142
1689,6854
4187,6455
2553,10553
3801,4523
7862,5820
1093,315
3008,4217
5429,1175
1714,4523
1068,3727
127,4687
550,6989
4537,6989
3927,10395
2599,5987
8457,374
3645,5987
5432,6041
1809,6854
4137,990
4865,315
4301,9159
1725,374
13789,7668
1911,7668
3509,10553
7503,4217
2112,14159
132,374
6075,7142
1308,5987
2551,3556
7459,6455
4440,7149
7114,9159
6611,6854
117,6844
15059,7149
1780,6844
713,6328
4468,6455
2046,6328
3482,10395
3274,5820
3333,1175
1851,990
6808,374
7287,1175
2770,6328
2573,7668
12545,3556
3480,5820
3667,9159
8575,6844
4070,4523
22,5820
6738,3556
6494,990
184,5987
12481,315
4885,6328
12518,6455
2230,7668
6452,10553
2459,6455
3882,6041
187,990
11025,14159
6961,374
3139,4523
1554,5987
7022,3727
8143,14159
13977,17750
1234,8700
393,8117
10275,17750
6060,6328
1676,6989
3235,14159
2454,2866
176,3556
267,3844
1019,374
9332,4217
2646,3727
2364,17750
2174,315
5594,5820
2665,2866
3773,6854
3758,14159
2154,4687
3779,8117
136,315
5888,17750
8348,5987
2966,374
1860,4687
4508,1175
7898,374
2012,19162
641,2866
7281,990
7356,4217
2049,5987
1330,6854
8270,6989
4100,3556
8659,10553
10831,4687
2149,990
3005,6989
773,6854
3004,4687
1266,5820
1138,19162
2900,3556
2191,9159
98,9159
7379,1175
2510,4687
14175,3844
4786,6989
2202,6844
864,6854
501,6328
3872,7142
11250,1175
1953,14159
636,10395
3477,990
7255,3556
7935,6455
1490,8117
4364,8700
607,2866
5764,5987
7049,1175
3288,2866
5482,6854
1905,4687
6981,3556
2544,6854
2512,19162
2667,5987
282,1175
2227,17750
1281,17750
733,17750
6080,7142
263,3844
10914,7142
7494,7149
1083,8117
9270,10395
399,3727
7975,6989
1545,1175
16,14159
7635,6989
2418,7668
2730,10553
1819,14159
4129,4523
5728,1175
2926,374
6920,6455
2274,2866
156,10395
8189,6455
2213,5987
7042,4217
10529,10395
277,8700
4348,3727
3535,315
842,6854
894,8700
1919,6989
7293,8117
7514,8700
1526,3727
3722,990
4499,6041
4155,7149
6673,6989
2676,2866
3877,7149
1863,6989
5423,14159
380,3844
3754,6328
3002,3556
14868,6041
4809,2866
307,10395
258,6041
9658,8117
12194,315
1177,6041
4271,10395
3729,17750
3105,2866
1443,14159
10737,1175
671,14159
7409,8700
4794,2866
3619,6455
9091,8700
524,7142
534,10553
6134,19162
1185,6989
2962,7142
17010,5820
1423,14159
7767,5987
6773,10395
3748,6328
1918,7142
2673,8117
5938,2866
2969,6844
6629,1175
8778,6854
5136,9159
3260,19162
5978,6989
2516,6854
1592,4523
614,8700
6310,7149
2439,4687
1836,6455
1916,10395
8277,6844
1747,315
949,7149
11137,10395
1090,374
5424,3556
1587,10395
5376,990
3038,14159
964,5820
5765,5820
5804,374
1056,8700
1794,5987
2757,3844
5084,6041
423,8700
320,8117
9832,6328
3484,4687
6006,6989
6760,315
108,3844
5061,374
3182,19162
4545,3727
3520,374
6212,8117
1339,14159
6094,10553
813,3844
6462,3556
689,10553
625,990
5344,17750
4264,7668
3397,2866
3714,315
10638,10553
2003,4523
7271,10395
1798,2866
984,7149
1293,1175
1743,19162
1652,3556
452,374
3137,14159
4611,1175
10253,6041
968,3556
30,6989
669,3556
4884,4523
7238,8117
1606,10395
455,3727
2468,7149
742,6455
1504,3556
11069,315
3733,17750
5021,3727
2133,5987
5004,3556
2140,17750
8515,6854
2596,7149
5524,8700
6259,19162
14227,315
783,3556
8139,6041
3314,2866
1772,2866
2978,5820
1957,10395
1409,4523
4921,374
9966,6854
8225,990
3849,4217
7275,7668
2975,10553
3743,3844
3427,4523
144,6989
1909,8700
5197,8117
4059,10553
795,6844
9556,9159
2838,1175
2340,9159
1988,315
4325,8700
4773,2866
2568,4523
6488,6844
247,1175
9750,4217
286,990
962,14159
4040,10553
627,9159
13183,6989
15027,990
1402,9159
959,6455
1815,6844
1002,10395
5724,2866
1679,10395
3068,9159
8014,6041
1202,3844
2560,10395
5409,990
3305,8700
882,1175
4511,5987
3146,6455
662,4523
6112,3844
7699,8700
6620,4687
728,7142
102,6455
3292,5820
1232,4217
4598,5820
3013,6041
820,10395
27,8700
7054,7668
3241,374
3952,4523
7347,5987
5792,990
4701,3556
3254,7668
2687,6328
1207,6041
4244,19162
4167,5820
8897,6989
9851,6328
7162,6455
4038,10553
5264,17750
491,5820
2303,4687
