memberof_1,memberof_2
25,26
37,38
55,56
105,106
109,110
123,124
129,130
137,26
196,197
212,110
226,227
256,227
265,38
268,269
313,130
332,227
352,56
375,56
384,197
385,130
412,302
365,414
426,56
429,414
437,130
445,106
446,447
456,197
464,197
468,124
469,269
480,26
484,197
525,106
552,553
558,414
564,130
572,573
596,124
601,130
637,269
640,110
679,130
699,269
700,56
734,269
744,26
747,447
777,302
831,269
841,573
865,38
878,197
891,227
913,302
933,269
947,106
950,573
960,130
980,26
996,414
1003,124
1025,26
1031,302
1073,553
1076,38
1088,124
1119,197
1155,26
1184,227
1193,573
478,38
1209,302
1252,56
1288,227
1297,227
1298,124
1322,269
1332,106
1338,56
1350,110
1355,38
1386,553
1388,110
1438,110
1469,269
1502,302
1557,447
1572,130
60,573
1623,269
1630,302
1650,56
1690,106
1706,106
1707,197
1715,227
1731,573
1753,414
1817,447
1827,130
1857,130
1859,447
1880,106
1912,553
1985,197
160,130
2081,130
89,414
2114,124
1360,130
2144,197
2152,106
2205,227
2224,302
2254,302
2266,269
2323,197
2336,124
2356,124
2371,227
1395,110
2390,573
2426,56
2428,227
2455,447
2456,447
2469,447
2475,553
2487,106
2492,227
2502,124
273,197
2540,106
2567,130
942,110
2631,130
2637,38
2661,227
1476,573
2693,106
2696,447
2703,447
2267,269
2806,302
2808,56
2811,26
2871,110
2873,110
2942,124
2956,56
1786,56
1296,130
3015,553
3025,227
2749,553
3040,26
3070,302
2485,56
3086,110
3106,573
3114,414
608,124
2775,56
3153,56
3178,553
3191,56
3194,26
3197,106
1732,553
3248,38
3294,56
3302,130
3319,26
3323,130
3329,110
3331,38
3359,56
3071,227
3421,130
3448,106
622,447
2040,227
3488,130
520,573
3525,26
3545,110
3549,227
3557,269
3558,130
3559,414
2930,38
3563,130
3567,269
3596,110
3600,106
3604,56
638,130
1830,414
3669,26
3684,38
3711,110
3717,130
3728,38
970,447
3790,227
2082,414
3852,110
3874,124
3875,197
3885,197
3888,130
3486,110
3921,130
3935,447
3964,553
4029,110
4049,106
1346,447
4061,553
4104,553
4119,130
4123,26
3681,553
4208,106
4210,110
4218,106
4221,553
4240,56
1573,447
3059,26
4276,130
4296,56
4319,26
3720,130
4346,124
4367,38
1710,447
4386,26
4392,110
4408,106
4427,414
4428,414
2817,26
4340,197
1854,227
3453,106
4484,110
1026,227
4492,26
4495,26
4518,26
4531,124
4553,106
4563,269
1226,302
4565,197
4597,197
2856,302
4635,553
4647,106
2062,447
2014,130
4692,573
4720,269
4733,302
4751,26
4805,447
4855,553
3776,573
4859,38
643,447
4866,269
4868,197
2355,447
4880,130
4881,414
4887,106
4893,124
4913,414
4924,227
4927,227
4953,110
4973,197
311,197
5013,227
5014,106
494,302
5040,197
5041,106
4032,130
2645,447
5139,269
5161,302
5173,56
5200,447
5201,130
5213,130
5234,197
1416,124
5276,110
5293,269
2938,447
3077,56
5328,269
5330,269
5347,106
5397,447
5407,269
858,56
5430,573
5456,130
3060,106
5501,130
5507,106
5510,302
5512,26
5516,124
5517,302
5534,414
5566,106
2841,269
5609,130
5644,269
3231,38
5662,124
5672,573
5686,106
5742,197
5760,130
2943,130
5811,110
5815,573
3592,447
5846,124
5854,26
5855,414
5859,110
3993,38
4665,56
5955,130
698,26
3740,447
5975,38
5983,227
6015,124
6036,227
4019,553
5037,573
6067,26
6097,302
4900,227
3916,447
6153,227
6160,130
6164,56
6171,414
6180,130
6194,227
3387,302
6213,130
1440,110
6236,302
6240,269
1765,130
6251,38
6261,447
6270,56
6331,38
6346,130
6370,124
6376,38
4243,447
6030,553
6403,130
6414,269
6428,56
107,414
6434,110
6435,197
585,124
6458,110
202,110
6509,227
6546,38
4491,447
6618,197
6651,106
6657,573
6660,26
6663,124
6664,124
6675,38
4048,110
2025,447
6705,26
6709,227
1363,56
5104,269
6744,130
6752,26
4689,447
6759,269
113,124
6778,110
6788,302
172,124
6831,130
234,124
6835,414
4480,197
6847,302
6851,130
6865,110
496,269
4802,447
6889,38
4819,447
6901,302
1900,124
6913,26
4882,447
6942,573
6944,197
6948,110
6911,38
6990,124
2609,573
2197,573
279,56
7031,553
7046,553
7051,124
2185,110
693,124
5024,106
2543,414
7077,302
39,553
4007,269
5056,553
5876,414
2059,106
804,124
7140,573
7143,553
7156,227
1160,302
7183,38
969,124
7229,38
7239,302
7242,302
7244,447
7301,227
7321,553
7341,302
2383,124
7344,110
6635,269
7359,227
7360,26
4051,302
7419,302
7420,227
3840,197
7456,302
7463,38
7489,38
1820,130
5060,227
5049,302
7551,302
7560,227
7569,447
7570,302
2659,26
7599,553
6758,573
7607,130
4539,573
2117,130
7214,38
7650,130
7672,227
2351,197
3679,227
1782,124
5107,110
7713,110
7322,38
4251,414
7737,269
7739,56
7776,56
5287,269
6530,38
7792,553
7805,553
7236,197
4081,130
4569,26
7818,130
7821,124
7847,106
7853,553
7860,197
5606,553
6073,447
3344,106
7895,124
7905,302
7908,227
7914,26
6188,197
3006,26
2264,447
7906,26
4878,573
5926,110
6298,447
6319,447
8049,26
4352,227
2032,110
1501,124
8087,553
2016,110
1106,227
8121,110
5206,227
5887,269
8155,110
2602,124
8156,110
8161,197
2613,124
2662,124
8200,124
8205,106
8207,130
8209,106
8212,26
2334,26
6859,26
7487,26
8254,56
8262,553
2780,553
6671,447
8323,302
6680,447
3802,124
8355,553
8358,302
8366,130
3517,26
8403,110
3128,124
4785,269
3967,38
3154,124
4605,197
1102,26
8489,302
2670,56
3763,56
8546,106
6933,447
8591,573
5800,553
7425,573
8628,26
7118,124
8642,573
5087,227
1126,269
5267,130
6681,269
8671,38
8675,106
8681,106
6554,447
465,447
8690,197
8693,124
1135,124
8701,553
7091,447
8736,414
8005,573
8747,227
7134,447
8763,414
2078,38
6397,553
8780,56
7169,447
5319,227
8802,56
8804,414
8810,553
6665,110
7219,447
8821,130
8826,130
4648,110
8294,414
8839,227
4803,106
8854,302
4333,227
8863,553
8868,197
8871,553
8883,106
5981,110
3418,227
5636,38
5403,130
5737,130
8981,56
8983,227
9001,56
1262,26
6127,130
6450,130
4145,124
9055,124
9060,130
2463,573
8086,414
4067,56
1776,130
4281,124
310,26
9128,573
8413,573
7590,447
2420,302
9195,414
9200,302
9212,124
9235,106
9248,414
4483,56
9269,414
6481,130
4144,227
9285,573
7959,38
4180,227
9292,106
1112,124
4060,553
9310,573
6209,106
9335,110
8318,447
9339,553
9346,269
9356,302
9388,573
1405,553
9420,197
9432,227
3751,553
9449,130
8260,124
758,130
9457,414
5369,106
5714,197
9483,110
9491,447
9498,124
4816,124
9510,414
9511,227
9515,26
9519,38
9534,38
4099,110
4915,124
7316,38
9559,26
