teacherof_1,teacherof_2
78,79
98,99
127,128
625,626
641,642
662,663
713,714
728,729
795,796
1016,1017
286,1070
1281,1282
156,1372
1526,1527
1554,1555
1389,1662
1845,65
1911,1183
1919,1920
820,1951
1982,1983
1905,2010
2012,2013
2142,2143
2327,2328
2510,2511
2512,2513
2544,1186
2584,2585
2516,1472
2646,2647
524,2692
1185,2860
3265,2505
3276,3277
3320,3321
178,3404
2418,3413
3008,3536
671,3569
1845,3603
1185,3623
3664,3665
3748,3749
1019,3823
2646,3855
2012,32
4070,4071
3801,4102
4187,3416
4244,2861
4301,1227
4552,3710
1056,4746
2230,4762
3305,588
3834,5079
5170,5171
3241,5174
4264,5194
5409,3371
16,1678
5594,2619
820,611
2213,3456
5664,5665
1592,5677
5689,1485
136,4222
2560,4507
6008,4834
3477,1516
1054,6107
22,6125
3004,6165
144,5180
6308,754
6310,6311
1308,5190
4129,4338
1587,4447
5724,3307
5150,6276
6494,6495
641,6496
6629,1781
1423,988
949,6691
728,1105
4961,6861
4155,4372
6975,6976
7054,7055
2174,3705
2049,7109
7162,4877
4070,2343
7255,2277
7287,7288
5004,7291
7293,776
2652,7298
4100,7333
7334,7335
597,6426
2149,7585
1526,1760
7889,2430
607,4136
4129,7922
5938,1149
3137,8040
4070,1304
4468,8147
5993,5799
8277,7987
1330,7665
1809,8326
8369,1062
2975,8344
1211,5798
1918,5105
4809,7147
393,8530
1860,6790
7356,2650
6094,3689
7334,1767
277,4932
3274,829
4348,3052
8897,8182
671,8921
2454,3631
5524,5905
1128,7902
1308,9022
258,5549
2553,8564
324,9047
894,9058
2020,4969
132,3467
989,9238
9270,9271
8225,2486
2100,9294
6283,9370
3292,3621
2909,2245
3729,5857
8369,6081
6197,4351
2174,9514
634,499
6259,8933
1256,2412
3333,9419
7257,6602
9718,859
258,810
773,8604
8189,9883
1794,8893
9966,2312
10017,10018
7862,2996
3276,40
3004,6476
2966,10227
2512,5525
176,5731
3314,10369
267,2048
10017,10439
2652,571
2676,1041
4552,2423
10713,5623
8407,42
301,377
2230,7194
597,8962
4568,214
7238,8204
8304,482
1606,10028
1339,11122
6740,11168
10914,4742
694,11187
3726,8258
267,7068
11331,68
491,10813
773,11383
8778,431
636,884
10275,6018
8659,298
11331,11591
2673,1993
3733,1978
1545,11649
3509,2068
3520,1583
4611,1682
705,8533
380,2087
6212,653
4701,11820
2667,11842
1863,9184
136,1365
3664,2989
10284,451
1747,11954
1798,11994
8116,4755
2926,6300
12127,4830
10941,9631
5978,2207
4265,2545
2230,2089
625,9611
6773,12309
320,8063
5690,12359
10232,1206
2202,12404
12518,3553
6629,12523
625,9714
4499,5984
108,8801
2687,12638
4264,12649
3647,12678
1815,12707
6310,12741
1207,148
2310,12837
6033,3003
1093,7643
144,12917
3509,2079
1909,3132
11702,12961
4552,12066
3927,6243
5690,1287
13144,10887
2112,1923
3139,4659
4921,8989
5277,11511
2847,3512
7898,2279
3872,854
4038,7030
2303,5172
3678,609
4271,6014
1652,4727
4786,239
