persondiedincountry_1,persondiedincountry_2
115,116
592,116
1169,116
1382,116
1707,116
1919,116
2515,116
2712,116
3057,116
3682,116
2789,116
3862,116
3962,116
5055,116
5392,116
496,116
6262,116
7225,116
7592,116
7964,116
8504,116
8981,116
9016,116
9271,116
9320,116
9321,116
9651,116
9775,116
10277,116
11362,116
11496,116
11610,116
12186,116
12202,116
12427,116
12745,116
13128,116
13300,116
13662,116
14421,116
8968,116
14744,116
14973,116
15503,116
15832,116
15904,116
16282,116
16493,116
16566,116
16691,116
16774,116
16920,116
17024,116
17477,116
8991,116
18215,116
18293,116
18360,116
18547,116
19072,116
7110,116
19419,116
19640,116
19926,116
20007,116
20131,116
20265,116
20387,116
20460,116
20620,116
20745,20746
20823,116
20854,116
20919,116
20976,116
21169,116
21193,116
21462,116
21618,116
21734,116
21958,116
22046,116
22110,116
22149,116
13933,116
22455,116
22958,116
11076,116
23523,116
24115,116
24251,116
24400,116
24728,116
24967,116
25069,116
25090,116
25098,116
25449,116
25542,116
26173,116
26683,116
27179,116
27196,116
27546,116
27663,116
27730,116
27879,116
27985,116
27968,116
28475,116
28619,116
13651,116
28712,116
28850,116
29011,116
29159,116
29535,116
17748,116
24776,116
7876,116
30750,116
16455,116
31464,116
31540,116
31676,116
30726,116
32055,116
10025,116
32269,116
32320,116
32478,116
32540,116
32577,116
32646,7836
32659,116
32684,116
32854,116
33408,116
33551,116
33587,116
22417,116
33976,116
6815,116
25294,116
24413,116
23470,116
35074,116
35084,116
35191,116
35750,116
35817,116
7681,116
36270,116
36363,116
2413,116
36533,116
34536,116
36899,116
1822,116
475,116
37447,116
21365,116
32715,116
37772,116
37783,116
37995,116
38390,116
37243,116
38751,116
38844,116
38987,116
39040,116
39083,116
24157,116
11436,116
39412,116
39443,116
26835,116
40097,116
40165,116
22027,116
40492,116
40506,116
40591,116
40790,116
41483,116
41592,116
41598,116
22545,116
20343,116
252,116
42086,116
42170,116
42878,116
43029,116
43058,116
43125,116
3345,116
17338,116
31050,116
43679,116
43748,116
8424,116
44005,116
23734,116
29292,116
44600,116
44694,116
44714,116
10046,116
44888,116
44998,116
45137,116
18751,116
45160,116
41492,116
43894,116
4938,116
45558,116
45759,116
45921,116
45986,116
46038,116
16761,116
46185,116
42284,116
13366,116
7364,116
46542,116
43495,116
46599,116
46635,116
20078,116
40060,116
47136,116
47218,116
47355,116
20086,116
10990,116
38453,116
47541,116
47600,116
47601,116
43512,116
47787,116
47846,116
48008,116
48109,116
37547,116
48353,116
48360,116
48731,116
48789,116
48903,116
48921,116
48925,116
48957,116
36336,116
41315,116
49094,116
43974,116
49184,116
23718,116
24580,116
49298,116
2874,116
49347,116
36867,116
49480,116
49495,116
49779,116
40451,116
42243,116
50051,116
47954,116
23091,116
38877,116
50579,116
50627,116
30476,116
47944,116
50587,116
23935,116
50943,116
14594,116
45779,116
50795,116
51366,116
51458,116
51549,116
50989,116
35468,116
51902,116
51944,116
52132,116
52470,116
52635,116
39554,116
8445,116
52859,116
20665,116
18681,116
53190,116
53243,116
53245,116
53307,116
42172,116
21664,116
46061,116
53906,116
44399,116
44732,116
19818,116
54247,116
54306,116
33271,116
54424,116
54427,116
54443,116
54574,116
40897,116
54783,116
55029,116
55114,116
55127,116
12025,116
2398,116
55280,116
55790,2626
45225,116
55967,116
55594,116
56186,116
19810,116
56353,116
56377,116
56413,116
8423,116
36490,116
32253,116
30467,116
56578,116
42675,116
56617,116
33858,116
56805,116
56821,116
56848,116
56858,116
48372,116
57117,116
37666,116
57314,116
36312,116
7840,116
42488,116
35190,116
57905,116
57955,116
3203,116
58142,116
33891,116
43696,116
25607,116
48150,116
13864,116
58511,116
58513,116
8674,116
58536,116
58618,116
58726,116
58743,116
48955,116
59188,116
59237,116
59345,116
59383,116
53598,116
54481,116
16974,116
55897,116
57280,116
59754,116
59791,116
22820,116
59972,116
59386,116
1019,116
33031,116
28315,116
60263,116
25907,116
60518,116
60539,116
60562,116
60793,116
60964,116
25895,116
36691,116
37010,116
55386,116
3155,116
60454,116
61261,116
33364,116
61351,116
34425,116
61406,116
61438,116
52000,116
61482,116
61485,116
61518,116
56405,116
61609,116
48487,116
50768,116
56301,116
61834,116
40617,116
34834,116
61986,116
62083,116
61585,116
62274,116
62336,843
61767,116
41657,116
62333,116
43866,116
52508,116
62529,116
61475,116
34336,116
62732,116
62737,116
62852,116
62877,116
61486,116
58958,116
49496,116
63152,116
18156,116
35032,116
63314,116
17294,116
19503,116
63569,116
32822,116
63627,116
39915,116
63740,116
9748,116
45726,116
3781,116
63899,116
63907,116
37686,116
63949,116
41185,116
63994,116
64015,116
64101,116
22142,116
7629,116
19467,116
59470,116
64121,116
19589,116
56430,116
31712,116
64468,116
57072,116
64593,116
42662,116
64668,116
64701,116
63525,116
64754,116
41247,116
64814,116
64947,116
58167,116
64999,116
59071,116
24876,116
65211,116
46921,116
65304,116
55680,116
65410,116
65429,116
65540,116
24112,116
61489,116
54945,116
51561,116
45576,116
25860,116
65883,116
65982,116
66051,116
65050,116
61424,116
66202,116
13846,116
53724,116
61776,116
53646,116
66568,116
66576,116
66607,116
66618,116
66711,116
12267,116
66788,116
32731,116
66883,116
66896,116
61271,116
67046,116
47664,116
55532,116
67195,116
57526,116
53808,116
67405,116
67413,116
13087,116
63417,116
51732,116
51591,116
14547,116
52641,116
67587,116
67613,116
67618,116
40594,116
25658,116
65783,116
57741,116
67567,116
22164,116
61794,116
68134,116
68152,116
11852,116
68391,116
63829,116
50260,116
36473,116
68680,116
59100,116
68747,116
22543,116
68790,116
68858,116
18384,116
68868,116
68886,116
68905,116
68918,116
51333,116
29003,116
19524,116
24583,116
63217,116
54622,116
67890,116
26595,116
25566,116
4320,116
54359,116
47674,116
69411,116
32850,116
46761,116
69510,116
69386,116
42717,116
66932,116
69667,116
69682,116
21258,116
69861,116
68218,116
18226,116
5531,116
69970,116
69982,116
69106,116
66325,116
58481,116
68573,116
63663,116
33315,116
31790,116
28040,116
27043,116
56655,116
61207,116
69343,116
45746,116
70428,116
70489,116
68465,116
25158,116
53559,116
41923,116
14734,116
57489,116
2132,116
62235,116
70805,116
70809,116
69571,116
70878,116
70923,116
70959,116
12312,116
71115,116
41376,116
26886,116
63534,116
56126,116
71449,1256
63599,116
71555,116
38169,116
69324,116
4392,116
71259,116
59963,116
70901,116
8813,116
68556,116
68557,116
46021,116
16240,116
36140,116
71869,116
71287,116
48238,7836
54294,116
66053,116
19657,116
66844,116
68928,116
72083,116
23929,116
72107,116
56143,116
67218,116
64773,116
55461,116
21677,116
36176,116
61644,116
1229,116
72364,116
7591,116
25601,116
1961,116
71940,116
28679,116
72510,116
32128,116
72540,116
72552,116
28901,116
57669,116
72594,116
5845,116
72613,116
23383,116
70030,116
70887,116
72021,5043
65822,116
40228,116
72736,116
21821,116
72805,116
35825,116
23119,116
57267,116
72865,116
41024,116
1319,116
46870,116
19931,116
67871,116
55596,116
12394,116
20113,116
70528,116
46458,116
53292,116
73085,116
31838,116
54141,116
72124,116
21153,116
55224,116
16207,116
59196,116
73329,116
15320,116
66870,116
73256,116
43714,116
68582,116
60475,116
69220,116
43006,116
63058,116
43452,116
49069,116
65680,116
67754,116
68116,116
7433,116
65673,116
22788,116
30057,116
41959,116
49753,116
68892,116
55961,116
22244,116
73880,116
64810,116
73960,116
42108,116
71941,116
74076,116
74107,116
7281,116
55255,116
444,116
74143,116
54580,6044
66685,116
68483,116
74202,116
74203,116
74222,116
67852,116
65567,116
47838,116
10667,116
65897,116
66289,116
62958,116
