personleadsgeopoliticalorganiz1_1,personleadsgeopoliticalorganiz1_2
1128,1127
10711,10712
9417,10919
11465,3588
6375,16899
5756,19402
3534,15178
6,24374
23720,24822
5910,26701
27361,2870
2307,28293
2494,28778
29012,3588
114,26312
31006,2870
6796,101
11475,33264
15130,3588
16141,3588
3553,2870
9141,3588
1783,897
5010,3588
11778,3588
2760,40414
40324,40705
24172,3588
43988,14417
44787,3588
28646,3588
45058,14417
3589,3588
14394,2870
18942,3588
10778,3588
24774,31608
37270,37269
2830,6941
50576,50577
377,40859
10715,3588
2222,3588
37303,3588
53495,17691
26884,3588
1098,14417
4729,42348
6431,3588
2572,3588
843,18826
5350,3588
6660,14417
9462,21503
22063,3588
3034,3588
7057,34304
6332,3588
74,45257
4549,4548
40841,3588
9581,24365
5261,5260
133,1799
1421,49913
6044,14417
7793,3588
26144,53215
64471,3588
6757,3588
14730,3588
17733,2870
66530,2870
8495,64075
66985,3588
3689,7743
2063,2062
14558,3588
5754,14417
2170,2870
14152,7743
3279,69360
22404,3588
35013,3588
69723,3588
7220,15893
64927,14417
64236,3588
6386,52760
250,58174
55957,3588
2871,11412
310,14417
2951,3588
22718,7743
36571,2870
2205,48504
760,2870
751,71103
30,53215
4007,3588
6071,26951
11872,3588
20891,1920
80,7847
16425,3588
4223,3588
18716,3588
309,14417
941,940
72230,3588
14063,3588
6837,6608
914,35384
556,48904
19344,14417
68830,3588
741,14417
37192,14417
5597,3588
6547,2870
2303,23277
8910,34567
