fooddecreasestheriskofdisease__1,fooddecreasestheriskofdisease__2
801,395
3817,3896
4776,4777
5300,395
5417,395
3817,6267
2583,9868
7890,3896
9591,12976
13243,395
3817,13618
6146,9279
9591,14354
14587,6267
3817,10057
16299,4777
9406,244
16550,4777
16850,395
9591,17541
17808,395
3817,395
14587,9279
18774,395
18131,395
20174,395
3817,17239
801,4777
18131,13618
3817,3349
1848,395
3817,24559
24904,9868
3817,4777
2583,26263
3817,27334
2583,4733
21352,29109
17847,9123
3817,3292
25211,395
22102,9123
30366,4777
6146,3896
10426,6267
9499,6287
8101,4777
24904,29109
32539,395
33023,4777
3817,5273
33544,13618
3817,34025
8101,2582
3817,34704
6626,1636
16582,9123
10426,15313
36765,395
8101,395
3817,6287
3817,7121
3817,38539
3817,39149
3817,39389
3817,15313
3817,3243
3817,7601
3817,24208
307,9123
40520,4777
2583,29109
6146,13524
4117,9123
2583,13524
7890,395
855,395
8130,395
2583,7121
2583,6079
43733,43734
3817,43940
2583,11635
44433,395
3817,922
9392,395
11279,395
10426,1636
7212,395
9499,45640
29992,395
18042,1636
380,4777
3817,16734
3817,4260
396,395
3817,37241
14587,9123
46917,395
22357,1636
307,395
48479,395
49119,395
32578,24208
50190,42797
15106,395
2583,17541
9591,2582
2583,24208
53502,29109
9591,25994
2583,13947
2583,44994
2583,45640
3817,21632
23582,4777
2583,1636
3817,54087
9591,16734
1637,1636
20013,244
8101,24197
3817,11149
14587,18130
2583,9086
2583,139
56832,395
1637,395
18042,3896
2583,2947
9499,25994
9591,13524
21352,54621
3817,5477
3817,18130
26465,395
3817,1146
3817,58123
3817,42797
3817,59289
41033,9279
3817,2582
41633,395
36752,1636
3817,24197
2281,395
2583,39149
43810,9123
14587,395
2583,9279
23527,395
3817,7634
8101,61567
7279,13618
9499,9279
2583,40325
6146,16734
42164,395
22357,395
3817,9340
3817,62426
33803,9279
1637,2947
2881,4777
21352,36002
14587,24208
22827,6287
3817,1012
22102,395
3817,9868
20546,29109
20546,395
8101,9279
3817,13477
3817,33064
2583,25994
2142,4777
27840,4777
2583,18254
10426,17239
3817,14502
65412,4777
2583,2582
58472,395
2881,395
2583,38539
33484,395
63668,395
3817,54621
2583,7601
14587,7634
18042,7121
66971,395
8101,9123
3817,12093
33544,395
3817,64764
32539,13618
3817,14987
50434,395
3817,26685
21352,26685
8101,29109
14587,1636
20013,395
6146,6337
3817,37114
22102,4777
68447,395
3817,19398
3817,3303
3817,65283
24904,9123
9591,45640
21352,7634
69356,3896
17478,14354
56953,395
3817,2947
2583,9123
48771,395
7890,43734
3817,6354
22102,13618
51195,3896
2583,46956
3817,18254
32578,1636
2881,13618
3817,25994
396,50817
17478,24208
18042,395
71337,4777
9591,6267
18131,4777
20013,1636
14587,24559
51716,13618
6626,13618
10426,13524
32539,6287
10426,3896
8101,1636
1560,4777
3817,36002
6146,1636
7890,4733
32578,395
3817,21397
30301,395
1637,13618
49960,4777
6146,395
2583,13618
2583,2958
14587,4777
7279,395
32578,7634
3817,31689
16582,4777
2583,6267
69591,14354
19300,395
21606,395
14203,395
3817,4733
33270,395
3817,64844
42874,395
33270,29109
3817,3816
14587,5389
12285,9086
71872,395
71559,4777
3817,1353
40952,18130
72531,395
42661,395
14587,29109
72593,395
28148,395
16582,18130
74412,4777
21606,1636
2583,7634
1975,395
3817,6019
3817,6079
1637,6079
5132,395
3817,29109
9591,395
3817,1636
2844,395
3817,24644
41633,244
12168,395
3817,57359
2976,4777
8130,13618
2583,14354
53163,1636
1975,4777
9591,4777
2583,27862
2583,6287
1637,244
32804,395
38567,395
3817,4626
14587,13618
9591,3896
40520,18130
3817,16324
68490,395
53502,395
7890,13524
2583,72420
14587,2582
2583,75208
35727,1636
64058,9123
61814,4777
10426,395
9591,9279
3817,5389
33286,395
19541,395
5132,4777
1637,9123
21352,24208
75371,4777
4734,4733
3817,23035
3817,69145
2583,27334
9591,1636
3817,9279
3817,45640
2976,395
3817,42192
3817,60745
2583,244
18131,18130
2583,16734
6626,395
3817,9123
74662,4777
10426,1146
