cityalsoknownas_1,cityalsoknownas_2
1646,1647
4658,1647
1465,5615
6938,6939
6953,1647
9936,9937
2953,9462
12260,1465
5615,1465
16106,16107
17002,11664
17267,17268
1465,12260
20697,20698
21730,1465
21932,4546
1465,1648
25863,2802
25425,4546
917,26239
27893,27894
13394,28061
31433,31434
2219,1465
11664,17002
29179,9404
13491,1465
9733,1647
38400,38401
22994,1465
1465,10641
1465,21730
33962,1465
1465,42498
2558,22117
1647,1646
44656,44657
1465,3563
1465,1020
1465,46497
1465,3737
1465,1466
49200,49201
27894,27893
3563,1465
250,27688
51768,29465
751,52990
2372,4978
1465,2078
38401,38400
54882,54883
1647,4658
250,16193
44657,44656
1465,33962
183,2372
4978,2372
32691,1465
2802,25863
61678,61679
59747,59746
22117,2558
1647,62388
31542,53757
13568,6939
1465,46351
1465,22994
49201,49200
250,1465
29179,341
43220,9700
1465,7220
479,26171
46351,1465
31434,31433
1648,1465
4592,2607
59746,59747
26171,479
751,66484
60943,63677
61679,61678
2514,22117
54883,54882
62309,62308
62388,1647
2078,1465
1465,32691
9937,9936
13900,15498
1465,36297
3026,39352
7921,13850
15498,13900
13850,7921
1646,46846
565,1465
1465,24870
16107,16106
751,4546
17268,17267
13009,1465
6939,13568
1465,250
1466,1465
1465,2219
1465,565
1647,73241
53757,31542
29179,18928
29179,4045
1465,59656
24870,1465
3737,1465
1465,10211
71643,53531
29465,51768
1465,13009
250,4099
36297,1465
9700,43220
1020,1465
1465,13491
4592,26750
2605,33635
28061,13394
4099,16193
751,25425
