touristattractionsuchastourist_1,touristattractionsuchastourist_2
471,472
561,472
1257,472
1661,472
2038,472
2653,472
2946,472
3858,472
4131,472
4153,472
4269,472
4438,472
4551,472
4644,472
4864,472
4891,472
5066,472
5362,472
5604,472
6915,472
7244,472
7732,472
7838,472
8173,472
8448,472
9734,472
10243,472
10356,472
5747,472
11604,472
3249,472
11824,472
11854,472
11913,472
12966,472
13422,472
13751,472
13995,472
14253,472
14272,472
14393,472
14793,472
14820,472
14855,472
15419,472
16007,472
16122,472
16292,472
16354,472
16449,472
16943,472
17336,472
17708,472
18103,472
18161,472
18509,472
18610,472
18899,472
18924,472
19628,472
19637,472
20114,472
20248,472
20508,472
20575,472
21202,472
21522,472
21534,472
21567,472
21610,472
21779,472
9358,472
22021,472
19162,472
11745,472
22637,472
17542,472
23028,472
23045,472
23137,472
23264,472
23281,472
23465,472
23854,472
23879,472
24179,472
24213,472
24578,472
24626,472
10988,472
21693,472
25172,472
25181,472
25248,472
25391,472
25587,472
25787,472
25861,472
25944,472
26132,472
4529,472
26341,472
26368,472
26394,472
26408,472
26564,472
26586,26587
26714,472
26774,472
26880,472
27048,472
27142,472
27832,472
28074,472
28253,472
28312,472
8908,472
28767,472
28993,472
14086,472
29203,472
29241,472
29791,472
29820,472
29898,472
30182,472
30206,472
30396,472
30474,472
16175,472
30951,472
10030,472
31037,472
3240,472
31111,472
12728,472
32622,472
32774,472
33217,472
33600,472
33723,472
33790,472
29786,472
33825,472
19264,472
3309,472
34553,472
34644,472
24108,472
36884,472
37003,472
37022,472
8873,472
37098,472
37309,37310
37417,472
37766,472
38527,472
38630,472
39030,472
6284,472
39594,472
39681,472
39764,472
39872,472
39911,472
34468,472
40207,472
40227,472
40374,472
40508,472
40626,472
40671,472
40674,472
40956,472
41297,472
41364,472
41479,472
41527,472
41580,472
23112,472
42077,472
34442,472
42145,472
42247,472
42389,472
42429,472
7870,472
39739,472
42635,472
42707,472
42756,472
43339,472
43460,472
43556,472
43588,472
43904,472
43968,472
44143,472
44355,472
20058,472
42010,472
44768,472
45097,472
37537,472
42928,472
44175,472
45796,472
45873,472
45970,472
24155,472
46017,472
45815,472
19097,472
41804,472
46909,472
11981,472
46986,472
22613,472
47297,472
47324,472
47411,472
19144,472
40287,472
47586,472
47587,472
47823,472
31779,472
47917,472
22412,472
48117,472
48491,472
48940,472
49235,472
49239,472
49322,472
17881,472
49466,472
36430,472
49850,472
50088,472
50103,472
4304,4303
50140,472
50471,472
21344,472
50526,472
41949,472
12753,472
4304,50618
50815,472
50077,472
51122,472
47747,472
51219,472
51555,472
51574,472
42547,472
51719,472
51772,472
51859,472
51860,472
18769,472
52202,472
52318,472
41195,472
52370,472
52427,472
34074,472
52567,472
52883,472
52924,472
52974,472
18508,472
6326,472
53184,472
53387,472
53479,472
53535,472
37309,53562
6322,472
53577,472
53618,472
53746,472
40941,472
5279,472
53942,472
54056,472
54248,472
54316,472
15884,472
54550,472
54734,472
54767,472
54955,472
55042,472
55277,472
38301,472
28282,472
55634,472
55646,472
55711,472
55769,472
56105,472
12002,472
56419,472
8949,472
16359,472
56590,472
56593,472
6887,472
38703,472
30203,472
54444,472
56861,472
40047,472
56927,472
28052,472
5338,472
57070,472
57093,472
57103,472
57115,472
22104,472
57166,472
36228,472
41436,472
33965,472
56669,472
57648,472
43469,472
40046,472
47273,472
36569,472
35996,472
58067,472
58103,472
39436,472
28267,472
16471,472
58495,472
58525,472
33534,472
56459,472
10289,472
58778,472
35866,472
58820,472
58856,472
58876,472
58883,472
49368,472
59027,472
59037,472
18057,472
59154,472
59158,472
38434,472
59394,472
59401,472
35155,472
59461,472
56343,472
22144,472
59700,472
33972,472
59709,472
59899,472
46644,472
44529,472
36311,472
60055,472
22661,472
47399,472
24331,472
60199,472
11768,472
54307,472
31688,472
60368,472
21170,472
60420,472
43030,472
60885,472
60896,472
61095,472
59301,472
60840,472
61635,472
61894,472
18069,472
61996,472
55522,472
60113,472
62155,472
37492,472
62247,472
62276,472
38096,472
62528,472
62533,472
3265,472
62704,472
62773,472
62926,472
63091,472
63092,472
12665,472
63189,472
61995,472
63361,472
63552,472
25927,472
63034,472
63771,472
63837,472
63854,472
32567,472
46605,472
48311,472
58013,472
64128,472
63002,472
12224,472
64250,472
64267,472
64278,472
46136,472
57475,472
54067,472
64493,472
64488,472
14939,472
64560,472
64585,472
40622,472
24710,472
64666,472
47544,472
64735,472
53644,472
64804,472
64821,472
64934,472
50448,472
64958,472
64988,472
9932,472
49383,472
59504,472
65385,472
53324,472
6923,472
42084,472
37410,472
58553,472
65533,472
65576,472
65613,472
65632,472
65637,472
20929,472
62063,472
57992,472
65743,472
62002,472
47713,472
43622,472
59812,472
65699,472
32042,472
39292,472
12793,472
42711,472
24039,472
53420,472
62353,472
66334,472
37368,472
32217,472
58053,472
44555,472
28866,472
60540,472
66593,472
16260,472
16585,472
48529,472
66737,472
43911,472
62960,472
66876,472
66990,472
67008,472
67036,472
64255,472
67129,472
67132,472
67143,472
33861,472
4040,472
40391,472
55601,472
44926,472
57935,472
67403,472
67444,472
67448,472
17277,472
67679,472
67736,472
53397,472
67760,472
53050,472
36046,472
54927,472
52447,472
68014,472
25620,472
54290,472
68296,472
27157,472
68420,472
65722,472
68472,472
38374,472
68546,472
41206,472
68174,472
27935,472
49503,472
68883,472
68899,472
67894,472
69027,472
69047,472
37112,472
69137,472
57517,472
6193,472
60516,472
69525,472
63644,472
19048,472
60741,472
13847,472
48387,472
58601,472
69867,472
60471,472
66326,472
70133,472
70158,472
70189,472
26549,472
70271,472
70287,472
38102,472
70411,472
26990,472
70478,472
58234,472
27547,472
70608,472
46169,472
17491,472
3122,472
70821,472
2846,472
67566,472
46872,472
51454,472
51217,472
68476,472
18755,472
49450,472
58893,472
7647,472
62122,472
43944,472
71179,472
37314,472
52310,472
50395,472
68149,472
53349,472
7993,7992
18686,472
54818,472
71408,472
54263,472
51601,472
29518,472
71110,472
2602,472
12608,472
48377,472
37679,472
71744,472
52171,472
57812,472
29558,472
42637,472
47149,472
68477,472
64318,472
23485,472
60369,472
35566,472
54047,472
22572,472
3125,472
13389,472
71530,472
21650,472
59940,472
18148,472
72024,472
37735,472
56470,472
25193,472
5728,472
68686,472
58182,472
72251,472
32956,472
66954,472
35358,472
72439,472
57199,472
71221,472
72481,472
6152,472
30212,472
72543,472
71522,472
11415,472
67389,472
71295,472
72734,472
22251,472
72465,472
35378,472
56416,472
61706,472
72929,472
56814,472
72999,472
64496,472
72762,472
53047,472
49477,472
60414,472
71677,472
36452,472
73222,472
73231,472
66528,472
65166,472
36422,472
73269,472
65570,472
59660,472
56511,472
57316,472
57525,472
40794,472
55069,472
64698,472
17439,472
56820,472
13527,472
70931,472
9210,472
961,472
73729,472
29914,472
65821,472
40950,472
36361,472
56969,56968
27552,472
72990,472
73919,472
69987,472
42388,472
74052,472
51868,472
68463,472
74085,472
71543,472
42572,472
40576,472
18183,472
65395,472
72835,472
69442,472
25550,472
73160,472
69502,472
74298,472
61371,472
70545,472
30652,472
19442,472
66219,472
30888,472
35432,472
57081,472
71422,472
23695,472
74548,472
74556,472
36299,472
73083,472
66900,472
56969,74649
72793,472
70806,472
15105,472
32623,472
71378,472
74127,472
74744,472
62708,472
46728,472
16765,472
60413,472
60017,472
14008,472
60210,472
61417,472
40547,472
66059,472
38481,472
39988,472
73797,472
38318,472
68473,472
69155,472
29571,472
42893,472
67967,472
70495,472
67061,472
66164,472
48896,472
9811,472
37430,472
2466,472
22148,472
30800,472
70414,472
60218,472
35360,472
63487,472
74471,472
70472,472
26871,472
35482,472
57369,472
42557,472
21743,472
70143,472
63405,472
73119,472
70419,472
54692,472
51356,472
74606,472
7993,472
74903,472
64840,472
59348,472
61913,472
38364,472
25307,472
74508,472
37307,472
27553,472
41680,472
74059,472
22940,472
7993,69773
37309,45721
75401,472
2654,472
72276,472
9626,472
69772,472
75373,472
42628,472
56767,472
58512,472
63427,472
67995,472
65117,472
10043,472
67272,472
68513,472
59546,472
65747,472
69990,472
72353,472
59020,472
74685,472
71996,472
72355,472
72386,472
35069,472
24527,472
18951,472
75466,472
35097,472
28956,472
59103,472
75365,472
74760,472
75412,472
48123,472
31748,472
42747,472
69849,472
47363,472
26242,472
47512,472
