sportsgamewinner_inv_1,sportsgamewinner_inv_2
1248,1249
1355,1356
56,157
500,4352
500,4470
1355,7010
1004,9093
11729,11730
500,11991
500,13179
500,13625
551,3227
5002,14345
486,15203
1248,5873
4854,16637
806,805
500,18242
1265,18989
3188,4379
4147,20041
1248,20318
3900,19871
500,21889
1248,21920
4513,13548
500,22064
2694,19369
10159,23097
9598,22773
500,1852
500,26296
6816,27836
1248,28310
5044,29169
12839,29552
11729,31917
9769,20291
500,33473
486,33892
2004,34488
2694,14112
500,34519
500,35386
9915,35738
6816,7122
500,36080
1248,36561
1988,36732
1248,20356
500,37677
7403,20307
486,38841
9598,9597
12115,19651
500,7457
7486,36387
3393,31529
500,41989
11729,8840
10060,43063
3188,41607
500,43437
500,17278
500,10006
3293,40036
486,45284
500,45740
500,46608
3567,44042
1248,23736
1011,4611
10331,47104
9598,35461
1248,25354
500,47491
1248,37402
1248,39058
2007,48112
9769,21270
1988,49538
500,1228
500,49793
12115,49587
500,50420
1248,44349
2694,1692
1248,5431
7512,53455
500,31377
500,55064
486,45391
446,31526
500,38004
25112,56104
500,26183
500,56825
3746,11850
7319,59218
4854,59781
1004,44157
56,21138
421,53365
5002,36545
806,41468
3746,32239
11729,48766
500,6194
1248,39692
500,38815
1355,61446
500,29060
500,12109
9598,48125
500,59428
4147,62989
500,61537
2593,43628
500,30885
500,53287
500,49284
4854,26550
486,31824
3746,31235
882,1938
1248,24231
11729,13030
1248,47340
1355,53764
486,33499
5002,55577
11729,42329
500,60655
1248,14866
3393,52361
7403,1191
2593,1285
11729,44770
3746,17981
3746,30045
500,35556
7486,65654
932,41938
7403,29363
3567,15218
12115,69624
500,63526
1248,19671
500,66591
1992,6410
806,3305
5002,376
486,69887
10775,22873
500,16754
1265,48846
7958,19843
4147,34157
806,56303
5044,62835
3567,44015
87,51911
6816,69065
500,47768
2593,1266
3746,47570
7319,7318
56,59664
16250,25562
3900,56799
1248,19388
113,53136
2694,3353
1192,65423
500,65299
1355,50667
4854,51407
1248,48667
9598,9196
10864,48452
500,74035
11729,9030
500,24579
1248,37223
1248,40949
11729,35485
500,61257
10060,53653
3746,29879
1248,24385
500,33144
6816,68935
446,73082
1248,7980
486,51536
500,64989
500,47400
500,19741
500,44201
4612,71765
3188,6395
1248,21011
1248,63710
500,1908
1248,44033
500,41171
1248,3457
16220,56180
3188,47129
11729,20355
500,45656
7403,25740
6816,74812
