sportschoolincountry_1,sportschoolincountry_2
3141,4597
454,5010
6328,614
8578,2626
10036,349
10883,614
11521,614
3141,11665
369,3832
4228,614
454,1885
14828,494
14413,349
16666,977
369,700
1100,5501
5696,614
3141,614
3141,494
3141,1098
1100,901
3141,3975
369,5043
369,4556
23920,2626
7469,614
1100,494
1100,2626
39,494
454,843
29453,614
454,787
3141,3161
15277,90
1100,14018
3141,2626
30569,614
3556,614
1100,90
1100,8943
39,700
3141,977
1221,6431
34141,614
369,2723
1100,17523
35121,349
21320,977
11521,1256
25653,614
2452,614
12816,700
14999,614
3255,614
3141,1885
36003,614
369,3975
40313,90
29511,9080
12816,8459
12816,6431
14875,116
3141,901
1100,13569
454,3124
3141,3832
47,700
947,614
37945,614
3141,2288
23060,614
369,3307
947,3307
454,614
1221,8459
12816,10982
454,1061
454,9393
3141,27782
45878,614
3141,116
13146,6431
3141,245
1100,642
4228,2626
13817,977
24239,614
47,614
1221,1885
369,349
31649,614
12403,614
1221,1901
3141,1059
16666,349
11521,103
12816,12015
369,843
39796,614
11254,614
3141,11663
3141,6097
1100,11665
31389,1885
1100,3307
3141,700
3141,5043
3141,891
454,4556
369,901
45314,614
1100,700
1100,13230
1100,5010
1100,9360
369,614
53909,614
31969,614
58406,614
13146,8459
3141,636
947,2626
16666,1885
15454,614
12816,27083
64847,614
1100,13099
10551,614
3141,2723
6792,614
1100,3040
1221,2626
369,9393
49842,614
45644,614
454,1256
34875,614
3141,13099
28867,614
1141,614
369,8459
12816,2626
21320,614
1221,614
42691,614
6842,614
4228,1098
21320,1188
35505,6431
3141,8459
13146,614
3531,614
13817,26964
12816,116
16666,90
1100,1237
3141,642
369,103
19988,614
3141,5010
15277,4556
15277,636
16666,3124
1100,4556
4385,614
57667,614
369,494
3141,56856
1100,103
1100,349
10680,614
3141,5705
1100,1901
42448,349
22775,116
3141,843
369,245
12816,1884
369,11665
3141,103
56561,614
18831,614
1100,3124
1100,614
3141,19400
4000,614
1100,1885
13146,2701
454,16992
1100,843
3141,3307
37862,614
13146,2626
1100,5043
1100,116
13817,8459
68751,4884
1100,5863
3531,4556
1100,772
13146,103
32273,614
3141,4556
369,56856
369,6097
3141,90
9525,614
32745,494
369,642
23994,614
13817,1901
5170,614
63392,614
11101,614
369,636
369,2626
1221,1256
3141,5593
68751,3124
1100,977
10036,4884
19261,614
12816,6044
1100,1098
1100,1256
32745,614
369,3161
1100,2701
3531,6431
3141,5752
13146,116
3141,3124
13146,1256
39,614
454,2701
3141,349
3141,9393
1100,8459
4403,614
