stateorprovinceisborderedbysta1_1,stateorprovinceisborderedbysta1_2
1092,1270
4299,1953
321,2424
717,844
2921,541
9972,9355
10416,541
8672,2417
11919,321
866,2625
14237,541
14360,541
321,270
243,2424
18932,541
844,1374
17,3055
2417,6
20088,541
904,541
866,3005
1844,17
717,8272
4089,3055
8162,7905
321,11919
33159,541
8162,459
819,1016
36695,541
17,270
3055,717
6288,541
270,3055
8162,1092
41739,541
3055,270
2349,4047
46050,541
6466,541
10210,541
48563,541
7905,4047
3262,8272
25471,541
819,2625
51254,541
3370,243
243,3370
2079,321
10361,541
4564,541
37859,541
3005,541
2079,8272
321,2366
32105,541
46828,541
4974,541
866,819
9905,541
7905,978
44148,541
58092,541
4089,17
321,541
459,1374
8672,541
2158,541
5101,541
2625,4047
2731,541
1016,541
3726,18283
321,2079
62349,541
459,717
8272,321
8162,243
33575,541
6,541
55184,541
1092,3262
1270,541
34118,541
904,3538
17,4089
2855,1270
1374,8162
866,2349
27991,2079
2855,541
270,3262
6329,541
717,1092
9217,541
3055,4089
69464,541
3262,321
10831,541
243,1374
4047,541
18283,541
5735,541
8162,844
6,866
15077,13393
3262,270
20681,541
8272,3262
67398,541
1844,904
1627,4299
1270,2079
7905,3262
1270,1092
3726,2417
321,1374
72842,541
1374,844
73015,541
2424,7905
8162,57405
24139,541
27908,541
21402,541
3861,541
69023,541
9355,541
8162,3370
40265,541
7905,8162
9972,541
2855,2079
1966,541
56553,541
7905,844
8162,717
3055,17
6,1568
1092,717
2625,4299
2424,1953
34475,541
24678,541
6757,541
717,541
14972,541
8672,3726
2349,3005
3156,541
47623,541
67815,541
21753,541
17,1844
8127,541
5201,541
2079,1092
49904,541
