atlocation_inv_1,atlocation_inv_2
48,49
155,156
243,318
331,332
404,405
659,660
731,732
779,780
819,820
844,845
861,163
1227,156
1302,156
1374,1375
1438,599
1673,1674
237,435
1787,163
1359,435
717,1887
1953,1954
1724,2067
2096,163
859,2110
2158,2159
2163,2164
243,2285
1251,860
2492,156
2599,156
779,2611
2643,156
2223,2736
6,2802
1627,2872
6,2965
3090,1674
2223,156
3194,3195
1844,3210
3223,156
2494,156
3324,599
3370,3371
819,3372
3515,135
3689,3690
321,3865
36,3868
4074,435
4223,135
889,4242
4305,156
4364,4365
819,4408
4440,435
4446,435
114,4520
4569,163
4592,4593
4729,4730
4767,4768
1627,1894
1966,4811
4819,156
1627,4826
4846,163
321,4847
876,156
4871,156
5206,435
5640,435
321,5656
288,4593
5830,156
5966,435
588,6058
6109,435
859,6315
6441,6442
866,1465
321,6532
6546,435
36,6680
6698,435
6700,135
6770,435
6922,192
3518,6998
7141,156
36,7400
1724,7401
74,156
1334,163
1568,7487
36,7587
321,7818
2079,7869
192,7936
1627,6017
270,8030
4871,435
8119,435
8172,163
6,1674
8207,156
3529,135
8260,156
8309,435
3538,8335
8397,156
8593,163
8597,435
8608,435
192,1901
243,8639
8672,8673
1050,8756
8804,435
8910,435
588,8937
8997,435
9050,163
9084,156
9104,435
2117,435
9339,599
321,9426
1627,9570
9635,163
192,1516
1016,9699
1454,156
136,135
9800,3782
8296,435
1050,9962
250,435
779,10045
1454,4593
978,6954
10182,163
10315,435
10371,435
844,10457
10506,435
613,435
10294,135
4388,435
10690,4593
10805,156
1868,4764
321,10872
10946,1674
36,2796
819,11105
901,1674
6441,11403
17,11537
849,156
1868,11677
859,7102
866,11777
11781,156
11955,11956
11970,599
3950,1674
3034,12006
12042,163
243,12060
3455,156
2195,156
12223,156
12228,435
8910,12258
192,6782
819,12340
2079,3782
6,12416
12495,435
12506,163
484,12517
1868,12545
12566,156
8297,135
3538,12688
351,12765
7761,156
321,4593
459,12920
904,12952
8310,13076
13091,156
1092,13172
2063,5204
13294,13295
700,13379
8166,163
1627,5718
36,13486
13577,13578
819,1161
898,156
844,13718
898,1674
13810,135
6,13850
36,13901
2145,9906
8910,14020
192,14106
7905,14204
2113,156
8272,14288
659,11059
905,906
36,14480
14606,435
14908,163
243,14935
14963,14964
700,15077
8647,15100
12477,435
250,156
15492,435
4293,163
2079,15526
15545,156
866,14839
321,6968
15676,435
717,15803
15826,163
700,7339
1016,7495
16136,156
1724,2307
844,16221
16246,156
7525,163
3726,16362
16421,435
3372,435
3870,4388
17,12587
16520,163
16570,435
6,2899
13889,1674
8162,16700
3711,435
16724,860
3726,16884
6,16954
16961,156
1724,15067
904,17038
17131,435
321,17144
4767,17162
4047,17219
116,11792
2494,17295
17301,156
2796,6186
484,17419
844,17459
17033,435
9704,435
17542,163
270,17577
12228,156
1953,460
751,156
15676,156
17834,156
6,3421
866,17901
17914,163
844,17834
4047,712
17990,163
18014,860
18051,135
466,18162
18169,609
866,18173
36,18176
15686,163
36,18222
18318,156
18325,4365
9679,156
4499,435
18399,435
4094,156
18447,4365
6333,435
3334,435
18683,435
10367,18782
9694,163
243,18799
1613,435
2424,18851
18929,156
4047,18937
1966,6325
15519,19035
19041,435
321,3355
5802,19265
48,1576
321,19317
1050,19352
565,156
5802,19445
844,1674
19918,156
3689,156
866,20108
20170,163
250,135
36,20192
8093,609
36,20227
20292,435
114,20391
3870,20453
2269,135
866,20493
2796,20595
819,20619
904,3950
351,20821
20836,1674
5802,7325
2063,20841
20898,156
17,12280
2366,20929
20978,435
36,21006
192,299
978,21054
4299,21066
250,10768
1966,21155
21215,156
1050,21341
4482,435
21423,599
4729,435
21437,163
321,21510
21521,2403
1868,3869
1868,21631
4047,20342
8910,21711
21743,135
21748,163
21756,599
1966,16039
1868,22089
1050,22098
1953,2862
22184,135
22255,4593
1966,1967
321,22291
17,22430
192,10398
410,1674
22622,156
22791,156
21112,156
22901,435
22921,609
321,2117
5802,22982
22988,163
23005,163
905,23019
2424,23074
3370,23168
7444,587
23206,156
36,23227
23270,435
1966,23274
1953,23295
20075,435
23496,435
5802,23593
1440,23618
10188,599
1953,10637
1568,353
904,23732
10529,156
23880,163
3210,156
8910,23905
4047,23952
192,5163
1944,23723
2063,11241
8297,23991
1953,24054
10367,24056
321,24181
8672,7690
3726,24279
24282,1674
24294,163
6386,1674
819,7690
24405,435
1724,24458
4047,24485
637,135
24501,163
2079,694
321,4729
351,24704
859,24729
978,1329
321,23058
14319,7367
4196,22499
25062,163
25063,435
859,6272
25298,435
22633,156
844,19417
25352,156
2145,4593
1523,163
250,25411
859,11983
3055,25417
243,25477
25509,156
24723,599
859,25549
25591,156
24916,1674
17806,135
10529,435
23206,1674
7776,435
25723,163
25764,599
8910,24204
1966,4266
904,903
36,19358
3813,25971
321,22382
5802,25998
18704,156
7093,156
8910,5618
321,10903
351,26282
859,26347
26370,6536
26379,156
859,156
1966,26478
26488,163
4767,26515
8748,609
7690,156
2063,26710
3510,163
26763,435
26893,599
3870,12870
5984,1674
844,1593
3370,27008
243,27026
192,23061
3870,15002
6405,435
10788,156
3194,163
27184,4365
2810,163
27242,156
889,27309
250,8119
1050,27355
4047,27370
36,25515
27413,435
26563,435
1016,27535
2205,18162
27537,435
3538,27544
17642,435
27555,599
36,27576
27609,163
192,780
6788,16746
5997,11956
27735,435
27825,435
819,21106
8193,609
27938,192
27990,163
36,156
351,25808
28122,163
2145,163
28186,27969
25083,435
28247,156
15492,599
192,610
299,11463
250,28309
819,28349
299,1674
2205,135
155,435
588,28627
2810,156
1016,28660
28721,435
10183,4593
12704,435
21756,28819
28880,435
28955,163
28968,156
1627,4408
36,29132
321,29152
48,617
29242,435
6788,9721
4089,29456
29502,135
114,29515
819,22141
2158,13502
3655,135
1868,29783
819,26043
29810,156
12278,435
36,29886
3805,1783
250,3669
321,30008
659,10194
36,30116
819,30147
36,30162
28990,435
5802,30240
866,192
8614,11463
24916,156
4089,30409
250,30458
904,30470
30519,435
4767,30524
30528,435
6,30534
659,19613
30546,599
3870,30604
28010,163
1844,26286
6,17481
5756,1674
6,16411
1050,21236
1247,3421
1627,7985
4047,4045
30809,163
7049,435
3279,30813
751,30819
30853,4593
4767,30874
2625,24666
31042,435
3538,28693
904,28669
3870,3869
11055,156
31106,435
904,31117
321,31121
31131,435
7557,17798
866,16461
1966,31267
3034,435
2662,29049
3228,163
31372,5163
8601,23862
17,31466
321,8664
18283,31504
31545,156
351,13339
6302,135
1944,6525
16517,609
36,31591
235,16899
26935,435
10335,156
24396,156
299,192
10672,156
2223,435
15933,609
27904,435
4047,3782
20348,435
2063,32078
321,32110
6493,135
4305,435
28186,6782
133,2802
8162,26952
904,8276
270,24632
484,12199
779,5954
8397,435
8745,156
3870,32724
32828,435
32948,435
36,17834
32970,609
9587,163
24076,156
243,8521
33172,163
270,1032
459,16440
3938,163
4196,11679
14107,156
3538,23939
8764,435
6333,156
6,12765
30764,156
1016,14728
15570,163
1627,1753
1627,33516
7905,23058
1953,4708
2063,33661
8354,163
351,22158
321,33777
33794,156
8601,12199
1050,8743
2424,27378
2079,31145
1247,13578
270,33958
3538,4561
30602,163
3538,33990
34010,156
34011,34012
21902,163
114,34038
3195,6154
588,34072
19172,435
1454,34162
36,30901
321,4094
2706,34209
250,34218
843,1674
192,6922
34298,7249
3689,435
321,21317
34374,4593
3538,34429
8745,435
2366,34615
10176,435
20192,156
2158,3869
555,34756
14319,6782
3538,34815
3870,34466
192,21867
859,35003
25329,163
3813,660
11345,156
1627,35115
29231,156
1568,10711
904,34884
1374,35134
34455,435
35167,435
9038,135
2158,1387
11104,435
27555,587
18087,1674
321,410
588,20302
21186,435
36,35504
35540,156
819,35560
35629,156
1944,35644
321,35717
31821,163
1016,35777
484,13284
36,35824
2145,21867
17602,163
192,7664
3805,35918
35929,435
1016,3594
36,35955
3870,35957
14843,435
35990,435
6596,156
36009,156
3005,36032
26370,49
23590,609
13491,435
36,36087
13294,156
3870,21204
3870,27814
18501,135
192,103
36143,163
36,18263
1966,36201
36224,156
2158,14340
36259,435
36285,156
321,23249
1516,2262
4376,435
565,1674
6375,36354
36,31819
4202,156
1966,12411
1568,6133
1802,25678
36482,135
23657,435
6788,163
1092,36692
321,36698
13569,23845
36786,599
978,36805
36843,135
3689,1988
4047,36886
7330,435
10865,435
192,6536
819,36984
8310,37027
2796,332
321,37080
24197,163
34934,163
2349,15254
351,31787
351,11380
484,37247
37410,135
751,37423
2625,3966
36224,435
1868,7690
243,9375
8952,28527
37694,435
1966,5874
978,37746
36892,156
6,37906
37982,599
1844,37985
21521,163
38032,38033
2050,435
37108,156
819,3233
2395,135
866,38125
3005,38127
28094,435
3870,5603
33506,135
11565,163
1966,25887
4099,435
27437,435
36,38252
6,33601
1966,38354
38411,435
250,38435
4089,32691
36,21386
4047,3767
38558,163
321,38564
904,602
6,26282
38411,599
250,12912
3870,38760
859,25320
11769,435
1251,4593
1016,22179
38921,435
6,38951
1627,24821
4047,615
1247,35885
11475,39027
4196,74
10971,6782
331,11956
8910,19360
17051,29670
1568,39279
17753,17752
39352,156
250,27772
20292,10826
4047,39435
1953,39473
859,33178
192,20863
17214,135
25304,156
36,17632
192,26612
2953,11624
8162,39625
39627,135
8910,7123
39668,135
779,8956
6,39759
3538,39801
192,9383
39836,435
8601,12378
6441,13443
6,20276
321,39933
39934,435
3813,609
6481,1674
1944,40083
3726,40092
24437,599
602,156
1868,717
40198,435
40260,163
321,40298
978,4346
36,39106
859,40346
3279,156
36,3413
2796,23991
5756,156
6379,7046
2718,135
1016,14011
321,12414
40561,163
17974,156
866,10321
34345,435
844,40681
17672,163
20588,156
40763,435
270,26934
12390,163
8162,9057
40902,156
8162,40932
1454,41043
41072,163
321,26185
41090,435
3870,250
8495,156
819,602
2903,156
1627,41219
3726,9741
2424,34666
2366,41283
41306,156
33448,435
1724,3950
36,16581
7905,30371
5672,135
5397,163
4301,163
270,4038
1057,8993
2260,163
16789,156
25348,135
250,41523
4038,156
41579,156
6375,435
36,23605
321,41652
8122,609
13311,163
41784,135
250,41809
10219,435
1966,41845
32308,163
13357,163
321,20116
18087,156
1568,33329
1966,40788
41256,435
2599,435
321,12139
3005,42183
299,14930
866,39056
2079,26763
33885,135
6456,435
4047,14920
321,42375
35296,163
36,11784
904,16789
37929,135
3870,31892
13491,135
8495,435
7557,31634
35093,435
25591,435
23488,435
243,37418
243,23608
15962,49
17001,163
321,40611
42834,435
5640,156
33279,435
321,13562
3370,37533
1966,10361
321,3534
17,43060
192,20268
192,5168
192,5954
859,9653
10113,163
3813,14661
25585,163
18033,156
588,11061
7905,13148
21648,135
41501,587
192,10045
8154,435
1016,250
5474,1674
114,43485
1098,1465
18033,1674
2625,43593
21137,7249
15342,435
35079,163
8672,43823
8162,34285
4196,27082
43886,156
2810,43901
12085,135
904,43942
133,22764
19897,163
1868,4325
2504,7455
36,44077
243,242
36,8529
2626,3105
36,32749
19086,156
13926,163
34384,163
19487,1674
5678,163
36,38576
18439,163
1098,435
1627,7001
3689,4048
866,39339
8459,435
44361,435
10998,156
192,19960
4089,44464
3262,44475
6,44496
4299,44508
10043,14133
321,11831
11419,135
44603,435
28935,435
11225,8284
3870,16508
2366,24166
15342,135
41475,163
38301,156
321,12477
1868,2592
3726,22083
44594,609
36,30525
843,11792
6,45101
17970,6782
905,2635
602,168
36,36993
1944,34466
3870,22653
45277,163
5802,20003
5997,31342
12606,860
22368,435
717,45369
1786,156
907,163
19372,163
8910,1110
3959,135
1175,135
9900,43142
36,32813
38789,599
3538,45619
45675,435
904,45704
4047,13411
4047,12059
819,8258
2625,27204
25083,156
35199,435
36,28869
20643,135
6375,13971
39817,435
36,46034
20357,163
866,21596
16039,135
5602,435
36,1246
14542,156
46140,599
1868,16461
751,3669
2349,13110
659,2503
46283,156
6,46297
17970,4593
3870,46340
14324,135
46452,435
33983,156
36,46477
46487,435
26043,435
46507,163
2494,135
15639,135
18078,163
14011,156
3870,39505
2117,156
8601,5454
3370,46772
1966,46799
38270,135
46860,156
243,45333
270,46874
866,24757
588,24277
3233,435
16246,435
779,27969
27058,435
484,24204
299,47223
47257,163
35629,435
1092,42974
1131,47271
2079,47278
47296,135
48,163
74,47370
28347,156
34893,163
3538,37951
0,156
9422,47479
3538,18216
16945,135
250,11463
1868,14585
904,29421
34070,163
44935,156
17033,156
321,31633
321,41395
1627,29636
33550,135
36,47761
35310,435
32828,599
14289,1674
15718,156
819,8711
47885,135
31372,47887
6,8863
4094,435
3689,43844
602,601
10892,435
29037,1674
8957,163
10270,135
602,48118
11110,599
6375,135
18206,435
904,31474
1627,48180
6,20616
42194,435
866,42183
1966,48298
30408,163
4299,17766
36112,435
12611,135
1953,48475
12495,599
270,47409
28347,435
2796,39708
20836,156
3538,7941
