televisionstationaffiliatedwit1_1,televisionstationaffiliatedwit1_2
4,5
822,823
4,1056
4,1328
822,2134
822,3126
822,3418
2692,3625
2772,4353
786,4483
2772,4742
786,5509
1038,5671
4,6094
2772,6264
4,6597
822,7612
1038,226
822,7888
4,8441
2772,8808
786,8987
2044,9848
2772,10035
1038,10132
2772,10756
4,10770
4,11000
786,11309
822,11855
4,12751
4,7424
4,13289
1038,13469
4,13537
786,13761
786,14306
822,14692
2772,14757
4,14768
2772,15703
822,15737
2044,16059
1038,16119
822,7125
1038,16510
4,16610
4,16780
4,17270
4,17551
2772,17737
2772,4111
822,18243
786,18440
1038,18596
1038,19245
822,19257
1038,178
786,19438
822,19497
2772,19560
786,19872
2772,20037
1038,20100
4,20201
786,20209
1038,20374
786,18948
4,20721
4,20829
1038,20997
2692,21334
1038,4182
786,21740
822,21945
4,22042
1038,22135
2772,22574
2772,23095
1038,23129
1038,23422
2772,23504
2772,23742
786,23818
822,24023
786,24195
822,24275
4,24431
1038,10279
2772,24689
1038,7952
1038,24899
1038,25024
822,25450
1038,25557
1038,21637
2772,1132
1038,26279
4,26333
822,26406
786,26548
822,14092
822,26727
2772,26962
2772,27031
2772,27294
1038,5409
2044,27750
786,28069
2692,28112
786,28543
786,28671
786,28707
822,15805
1038,10206
786,29354
4,22176
1038,29494
1038,24503
1038,29795
4,30100
786,27343
1038,30440
4,30561
1038,11732
2772,30949
786,31211
786,31218
786,31394
4,24955
2772,32045
4,32336
822,32439
2772,32491
4,32791
4,33028
822,33341
786,14638
1038,19778
2772,33944
1038,19303
4,18363
786,34426
1038,9708
822,30908
4,6649
1038,34968
2772,8788
4,32431
1038,35159
2772,8050
822,35277
822,35359
2772,25445
1038,19994
4,35601
4,35730
822,35739
4,35834
786,35997
2692,36072
2772,36426
1038,36680
2044,36697
4,36782
786,37341
2692,22375
822,37618
1038,2648
1038,1037
2772,38242
4,38317
4,38578
822,38705
822,38779
786,38830
822,38861
822,25815
4,39202
4,39204
2692,39288
2692,39335
4,22667
2772,39444
822,39452
1038,16160
786,38534
4,33376
2772,39754
4,39808
822,6616
822,22332
1038,20713
1038,12335
822,40481
822,40704
786,40785
1038,40883
4,26665
2772,16807
822,18118
822,41653
822,28257
4,41785
1038,17492
2772,42043
1038,42125
1038,2671
822,29313
2772,42372
822,42438
1038,18422
786,42703
1038,1258
822,31319
1038,43534
2692,43644
822,16792
1038,4619
2772,43998
2772,36690
2772,44198
822,44282
822,43396
1038,44379
2772,42486
4,13293
4,22678
786,44869
2772,44875
786,44928
786,45208
1038,34514
1038,21791
822,44957
822,20490
2044,45575
786,45589
2772,10039
1038,45747
2772,45771
786,45871
4,39753
1038,46184
822,15510
1038,29181
822,46502
1038,15709
2772,43606
2772,24233
786,785
2772,46773
4,44272
1038,46866
786,46881
786,32689
822,47139
822,47143
1038,16526
2044,47526
4,45047
1038,47783
822,43888
822,48062
822,7044
1038,48269
822,48560
786,17868
1038,48596
2044,48696
2772,79
2772,48948
786,49044
2772,30187
2772,20349
1038,3450
822,19870
786,13346
2772,49669
2692,49781
10530,49926
4,15580
4,48093
1038,31226
822,19521
822,50754
4,7371
4,35365
822,19207
822,51170
1038,51223
1038,46373
2772,12884
786,51492
786,33250
2044,19629
1038,51842
822,23294
2772,28485
822,26385
4,52228
4,52238
2772,52309
1038,10348
1038,22705
786,52461
786,49117
1038,19529
822,52710
4,40691
1038,52833
786,37086
786,52945
786,36842
1038,30781
1038,53052
822,12009
822,7099
786,50853
1038,3320
2772,26209
786,53571
4,13784
822,53701
4,44856
2044,53762
1038,47919
786,53963
786,54005
4,53553
2692,2691
822,21346
786,26637
2692,45621
786,33985
2772,54455
4,17781
4,54672
1038,39196
1038,54901
1038,4070
1038,6009
1038,55327
4,55334
2772,12720
4,47365
1038,24422
786,17297
822,45251
822,46615
822,55819
2772,55864
1038,32762
822,21335
2772,56043
786,56120
1038,18543
4,53222
2772,38332
2772,16612
1038,56412
786,55599
822,46414
1038,14309
786,56718
786,56752
1038,19069
786,17357
4,20045
1038,46787
1038,4582
2772,57262
4,39100
2772,57498
2772,57562
786,1754
4,9713
822,57951
4,53012
1038,58045
1038,10512
4,58189
4,38561
822,26440
2772,47618
822,58763
1038,32302
1038,58924
2772,59005
4,42410
822,59055
2772,32305
822,59093
2772,59138
2772,17710
822,15540
822,17574
2692,49980
822,4519
1038,55758
822,59610
822,57290
786,58753
4,47175
2772,27390
822,37220
1038,35177
786,59873
1038,23492
4,59876
2772,37755
1038,12048
4,28392
786,36371
786,60222
4,60299
1038,32557
1038,7423
2772,15931
4,32276
4,47260
2772,43975
2772,60799
822,51412
2772,24392
1038,29047
1038,40457
822,37456
822,9025
786,61381
4,37047
4,58735
4,29867
1038,61480
822,28915
1038,61520
786,54144
1038,4189
822,34719
1038,7638
1038,42913
4,48875
2692,61845
1038,38286
2772,53032
2772,44153
822,33960
4,10553
2772,59676
786,21708
1038,33019
822,14665
822,22796
2692,47879
786,62405
2772,52055
786,41690
1038,54032
2692,62660
786,42265
4,62725
822,15208
822,58464
4,62848
2772,61647
1038,629
4,52884
4,58641
822,21654
4,63097
786,60417
4,55254
822,46150
2772,56139
1038,45570
1038,58901
822,11330
2772,63433
786,30460
1038,47831
4,63509
1038,1093
1038,45303
2772,56789
786,63632
4,63665
1038,5508
2772,26653
4,12913
2692,18179
2044,58213
4,64032
2772,64064
786,30070
4,54314
2772,60950
786,63811
2772,28589
822,17064
4,60254
2692,30217
822,37629
1038,25089
2772,52815
786,61876
786,64970
4,43481
2772,12916
2692,63555
1038,55597
1038,65072
2692,65093
1038,45320
4,65161
786,31966
1038,30402
786,63018
1038,65279
1038,44889
786,33318
786,65394
1038,17767
2772,26050
4,61697
786,37998
786,18518
822,12527
2772,65631
4,45993
822,5020
1038,59609
2772,64780
4,46366
1038,9179
1038,1541
4,6795
4,54311
786,29563
1038,60408
786,66108
786,22961
786,66166
2772,7800
4,66193
822,66203
822,56064
1038,57061
822,24130
822,35260
822,66281
786,66283
822,66291
4,12138
1038,36023
4,65160
4,66525
822,66545
1038,22548
4,53418
2772,12726
2772,64676
1038,36914
2772,48090
786,25103
822,24711
4,53654
2692,60845
822,4648
2044,52653
4,29316
1038,4558
822,30920
786,67174
1038,65015
4,64753
4,58132
4,60815
822,31760
4,58312
786,52877
786,9314
2772,50303
1038,12551
822,17526
2772,67581
2772,64673
822,6564
1038,5105
786,67658
4,66006
822,67731
786,14239
1038,52386
2044,67945
4,63558
2772,39659
2772,60863
2772,67705
4,54944
2772,38258
786,44405
2772,43269
822,31537
1038,33907
1038,55086
1038,55087
786,67847
1038,42045
4,28180
1038,68736
822,18244
786,55038
822,61429
4,50646
1038,5332
1038,50141
4,44378
1038,68970
786,48709
1038,67542
786,69148
2772,65754
4,63776
2772,39859
4,64683
786,50035
2772,69416
2692,53186
2772,32360
786,6898
2772,29342
4,68352
4,21385
822,64051
2044,59258
822,16036
786,55203
1038,15879
822,69710
2772,69749
822,32186
786,42092
1038,69825
2692,31360
786,69850
2772,51360
1038,21946
822,33682
786,35178
4,45682
786,39475
4,795
2772,62686
1038,38144
1038,9325
1038,64616
2772,28408
1038,69640
822,43162
4,58900
822,62539
786,61206
4,70224
822,49895
2772,64797
822,11209
1038,23355
2772,57802
822,2969
786,70391
822,23885
786,70557
10530,20503
786,70566
786,68534
1038,9167
2772,68406
4,9526
4,8610
2692,47856
786,70743
4,64392
822,70864
822,58129
822,37331
786,61002
822,53960
822,53643
822,62067
1038,66075
786,15755
786,23884
4,52266
2772,50233
1038,25552
1038,14384
2772,40310
1038,32147
2772,50317
4,71383
4,9757
4,19193
1038,16123
822,22859
822,25108
4,71566
2772,24577
786,71595
1038,14904
4,69935
1038,6662
2772,49398
1038,13149
2044,51135
2044,67649
786,60818
2772,71774
2044,71768
822,42884
2772,66747
786,24053
1038,66754
2772,29935
1038,40747
4,69361
786,67526
822,21413
1038,17956
786,44307
4,42690
822,38840
1038,10636
2772,44753
822,39770
1038,6799
786,52057
4,68105
786,55290
2772,63972
2772,72389
786,45094
1038,9935
822,16331
786,49199
1038,72523
1038,68208
786,42377
2772,45306
2772,43095
1038,23340
1038,35599
2772,65605
4,60180
786,32048
2044,72718
822,67318
786,46434
2772,72815
2692,22943
1038,50312
1038,46057
2772,72841
822,55801
1038,38460
786,72877
1038,72899
822,56230
4,66654
1038,28662
786,45857
1038,18032
786,73107
1038,54768
1038,4581
4,73251
822,71191
2772,3454
2772,73286
2772,17495
822,16757
2772,61556
4,12389
822,10107
822,73441
822,38575
822,53388
2772,46312
2772,66706
1038,62152
822,36357
4,50906
786,73600
2772,20427
1038,8893
786,66936
1038,73625
1038,6914
2772,58373
822,57557
2692,46210
822,33594
2772,1937
2772,61404
4,52751
1038,28612
1038,31354
1038,5120
822,59252
4,6427
822,17386
822,24484
4,22682
2692,3734
786,42851
1038,2024
1038,74007
2772,74030
4,53659
4,69833
822,44951
2772,55440
822,69771
822,73405
1038,1357
1038,73921
822,74019
1038,12351
2772,66911
822,74135
1038,38563
2772,34145
786,66304
786,49372
2772,53106
1038,31889
822,46446
1038,29112
786,68100
822,4391
1038,11212
2772,63736
786,71666
786,47162
4,46927
4,60884
822,74453
822,43867
2772,65535
2772,68835
822,41875
786,54433
2772,73839
4,74070
1038,31007
2772,74582
1038,315
1038,62927
2772,70422
2692,23910
786,74653
822,70934
1038,74293
2772,18925
786,38428
822,28125
1038,56534
1038,11051
786,54620
822,11753
2692,42454
822,74711
1038,71091
4,3025
1038,44116
786,64065
2044,60355
2772,7833
2772,46350
2772,55645
1038,14017
2772,48440
786,73456
1038,38273
822,46798
4,20242
786,57077
786,74836
4,63609
2044,19771
2772,18599
4,66969
1038,47388
822,37064
1038,47608
4,2482
822,4707
822,63366
786,51004
822,71081
1038,35297
2772,47172
786,53157
4,41474
786,70786
2692,13038
4,42351
1038,1537
822,67644
1038,45384
822,43769
2772,61009
822,20525
4,64266
2772,38418
1038,32816
1038,33922
2692,46447
786,72138
4,50053
786,57419
4,57360
1038,19089
786,12899
1038,22003
1038,67210
1038,361
786,74801
2044,55821
2772,73814
1038,31232
4,59404
786,43896
1038,55877
1038,73159
786,43152
2692,22085
786,22617
786,44472
822,31706
4,48926
1038,75316
2772,17520
2772,30593
2772,9634
4,44761
1038,26397
2692,56864
4,66804
2772,35270
4,68325
4,29284
2044,17999
822,42716
786,11341
786,75355
1038,23312
822,1497
2044,9944
4,70787
786,39246
1038,5980
822,37721
786,64296
1038,17957
1038,4098
822,63372
1038,4054
2772,25260
822,72941
4,52239
4,52694
2772,42331
2772,74337
1038,35903
822,54610
822,41314
786,73343
786,53343
822,55104
2772,55272
2692,34799
2044,71965
4,70695
822,52827
786,34353
4,50144
786,69725
1038,55603
2772,39550
1038,44893
822,2672
2692,27560
2772,16938
822,43471
1038,50657
822,17814
1038,10790
4,71195
4,53768
1038,41208
786,27882
