mammalsuchasmammal_inv_1,mammalsuchasmammal_inv_2
28,29
28,145
605,2642
2642,605
4609,2365
4709,4710
8079,1069
2365,1358
2365,10997
789,2478
605,14169
14407,14408
1069,12670
10997,2365
2365,17488
789,4609
1069,28
2365,4405
2365,9079
6810,789
19085,1587
7148,28
789,20937
789,28
16105,789
17488,2365
2365,5278
2478,605
1069,2478
28,605
26824,28
2365,27826
27977,1069
789,1069
2365,29473
29472,1069
1069,19074
5797,29988
1069,30241
605,2362
2365,31165
789,12831
789,8408
28942,1069
34052,1069
2365,34174
789,605
14227,605
14408,29
605,14227
27999,2365
21919,2365
7962,605
605,2478
37383,605
14227,5797
5278,2365
2365,37882
6465,1069
4694,9079
25978,605
38918,1069
2365,21694
40341,1069
7649,4866
605,28942
25978,2365
1069,6465
34625,28
30489,605
1069,2365
145,28
789,2642
3730,2365
2365,871
5278,1069
1069,8408
5797,1069
1069,11916
2478,1069
34794,605
283,2365
2365,16898
5909,1069
28942,14408
5797,605
1069,8079
2365,29933
48568,2365
789,28942
824,48872
2365,4609
49780,1069
789,6810
789,38918
28,789
605,15455
4710,4709
2365,16710
8408,789
1587,19085
12670,1069
145,14227
605,28
1069,11346
3730,1069
38099,1069
606,605
14408,29988
2642,789
51933,1069
1758,7961
1069,605
1069,7022
14408,37723
29472,2365
1069,2642
605,16105
56608,2365
56513,1069
605,2365
789,2328
5611,1069
9922,2365
2365,58218
1069,46726
50819,789
824,51015
1758,605
53253,2365
28,7148
27826,2365
34174,2365
1069,28942
28,1758
2365,6785
824,34830
4651,4650
10435,2365
1069,1642
28942,605
9079,14408
4650,17445
1758,1069
789,15280
605,5797
28942,789
16105,605
4650,4651
36271,2365
605,30489
2642,2365
2365,12363
64681,1069
46726,2365
1358,2365
605,283
2478,28942
38918,789
14169,605
1069,56513
5611,14408
1069,1758
6810,56036
31165,2365
29,28
55946,1069
34052,14408
2365,25978
29933,2365
7022,2365
48291,1069
28,14227
17445,4650
2365,48568
2328,2365
2365,1758
2365,20682
824,16983
2365,20937
34052,2365
6465,14408
11339,2365
3165,7961
1069,14408
2478,2365
6785,4866
14408,14407
12831,789
1069,46261
2642,1069
21694,2365
46726,1069
44206,605
1069,34052
9605,14851
605,37383
37723,14408
28,26824
2365,19887
16710,2365
12363,2365
2365,7022
2365,2642
789,2365
14407,5611
2478,789
2478,12831
12831,2478
4609,789
60172,2365
2365,29184
5611,14407
2642,68173
1069,48291
7962,14227
1927,2365
2365,789
20937,2365
14408,28942
2365,5659
1069,3730
1069,36696
2365,10435
1069,38918
37882,2365
29,1069
2365,29472
4694,605
1069,64681
1642,2365
2365,60172
7022,1069
51015,1069
2365,38099
36696,1069
38099,2365
1069,10592
605,1758
11346,1069
2362,1069
2365,12831
2365,1069
29184,2365
2365,2478
29637,14227
605,789
3730,605
17975,28
1069,5909
12831,12441
28,2365
605,44206
824,47353
1069,49780
4405,2365
14851,9605
1069,5278
2365,26307
5659,2365
7962,5797
14227,28
58218,2365
1069,2362
1111,56036
1758,28
2365,28942
1069,789
14408,34052
2365,1927
20937,12831
824,66783
2365,27999
12831,1069
2365,38733
14227,17975
5797,14227
8408,1069
29473,2365
2365,53253
2365,12441
1069,25978
4275,605
75217,1069
9079,605
6465,2365
10592,1069
18233,1069
2365,28
2365,11339
51933,14408
2365,8408
1069,38099
6810,605
38045,1069
605,4275
605,3730
2365,46726
789,16105
1069,51933
8408,605
28942,2365
824,72882
2365,2328
12831,2365
2365,36271
283,605
2365,18351
28,17975
19085,605
19074,1069
2365,21919
19887,2365
17975,14227
15455,605
1069,5797
14227,145
16898,2365
789,50819
25978,1069
