teamplaysinleague_1,teamplaysinleague_2
256,257
568,105
676,677
1137,105
450,257
1939,677
829,677
2419,105
2695,105
2964,105
3042,677
3237,105
932,604
3783,105
4359,105
4504,342
4620,105
916,604
5097,105
5223,105
6149,677
6384,105
6334,105
7265,105
4631,604
7593,105
8164,677
8188,677
8189,105
8312,105
8488,105
8552,105
8418,105
5257,105
9240,105
6011,105
8625,105
9851,677
9986,677
10065,677
10213,105
10444,105
10678,105
10747,677
10942,105
11154,677
11863,677
10961,342
12249,105
12270,677
12358,105
12431,677
12817,105
13054,105
8055,105
13321,105
13918,105
14001,105
14076,677
14163,105
11361,105
14503,342
14786,105
14840,105
15307,105
15416,342
4297,342
15783,105
11172,257
16111,105
16210,105
6238,105
16436,604
12165,677
16450,105
16494,677
12479,105
17275,105
17391,105
17413,677
97,5172
8814,342
17927,105
17993,342
18307,105
18365,105
1865,105
18816,105
4513,1001
1289,257
18882,257
19014,604
16452,105
16276,105
12943,105
19410,604
19411,677
19634,105
5560,105
20308,677
17444,105
20484,105
15149,105
20755,105
10781,105
20874,105
21312,677
21517,677
21640,20220
18446,20220
21725,105
16632,677
21836,105
21881,105
22105,105
22166,105
22214,677
22242,105
22371,105
4602,257
2045,105
22672,105
14077,1001
23140,105
22728,105
23221,105
23308,105
14058,105
23757,677
23808,677
2733,604
23146,105
98,5172
23435,105
9183,105
25077,105
25086,105
25463,105
4184,342
25687,105
230,20220
26107,105
12325,342
24554,105
26475,105
5242,105
26906,105
27071,105
9262,604
27173,105
27299,105
20581,677
7116,105
6212,1782
16614,257
27817,105
21505,105
4332,342
27993,105
21107,105
28030,105
28035,105
22821,105
7235,677
28205,105
4421,105
23155,105
28676,105
22347,105
28939,105
28951,105
9724,105
497,1001
12995,604
29195,105
22573,342
29318,105
29353,677
8214,105
20259,677
7204,105
1265,1001
29709,342
476,342
4165,257
30030,105
16834,105
30209,677
19163,105
30536,105
14784,105
30720,105
30844,105
30854,105
30942,677
30965,105
31041,105
2173,105
11716,2986
16565,677
31231,105
23466,105
25344,1782
15515,105
2244,342
26138,105
26913,105
383,1001
20896,105
32697,105
20317,105
33120,105
33136,105
33245,604
10443,105
5668,2986
1756,342
33003,33815
6870,105
22900,677
34024,105
34290,105
4779,604
10864,604
34552,105
34608,105
34683,105
32107,105
34833,33815
34869,105
1493,1001
35293,105
35308,105
35326,105
1355,1001
35516,105
35546,677
11308,105
35622,105
35962,677
36033,105
36375,105
662,604
36593,105
11605,105
16167,604
36933,105
15349,1782
37167,105
11013,105
18652,677
3960,105
34114,105
37562,105
38037,677
12187,105
38083,105
38090,105
38134,105
17388,105
38340,677
38472,677
2819,1001
7686,105
25027,105
5867,105
34925,105
30533,105
39410,677
39428,105
39641,677
39669,105
11210,105
26458,105
34517,105
12341,105
40076,677
31523,677
27102,105
40302,105
40319,604
8464,105
40344,1782
40384,105
40397,105
40417,105
40524,257
40560,105
40605,105
40644,105
20395,105
40801,105
32485,105
41128,677
41188,105
41248,105
41322,105
25255,257
41551,105
25065,105
6827,257
10467,105
2755,105
3558,105
41135,105
38643,105
42128,105
806,1001
13423,105
23450,105
14294,33815
42459,105
23086,105
21281,105
2593,342
42807,677
1276,105
7115,1001
43076,105
43159,105
2575,105
20780,105
28231,105
