stateorprovinceisborderedbysta_1,stateorprovinceisborderedbysta_2
541,2921
541,4974
541,5101
541,6757
541,8127
541,10210
270,3055
541,904
717,459
270,3262
541,9217
3538,904
8272,717
3262,7905
541,4564
541,3861
1953,4299
978,7905
541,14237
3005,866
541,33575
541,5735
541,1270
541,34475
541,14972
2625,819
17,3055
541,9355
459,8162
541,717
3370,243
541,40265
4047,2625
1092,2079
4089,3055
541,24139
541,2855
4299,2625
2417,3726
541,46828
541,47623
541,4047
4299,1627
1953,2424
541,25471
1270,1092
1092,717
17,1844
3262,8272
541,6329
541,48563
4047,7905
2417,8672
541,10361
13393,15077
3055,4089
1092,1270
270,321
321,2079
541,6466
541,55184
8272,3262
2625,866
57405,8162
17,4089
1092,8162
3055,17
541,21753
541,37859
541,58092
2079,2855
541,1966
717,1092
541,56553
243,3370
541,2158
844,717
541,62349
1374,844
541,6288
321,11919
541,1016
321,3262
270,17
4089,17
243,8162
2424,321
541,34118
1844,17
541,46050
541,67815
8162,7905
1016,819
1374,459
541,20681
541,20088
541,18283
18283,3726
541,10416
2079,1270
3055,270
1568,6
541,14360
717,8162
9355,9972
541,5201
541,27908
541,51254
2366,321
6,2417
541,3156
541,9905
844,1374
8162,1374
541,44148
541,72842
321,8272
819,866
541,36695
3262,270
541,18932
541,69023
541,33159
541,32105
11919,321
2424,243
541,67398
7905,8162
541,2731
3005,2349
541,6
541,8672
7905,2424
541,41739
1374,321
541,49904
866,6
541,24678
844,8162
1374,243
541,73015
3370,8162
844,7905
3262,1092
2079,27991
541,9972
541,3005
541,321
904,1844
541,10831
2349,866
1270,2855
8272,2079
2079,321
717,3055
541,69464
541,21402
3726,8672
4047,2349
