personhasjobposition_inv_1,personhasjobposition_inv_2
3448,3449
4056,4057
5383,5384
5686,5687
4727,4726
5717,7237
7590,7591
130,8576
8758,8759
130,9154
10168,10169
11356,11343
5686,11534
5717,11816
12420,12421
13125,13126
13208,13209
13828,13829
130,15531
15750,15751
16199,16200
16364,16365
16662,16663
16828,16829
16838,16839
17052,17053
15388,17440
17479,1122
130,18340
130,18442
19011,9777
19270,19271
19363,19364
130,19711
20434,20435
20436,13739
130,9777
20893,20894
21046,21047
21364,21365
22741,22742
360,23020
23047,23048
8758,23445
23469,16454
23826,23827
24002,24003
16838,24853
8758,22433
26245,1122
26593,26594
20313,27332
27492,27493
27676,5405
12783,12782
5542,27015
20818,22824
28363,28364
130,28824
130,15009
360,29300
30108,5969
5542,30338
130,19047
26593,2968
14362,30726
12589,437
20244,20243
32318,29273
13199,2308
130,29096
130,4916
33272,33271
12375,33502
24947,33573
14611,33804
5542,34035
34303,1122
29892,29891
130,27138
7327,9476
35435,35436
360,7866
35756,35225
130,17342
360,20219
130,16848
36847,36848
36872,2983
7327,37032
37422,24115
37602,37603
37902,1122
8758,1122
130,2968
16567,38603
26245,1858
7590,39073
37602,39287
39331,31807
9836,9835
360,16290
14611,3708
130,39393
39760,39761
40048,40049
40218,24953
40285,40286
130,10929
130,40371
40804,40805
360,30554
41023,41024
6390,17935
130,9771
35572,42126
42380,42381
9158,32195
32376,31049
20025,43021
38311,30726
16838,43356
35756,43424
33549,33548
6390,40896
130,4311
44099,40151
44262,38375
27117,27116
44323,44324
5542,2308
357,9433
32376,44623
44813,44814
45308,45309
40463,16693
35435,45378
45971,45972
5542,14440
25254,46630
46638,31049
130,22001
14629,42129
20818,42312
12375,12374
35435,47366
130,28323
20025,20024
130,47811
40463,48047
20313,20312
36326,1122
48318,1514
31178,31177
34640,48805
48818,17452
32957,463
33549,17416
35932,49165
3448,49528
24947,2001
16567,49753
49817,49818
35932,35931
10026,10025
5385,8423
50335,50336
130,11230
25254,23768
16567,50436
130,50461
43379,50519
35390,35389
47408,47407
40463,6945
10116,41024
8758,51121
45421,46108
360,31291
27770,51230
7590,9835
51384,51385
12387,21044
37085,41589
51779,50292
35756,16281
20313,51889
360,23539
13208,28190
13199,1122
130,4850
130,20838
15537,52876
130,26328
2221,53160
130,20442
36365,53513
130,22517
130,32899
36365,1198
25254,27981
130,37015
130,6590
130,1858
4056,55037
55060,55061
45349,45348
130,5405
36132,40096
11356,24537
19270,55448
55551,55552
130,19776
130,123
5542,5405
23672,23671
55968,55969
55980,55981
130,29166
56078,56079
130,9073
8758,56357
5542,5557
32957,56364
26593,54456
6390,38917
56623,56624
45421,21496
56829,5355
29892,55962
50202,57137
33355,33354
27831,27830
57601,13209
55568,57705
50293,50292
53800,17691
20025,51404
2002,2001
7590,29016
56605,56604
12387,43897
7898,57941
28179,45779
58188,796
130,58247
32376,58328
20456,30237
27794,27793
58708,58709
58747,58748
58754,28560
12387,49946
51779,35571
25254,25253
15388,59229
12005,56722
19270,59419
130,15
56395,56394
8758,59784
130,11785
56006,56005
130,6857
25122,32942
60492,60493
20818,60547
23928,23927
60809,60810
9836,1122
56605,48794
360,5599
59772,61088
130,1122
130,187
5686,51718
43379,28856
15388,15387
61466,35558
26593,5405
61988,61989
20439,11534
36132,36131
47582,4578
21364,62472
56605,62501
130,25504
360,50336
5686,62684
32376,1122
130,14440
9137,46378
49817,63053
63074,38486
9137,9136
7327,63124
26593,1122
20025,59849
58159,13088
20456,20455
29815,5969
360,29590
20165,31376
63847,63848
12387,12386
38797,24953
130,7193
38797,38796
5542,28124
20818,19269
42358,42357
16364,4683
12387,24013
50219,50218
20244,23517
65266,65267
2221,50204
65371,65372
360,65489
63523,63522
58188,11795
20818,12782
37705,44391
57637,29273
43498,43497
50279,9136
66180,5384
360,19558
27492,16281
61640,61639
130,18210
5717,23497
5542,1684
7327,62834
20818,35148
130,20087
130,13233
130,2534
67346,67347
29892,65045
20456,67445
60675,5312
27676,1122
20818,27249
59491,59490
130,5630
24954,24953
27770,31803
6339,68075
14611,6549
28699,28698
68146,12025
37060,43703
68253,41427
37060,18631
130,44310
50827,50826
68372,12025
5542,6590
130,68759
27676,2968
5542,123
55568,55567
59677,41744
20456,29768
130,5641
26245,5405
59529,47407
17052,69561
32396,32395
5542,13093
130,11570
69690,33282
5542,5541
45894,45893
12375,70004
25254,7421
130,8734
37705,37032
15750,27701
15388,69185
50073,50072
20439,20438
34640,34639
32957,25782
18605,18604
70379,70380
70389,1122
20313,39486
32376,56008
46469,5969
35435,45685
59515,59514
56889,12025
5542,5641
20025,65977
130,39643
360,71088
130,29243
44099,48022
32541,7591
35435,69277
33355,42040
12005,51163
61101,46378
360,46155
130,46399
45421,71514
61578,51230
14528,14527
360,196
130,43497
9836,51626
71746,5687
24433,24432
52167,52166
68001,28512
130,31261
64546,13209
130,5325
71995,59083
130,9296
20244,72032
17395,17394
59772,59771
56605,72186
55980,71197
55752,55751
59677,45235
360,796
72471,72472
71202,71201
68523,48786
360,11795
50968,50967
36365,9296
50202,50201
72716,19770
35756,23836
8870,1122
32957,68610
20025,45599
12981,12980
58179,42488
5717,5716
58781,10835
32376,52812
12387,13994
20313,42138
37085,13209
40463,437
130,3627
32376,32395
15388,73192
27794,34694
29274,29273
26245,39643
62009,1122
64630,64629
37164,69336
130,7841
130,1866
37741,28806
62009,5405
62624,62623
25254,11966
36994,20435
5542,19776
5542,3658
130,1234
130,33234
13208,32649
8758,74044
71674,71673
73758,1335
68721,68720
12375,63268
25254,67051
71699,38375
57279,5716
70962,70961
43693,8491
130,15066
29892,58328
14190,74258
15258,13088
50202,59532
14528,38723
5542,1671
37422,43717
74371,24953
16873,16872
13064,12926
20313,48708
68341,48185
5542,6591
74554,74555
67279,1122
5542,1122
67614,42300
5542,2968
38376,38375
5542,16848
130,935
59905,59904
20456,74684
360,66016
130,17234
130,74326
29113,2983
45421,25269
130,129
32376,74767
74270,74269
20313,25472
360,60233
25122,25121
48683,43573
52991,27282
20165,20164
8758,16599
74897,74898
130,12708
47564,1382
37705,72032
130,6358
74966,74967
69142,10046
12387,66309
32376,32375
8758,9073
130,2308
20818,47062
43537,43536
20244,44337
130,58442
13064,5969
73398,67854
130,18663
5686,31650
51779,68492
20025,15751
58623,58622
50219,53835
43498,9073
40804,70159
8892,8891
43575,43574
53367,53366
37085,41254
32376,70813
75232,13209
71960,71959
9836,53414
130,35777
31027,31026
35435,44518
130,19772
72974,72973
130,25030
46015,46014
13064,51163
25254,473
50286,50285
74682,74681
12005,10046
23826,34624
44099,58035
12387,34620
64195,64194
9585,10787
24947,72917
43626,39073
130,14087
130,14
57017,5969
12387,71286
35572,35571
130,7109
12387,1995
57964,36289
42301,42300
47582,47581
2221,2220
52178,52177
66881,49818
130,15977
10921,10920
20313,25925
10047,10046
5542,40578
60566,60565
50202,74695
5717,74558
5686,36074
